S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
214350	552243	1	337893	bs_ill_bs_contig2	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
18222	18355	338877	338744	bs_ill_bs_contig20	contig_13	100.0		True
translocation
56	319	339543	339279	bs_ill_bs_contig13	contig_13	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	339544	340695	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	340697	341607	bs_ill_bs_contig991	contig_13	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	342330	341609	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	343683	342702	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	340	343684	343968	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	257004	601120	344069	bs_ill_bs_contig8	contig_13	99.98		True
translocation
1	599	601719	601121	bs_ill_bs_contig2	contig_13	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	602278	601721	bs_ill_bs_contig1	contig_13	99.84		True
translocation
1	29697	631972	602279	bs_ill_bs_contig18	contig_13	99.96		True
translocation
56	393	632310	631973	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	632311	633462	bs_ill_bs_contig839	contig_13	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	633464	634374	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	635097	634376	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	982	636395	635469	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	325319	636396	961865	bs_ill_bs_contig3	contig_13	99.94		True
translocation
1	599	962464	961866	bs_ill_bs_contig2	contig_13	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	963024	962466	bs_ill_bs_contig1	contig_13	99.84		True
translocation
1	104023	963025	1067046	bs_ill_bs_contig12	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	18355	1085551	1067200	bs_ill_bs_contig20	contig_13	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1085765	1086916	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1086918	1087828	bs_ill_bs_contig991	contig_13	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1088551	1087830	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1089903	1088923	bs_ill_bs_contig933	contig_13	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1089904	1090279	bs_ill_bs_contig3	contig_13	99.54		True
translocation
56	453	1090764	1090367	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1090765	1091916	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1091918	1092828	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1093551	1092830	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1094904	1093923	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1094905	1095280	bs_ill_bs_contig3	contig_13	99.54		True
local misassembly
521	601	1095542	1095622	bs_ill_bs_contig3	contig_13	100.0		True
translocation
56	449	1096377	1095984	bs_ill_bs_contig13	contig_13	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1096378	1097529	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1097531	1098441	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1099164	1098443	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1100516	1099536	bs_ill_bs_contig933	contig_13	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	375	1100517	1100836	bs_ill_bs_contig3	contig_13	99.77		True
translocation
1	60136	1160973	1100837	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1152	1160974	1162070	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1162072	1162982	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1163705	1162984	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1165058	1164077	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1165059	1165344	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	536	1166326	1165791	bs_ill_bs_contig1326	contig_13	100.0		True
translocation
56	453	1166841	1166443	bs_ill_bs_contig13	contig_13	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1166842	1167993	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1167995	1168905	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1169628	1168907	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1170981	1170000	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1170982	1171267	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	55215	1226577	1171363	bs_ill_bs_contig15	contig_13	100.0		True
translocation
328	395	1226645	1226578	bs_ill_bs_contig13	contig_13	100.0		True
local misassembly
147	274	1226907	1226780	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (<= 5bp)
56	145	1226997	1226908	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1226998	1228149	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1228151	1229061	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1229784	1229063	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1231314	1230333	bs_ill_bs_contig933	contig_13	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	342	1231315	1231601	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	15524	1247212	1231689	bs_ill_bs_contig21	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1247610	1248761	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1248763	1249673	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1250396	1249675	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1251926	1250945	bs_ill_bs_contig933	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	59870	1312049	1252180	bs_ill_bs_contig14	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	709047	1312280	2021209	bs_ill_bs_contig1	contig_13	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2021211	2021809	bs_ill_bs_contig2	contig_13	99.41		True
translocation
1	263211	2285020	2021810	bs_ill_bs_contig7	contig_13	100.0		True
translocation
1	620	2285640	2285021	bs_ill_bs_contig2	contig_13	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	2286199	2285642	bs_ill_bs_contig1	contig_13	99.84		True
translocation
1	38370	2324570	2286200	bs_ill_bs_contig16	contig_13	100.0		True
translocation
56	341	2324856	2324571	bs_ill_bs_contig3	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	982	2324857	2325838	bs_ill_bs_contig933	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	2326210	2326931	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	2327843	2326933	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	2328996	2327845	bs_ill_bs_contig839	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	274	2328997	2329215	bs_ill_bs_contig13	contig_13	100.0		True
local misassembly
328	453	2329350	2329475	bs_ill_bs_contig13	contig_13	100.0		True
translocation
1	536	2329620	2330128	bs_ill_bs_contig1326	contig_13	90.26		True
fake: not a misassembly [fragmentation of reference genome]
1	37065	2368483	2331420	bs_ill_bs_contig17	contig_13	100.0		True
translocation
708489	709047	2368484	2369042	bs_ill_bs_contig1	contig_13	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2369044	2369642	bs_ill_bs_contig2	contig_13	99.26		True
translocation
1	315068	2369643	2684705	bs_ill_bs_contig4	contig_13	100.0		True
translocation
708490	709047	2684706	2685263	bs_ill_bs_contig1	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2685265	2685864	bs_ill_bs_contig2	contig_13	99.11		True
translocation
1	294381	2980244	2685865	bs_ill_bs_contig5	contig_13	100.0		True
translocation
1	618	2980862	2980245	bs_ill_bs_contig2	contig_13	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	2981422	2980864	bs_ill_bs_contig1	contig_13	99.84		True
translocation
114	252570	3233994	2981423	bs_ill_bs_contig9	contig_13	99.94		True
local misassembly
34	329	3234290	3233995	bs_ill_bs_contig9	contig_13	99.03		True
local misassembly [fragmentation of reference genome]
1	609	3234398	3235006	bs_ill_bs_contig1250	contig_13	100.0		True
translocation
155978	156135	3235164	3235007	bs_ill_bs_contig10	contig_13	98.37		True
local misassembly
155994	156223	3235526	3235297	bs_ill_bs_contig10	contig_13	96.52		True
local misassembly
156140	156290	3235713	3235563	bs_ill_bs_contig10	contig_13	94.7		True
local misassembly
156684	156751	3235916	3235849	bs_ill_bs_contig10	contig_13	98.53		True
local misassembly
156140	156408	3236217	3235949	bs_ill_bs_contig10	contig_13	96.28		True
translocation
59	507	3236454	3236893	bs_ill_bs_contig1250	contig_13	97.77		True
translocation
156423	156786	3237257	3236894	bs_ill_bs_contig10	contig_13	92.08		True
local misassembly
156234	156335	3237599	3237498	bs_ill_bs_contig10	contig_13	93.14		True
indel: indel (> 5bp)
155978	156197	3237819	3237600	bs_ill_bs_contig10	contig_13	99.55		True
local misassembly
156077	156223	3238098	3237952	bs_ill_bs_contig10	contig_13	97.96		True
local misassembly
156590	156939	3238512	3238163	bs_ill_bs_contig10	contig_13	100.0		True
local misassembly
1	156862	3395614	3238753	bs_ill_bs_contig10	contig_13	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	2262	3395993	3398254	bs_ill_bs_contig411	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	269408	3668216	3398809	bs_ill_bs_contig6	contig_13	100.0		True
translocation
1	599	3668815	3668217	bs_ill_bs_contig2	contig_13	98.06		True
fake: not a misassembly [fragmentation of reference genome]
708516	709047	3669348	3668817	bs_ill_bs_contig1	contig_13	98.81		True
translocation
1	137190	3669349	3806538	bs_ill_bs_contig11	contig_13	100.0		True
translocation
1	574	3807112	3806539	bs_ill_bs_contig2	contig_13	97.62		True
fake: not a misassembly [fragmentation of reference genome]
708549	709047	3807612	3807114	bs_ill_bs_contig1	contig_13	98.69		True
translocation
1	23242	3830854	3807613	bs_ill_bs_contig19	contig_13	100.0		True
translocation
708485	709047	3830855	3831417	bs_ill_bs_contig1	contig_13	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	214348	3831419	4045604	bs_ill_bs_contig2	contig_13	99.92		True
CONTIG	contig_13	4045604	misassembled
18672	18790	268374	268256	bs_ill_bs_contig13	contig_26	90.76		True
unknown
1	277	286244	285968	bs_ill_bs_contig13	contig_26	91.07		True
unknown
1	1065	286190	287254	bs_ill_bs_contig839	contig_26	95.6		True
unknown
108	910	287449	288257	bs_ill_bs_contig991	contig_26	91.87		True
unknown
83	720	288898	288262	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
1	966	290408	289445	bs_ill_bs_contig933	contig_26	94.21		True
unknown
1	133	290354	290486	bs_ill_bs_contig3	contig_26	91.73		True
unknown
159	246	290512	290599	bs_ill_bs_contig3	contig_26	90.91		True
unknown
266	333	290621	290688	bs_ill_bs_contig3	contig_26	95.59		True
unknown
1	277	292263	291987	bs_ill_bs_contig13	contig_26	91.07		True
unknown
1	1065	292209	293273	bs_ill_bs_contig839	contig_26	95.6		True
unknown
108	910	293468	294276	bs_ill_bs_contig991	contig_26	91.87		True
unknown
83	720	294917	294281	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
1	966	296427	295464	bs_ill_bs_contig933	contig_26	94.21		True
unknown
1	133	296373	296505	bs_ill_bs_contig3	contig_26	91.73		True
unknown
159	246	296531	296618	bs_ill_bs_contig3	contig_26	90.91		True
unknown
266	333	296640	296707	bs_ill_bs_contig3	contig_26	95.59		True
unknown
1	277	529813	529537	bs_ill_bs_contig13	contig_26	91.07		True
unknown
1	1065	529759	530823	bs_ill_bs_contig839	contig_26	95.6		True
unknown
108	910	531018	531826	bs_ill_bs_contig991	contig_26	91.87		True
unknown
83	720	532467	531831	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
1	966	534228	533265	bs_ill_bs_contig933	contig_26	94.21		True
unknown
1	4776	679046	674347	bs_ill_bs_contig89	contig_26	97.51		True
unknown
1	966	1078025	1078988	bs_ill_bs_contig933	contig_26	94.21		True
unknown
83	720	1079786	1080422	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
108	910	1081235	1080427	bs_ill_bs_contig991	contig_26	91.87		True
unknown
1	1065	1082494	1081430	bs_ill_bs_contig839	contig_26	95.6		True
unknown
1	277	1082440	1082716	bs_ill_bs_contig13	contig_26	91.07		True
unknown
266	333	1676326	1676259	bs_ill_bs_contig3	contig_26	95.59		True
unknown
159	246	1676435	1676348	bs_ill_bs_contig3	contig_26	90.91		True
unknown
1	133	1676593	1676461	bs_ill_bs_contig3	contig_26	91.73		True
unknown
1	966	1676539	1677502	bs_ill_bs_contig933	contig_26	94.21		True
unknown
83	720	1678049	1678685	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
108	910	1679498	1678690	bs_ill_bs_contig991	contig_26	91.87		True
unknown
1	1065	1680757	1679693	bs_ill_bs_contig839	contig_26	95.6		True
unknown
1	277	1680703	1680979	bs_ill_bs_contig13	contig_26	91.07		True
unknown
266	333	1781003	1780936	bs_ill_bs_contig3	contig_26	95.59		True
unknown
159	246	1781112	1781025	bs_ill_bs_contig3	contig_26	90.91		True
unknown
1	133	1781270	1781138	bs_ill_bs_contig3	contig_26	91.73		True
unknown
1	966	1781216	1782179	bs_ill_bs_contig933	contig_26	94.21		True
unknown
83	720	1782726	1783362	bs_ill_bs_contig1146	contig_26	90.39		True
unknown
108	910	1784175	1783367	bs_ill_bs_contig991	contig_26	91.87		True
unknown
1	1065	1785434	1784370	bs_ill_bs_contig839	contig_26	95.6		True
unknown
1	277	1785380	1785656	bs_ill_bs_contig13	contig_26	91.07		True
unknown
CONTIG	contig_26	2992071	mis_unaligned
8	169	405467	405306	bs_ill_bs_contig13	contig_96	95.06		True
unknown
1	1068	405420	406485	bs_ill_bs_contig839	contig_96	93.73		True
unknown
1	982	409862	408881	bs_ill_bs_contig933	contig_96	92.93		True
unknown
1	1068	541440	542506	bs_ill_bs_contig839	contig_96	93.83		True
unknown
493	720	543733	543506	bs_ill_bs_contig1146	contig_96	96.05		True
unknown
95	183	544130	544042	bs_ill_bs_contig1146	contig_96	91.01		True
unknown
1	982	545880	544898	bs_ill_bs_contig933	contig_96	92.93		True
unknown
1	1068	654885	655951	bs_ill_bs_contig839	contig_96	93.92		True
unknown
1	982	659275	658294	bs_ill_bs_contig933	contig_96	92.83		True
unknown
2	120	659222	659340	bs_ill_bs_contig3	contig_96	90.76		True
unknown
261	334	659482	659555	bs_ill_bs_contig3	contig_96	93.24		True
unknown
1	982	1715132	1716114	bs_ill_bs_contig933	contig_96	92.73		True
unknown
95	184	1716852	1716941	bs_ill_bs_contig1146	contig_96	91.11		True
unknown
493	720	1717249	1717476	bs_ill_bs_contig1146	contig_96	96.05		True
unknown
1	1068	1719544	1718477	bs_ill_bs_contig839	contig_96	93.83		True
unknown
1	982	1759753	1760736	bs_ill_bs_contig933	contig_96	92.84		True
unknown
1	1068	1764105	1763038	bs_ill_bs_contig839	contig_96	93.83		True
unknown
1	982	1765008	1765989	bs_ill_bs_contig933	contig_96	92.63		True
unknown
95	183	1766636	1766724	bs_ill_bs_contig1146	contig_96	91.01		True
unknown
493	720	1767033	1767260	bs_ill_bs_contig1146	contig_96	95.61		True
unknown
1	1068	1769325	1768260	bs_ill_bs_contig839	contig_96	93.83		True
unknown
8	169	1769278	1769439	bs_ill_bs_contig13	contig_96	95.06		True
unknown
CONTIG	contig_96	2719603	mis_unaligned
1	965	604600	605563	bs_ill_bs_contig933	contig_102	93.89		True
unknown
95	215	606205	606325	bs_ill_bs_contig1146	contig_102	92.56		True
unknown
483	720	606585	606822	bs_ill_bs_contig1146	contig_102	93.28		True
unknown
666	889	607071	606848	bs_ill_bs_contig991	contig_102	91.52		True
unknown
337	569	607401	607169	bs_ill_bs_contig991	contig_102	93.56		True
unknown
108	329	607633	607412	bs_ill_bs_contig991	contig_102	91.44		True
unknown
1	1065	608881	607830	bs_ill_bs_contig839	contig_102	92.31		True
unknown
9	171	608835	608997	bs_ill_bs_contig13	contig_102	93.25		True
unknown
9	171	2112847	2112685	bs_ill_bs_contig13	contig_102	93.25		True
unknown
1	1065	2112801	2113852	bs_ill_bs_contig839	contig_102	92.31		True
unknown
108	329	2114049	2114270	bs_ill_bs_contig991	contig_102	91.44		True
unknown
337	569	2114281	2114513	bs_ill_bs_contig991	contig_102	93.56		True
unknown
666	889	2114611	2114834	bs_ill_bs_contig991	contig_102	91.07		True
unknown
483	720	2115097	2114860	bs_ill_bs_contig1146	contig_102	93.28		True
unknown
95	215	2115477	2115357	bs_ill_bs_contig1146	contig_102	93.39		True
unknown
1	965	2116980	2116017	bs_ill_bs_contig933	contig_102	93.89		True
unknown
33226	33297	2171633	2171562	bs_ill_bs_contig13	contig_102	95.83		True
unknown
32338	32486	2172521	2172373	bs_ill_bs_contig13	contig_102	91.95		True
unknown
1	965	2387661	2388624	bs_ill_bs_contig933	contig_102	93.89		True
unknown
95	215	2389164	2389284	bs_ill_bs_contig1146	contig_102	93.39		True
unknown
483	720	2389544	2389781	bs_ill_bs_contig1146	contig_102	93.28		True
unknown
666	889	2390030	2389807	bs_ill_bs_contig991	contig_102	91.52		True
unknown
337	569	2390360	2390128	bs_ill_bs_contig991	contig_102	93.56		True
unknown
108	329	2390592	2390371	bs_ill_bs_contig991	contig_102	91.44		True
unknown
1	1065	2391840	2390789	bs_ill_bs_contig839	contig_102	92.31		True
unknown
1	965	2830791	2831754	bs_ill_bs_contig933	contig_102	93.89		True
unknown
95	215	2832396	2832516	bs_ill_bs_contig1146	contig_102	93.39		True
unknown
