Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_2bins_v2_1_MP	1	1	0	1	0	0	0	0	0	1	2845424	0	0	16	0	0	19	6	7001	439	398	41	2457
r10_2bins_v2_1_MP_helen	1	1	0	1	0	0	0	0	0	1	2845372	0	0	16	0	0	19	6	7085	445	403	42	2476
r10_2bins_v2_1_r1_medaka	1	1	0	1	0	0	0	0	0	1	2845429	0	0	16	0	0	19	6	6992	400	361	39	2354
r10_2bins_v2_1_r2_medaka	1	1	0	1	0	0	0	0	0	1	2845427	0	0	16	0	0	19	6	7097	393	352	41	2359
r10_2bins_v2_1_racon_r1	1	1	0	1	0	0	0	0	0	1	2845272	0	0	16	0	0	19	6	6734	655	615	40	2666
r10_2bins_v2_1_racon_r2	1	1	0	1	0	0	0	0	0	1	2845846	0	0	17	0	0	19	6	6751	578	539	39	2568
r10_2bins_v2_1_raw	1	1	0	1	0	0	0	0	0	1	2843858	1	6	19	0	0	9	6	4429	3692	3650	42	6500
r10_2bins_v2_2_MP	1	1	0	1	0	0	0	0	0	1	2845424	0	0	16	0	0	19	6	7024	448	407	41	2472
r10_2bins_v2_2_MP_helen	1	1	0	1	0	0	0	0	0	1	2845368	0	0	16	0	0	19	6	7125	444	402	42	2474
r10_2bins_v2_2_r1_medaka	1	1	0	1	0	0	0	0	0	1	2845428	0	0	16	0	0	19	6	7130	403	364	39	2362
r10_2bins_v2_2_r2_medaka	1	1	0	1	0	0	0	0	0	1	2845430	0	0	16	0	0	19	6	7036	392	351	41	2357
r10_2bins_v2_2_racon_r1	1	1	0	1	0	0	0	0	0	1	2845282	0	0	16	0	0	19	6	6491	597	560	37	2540
r10_2bins_v2_2_racon_r2	1	1	0	1	0	0	0	0	0	1	2845321	0	0	16	0	0	19	6	6762	583	541	42	2590
r10_2bins_v2_2_raw	1	1	0	1	0	0	0	0	0	1	2843857	1	6	20	0	0	11	6	4195	3566	3530	36	6163
r10_2bins_v2_3_MP	1	1	0	1	0	0	0	0	0	1	2845424	0	0	16	0	0	19	6	6897	441	400	41	2459
r10_2bins_v2_3_MP_helen	1	1	0	1	0	0	0	0	0	1	2845363	0	0	16	0	0	19	6	7122	440	397	43	2469
r10_2bins_v2_3_r1_medaka	1	1	0	1	0	0	0	0	0	1	2845431	0	0	16	0	0	19	6	7010	402	361	41	2372
r10_2bins_v2_3_r2_medaka	1	1	0	1	0	0	0	0	0	1	2845427	0	0	16	0	0	19	6	7066	402	361	41	2387
r10_2bins_v2_3_racon_r1	1	1	0	1	0	0	0	0	0	1	2845312	0	0	16	0	0	19	6	6624	611	570	41	2639
r10_2bins_v2_3_racon_r2	1	1	0	1	0	0	0	0	0	1	2845321	0	0	16	0	0	19	6	6655	560	525	35	2536
r10_2bins_v2_3_raw	1	1	0	1	0	0	0	0	0	1	2843845	1	6	20	0	0	11	6	4306	3534	3499	35	6111
