S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_95	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_95	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	3000	2517	sa_ill_sa_contig65	contig_95	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226497	3001	sa_ill_sa_contig1	contig_95	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226498	227827	sa_ill_sa_contig48	contig_95	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326495	227828	sa_ill_sa_contig11	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326496	333583	sa_ill_sa_contig36	contig_95	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355385	333584	sa_ill_sa_contig30	contig_95	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355386	356096	sa_ill_sa_contig55	contig_95	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370311	356097	sa_ill_sa_contig34	contig_95	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370465	403462	sa_ill_sa_contig26	contig_95	99.79		True
local misassembly [fragmentation of reference genome]
2	925	403667	404584	sa_ill_sa_contig51	contig_95	97.74		True
translocation
198	3323	405139	408268	sa_ill_sa_contig41	contig_95	99.74		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408690	410293	sa_ill_sa_contig8	contig_95	99.65		True
translocation
1	28120	410294	438430	sa_ill_sa_contig28	contig_95	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438435	478187	sa_ill_sa_contig21	contig_95	99.85		True
local misassembly [fragmentation of reference genome]
98092	98471	478566	478188	sa_ill_sa_contig11	contig_95	97.97		True
translocation
1	62604	478567	541049	sa_ill_sa_contig14	contig_95	99.61		True
local misassembly
62396	62502	541099	541205	sa_ill_sa_contig14	contig_95	98.6		True
translocation
203	3323	541206	544328	sa_ill_sa_contig41	contig_95	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544747	546350	sa_ill_sa_contig8	contig_95	99.36		True
translocation
19	34443	580795	546351	sa_ill_sa_contig24	contig_95	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619593	580796	sa_ill_sa_contig22	contig_95	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619594	620126	sa_ill_sa_contig63	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654515	620127	sa_ill_sa_contig25	contig_95	99.82		True
translocation
203	3323	654680	657803	sa_ill_sa_contig41	contig_95	99.55		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	658176	790217	sa_ill_sa_contig8	contig_95	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790559	940073	sa_ill_sa_contig5	contig_95	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	940119	971022	sa_ill_sa_contig27	contig_95	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	971023	971830	sa_ill_sa_contig53	contig_95	99.65		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974870	971949	sa_ill_sa_contig43	contig_95	99.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988574	974871	sa_ill_sa_contig35	contig_95	99.79		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989306	1115089	sa_ill_sa_contig10	contig_95	99.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1115090	1115754	sa_ill_sa_contig60	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1117357	1116874	sa_ill_sa_contig65	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1138185	1117358	sa_ill_sa_contig32	contig_95	99.86		True
translocation
1	130429	1268606	1138186	sa_ill_sa_contig9	contig_95	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268607	1273191	sa_ill_sa_contig40	contig_95	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1273192	1278514	sa_ill_sa_contig38	contig_95	99.76		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1283097	1278515	sa_ill_sa_contig40	contig_95	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1309287	1283098	sa_ill_sa_contig29	contig_95	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1309652	1310508	sa_ill_sa_contig54	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1312713	1311038	sa_ill_sa_contig46	contig_95	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1312714	1356251	sa_ill_sa_contig18	contig_95	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1356784	1356252	sa_ill_sa_contig63	contig_95	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	1356785	1499751	sa_ill_sa_contig6	contig_95	99.8		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	1499905	1520957	sa_ill_sa_contig31	contig_95	99.84		True
translocation
98057	98213	1520958	1521114	sa_ill_sa_contig11	contig_95	98.58		True
local misassembly
98340	98561	1521115	1521336	sa_ill_sa_contig11	contig_95	98.02		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1547956	1521337	sa_ill_sa_contig12	contig_95	99.29		True
local misassembly
46	44268	1592191	1547957	sa_ill_sa_contig12	contig_95	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1592192	1642931	sa_ill_sa_contig17	contig_95	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1642932	1647927	sa_ill_sa_contig39	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1647928	1662303	sa_ill_sa_contig33	contig_95	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1663014	1662304	sa_ill_sa_contig55	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6686	1669710	1663015	sa_ill_sa_contig37	contig_95	99.7		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1669737	1672577	sa_ill_sa_contig44	contig_95	99.58		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1576	1674155	1672578	sa_ill_sa_contig47	contig_95	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	41074	1715275	1674182	sa_ill_sa_contig20	contig_95	99.84		True
translocation
1	1649	1716928	1715276	sa_ill_sa_contig8	contig_95	99.59		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1720440	1717316	sa_ill_sa_contig41	contig_95	99.68		True
translocation
38161	38352	1720723	1720533	sa_ill_sa_contig23	contig_95	95.31		True
local misassembly
38187	38352	1720975	1720810	sa_ill_sa_contig23	contig_95	98.8		True
local misassembly
1	38352	1759454	1721067	sa_ill_sa_contig23	contig_95	99.81		True
fake: not a misassembly [fragmentation of reference genome]
688	925	1759849	1759597	sa_ill_sa_contig51	contig_95	94.07		True
translocation
1	1703	1761566	1759863	sa_ill_sa_contig8	contig_95	99.71		True
