S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1195	se_ill_se_contig56	contig_53	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1196	52851	se_ill_se_contig27	contig_53	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350666	52852	se_ill_se_contig2	contig_53	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350667	351058	se_ill_se_contig69	contig_53	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355125	351059	se_ill_se_contig46	contig_53	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355126	358796	se_ill_se_contig47	contig_53	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358797	360573	se_ill_se_contig53	contig_53	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361060	360574	se_ill_se_contig63	contig_53	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85657	162102	437497	361061	se_ill_se_contig11	contig_53	99.96		True
local misassembly
1	86128	523616	437498	se_ill_se_contig11	contig_53	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524758	523617	se_ill_se_contig56	contig_53	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524759	538481	se_ill_se_contig4	contig_53	99.97		True
local misassembly
13844	16547	538482	541184	se_ill_se_contig4	contig_53	98.95		True
local misassembly
16782	245298	541185	769672	se_ill_se_contig4	contig_53	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769673	771404	se_ill_se_contig54	contig_53	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771405	772249	se_ill_se_contig58	contig_53	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772250	773763	se_ill_se_contig55	contig_53	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773764	774195	se_ill_se_contig65	contig_53	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774686	774196	se_ill_se_contig64	contig_53	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
