S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	2207	3	2209	pa_ill_pa_contig55	contig_184	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	47071	49959	2888	pa_ill_pa_contig35	contig_184	99.99		True
translocation
2917	3517	49960	50560	pa_ill_pa_contig6	contig_184	94.81		True
relocation, inconsistency = -3525
1	266935	50569	317502	pa_ill_pa_contig6	contig_184	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	428712	317503	pa_ill_pa_contig20	contig_184	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	434109	428713	pa_ill_pa_contig45	contig_184	99.47		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	434110	552805	pa_ill_pa_contig19	contig_184	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	552806	553297	pa_ill_pa_contig80	contig_184	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	554534	553298	pa_ill_pa_contig65	contig_184	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	555423	554535	pa_ill_pa_contig71	contig_184	98.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	702	555424	556070	pa_ill_pa_contig8	contig_184	99.05		True
translocation
1	23992	556071	580062	pa_ill_pa_contig40	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	580063	581420	pa_ill_pa_contig62	contig_184	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	581421	638102	pa_ill_pa_contig30	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	638103	638919	pa_ill_pa_contig73	contig_184	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	843802	638920	pa_ill_pa_contig12	contig_184	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	843803	845184	pa_ill_pa_contig61	contig_184	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	845185	951981	pa_ill_pa_contig21	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	953129	951982	pa_ill_pa_contig64	contig_184	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34328	953130	987457	pa_ill_pa_contig15	contig_184	99.86		True
local misassembly
34236	173697	987458	1126997	pa_ill_pa_contig15	contig_184	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	690	1126998	1127632	pa_ill_pa_contig76	contig_184	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	1128775	1127748	pa_ill_pa_contig68	contig_184	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	592	1129534	1130125	pa_ill_pa_contig77	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	690	1130126	1130815	pa_ill_pa_contig76	contig_184	99.86		True
fake: not a misassembly [fragmentation of reference genome]
56	1028	1131903	1130931	pa_ill_pa_contig68	contig_184	99.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1661	1133509	1131904	pa_ill_pa_contig59	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1627	1133510	1135136	pa_ill_pa_contig58	contig_184	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	1135137	1140107	pa_ill_pa_contig46	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	1140108	1141679	pa_ill_pa_contig58	contig_184	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	1141680	1144917	pa_ill_pa_contig50	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1144918	1145661	pa_ill_pa_contig75	contig_184	99.12		True
fake: not a misassembly [fragmentation of reference genome]
1	6148	1152509	1146351	pa_ill_pa_contig43	contig_184	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1152510	1153253	pa_ill_pa_contig75	contig_184	98.62		True
fake: not a misassembly [fragmentation of reference genome]
1	68331	1153943	1222275	pa_ill_pa_contig28	contig_184	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	1222276	1223150	pa_ill_pa_contig69	contig_184	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	1253918	1223151	pa_ill_pa_contig38	contig_184	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	1256351	1253919	pa_ill_pa_contig48	contig_184	99.4		True
local misassembly
56	1079	1257530	1256507	pa_ill_pa_contig48	contig_184	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	1257531	1264120	pa_ill_pa_contig42	contig_184	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	1267074	1264121	pa_ill_pa_contig51	contig_184	99.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	1267075	1293868	pa_ill_pa_contig39	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	1294361	1293869	pa_ill_pa_contig79	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	1552930	1294362	pa_ill_pa_contig8	contig_184	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	1552931	1553764	pa_ill_pa_contig71	contig_184	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	1553765	1555001	pa_ill_pa_contig65	contig_184	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	1555493	1555002	pa_ill_pa_contig80	contig_184	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	1555494	1746816	pa_ill_pa_contig13	contig_184	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
17	1142	1747942	1746817	pa_ill_pa_contig67	contig_184	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86400	1747943	1834339	pa_ill_pa_contig25	contig_184	99.99		True
translocation
161	249467	1834340	2083647	pa_ill_pa_contig9	contig_184	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	2531	2086542	2084012	pa_ill_pa_contig53	contig_184	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	929	2087599	2086670	pa_ill_pa_contig72	contig_184	99.25		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	2088112	2087600	pa_ill_pa_contig78	contig_184	97.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	2088113	2091892	pa_ill_pa_contig47	contig_184	90.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	2092322	2091893	pa_ill_pa_contig84	contig_184	98.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	121067	2213391	2092323	pa_ill_pa_contig17	contig_184	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	56007	2213653	2269659	pa_ill_pa_contig32	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	2270807	2269660	pa_ill_pa_contig64	contig_184	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
247199	542364	2565971	2270808	pa_ill_pa_contig2	contig_184	99.99		True
local misassembly
1	247083	2813055	2565972	pa_ill_pa_contig2	contig_184	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	2813056	2813485	pa_ill_pa_contig84	contig_184	98.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	2817260	2813486	pa_ill_pa_contig47	contig_184	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	2817261	2817773	pa_ill_pa_contig78	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	929	2817774	2818703	pa_ill_pa_contig72	contig_184	98.39		True
fake: not a misassembly [fragmentation of reference genome]
1	2549	2818831	2821379	pa_ill_pa_contig52	contig_184	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	404310	3226042	2821738	pa_ill_pa_contig4	contig_184	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	3226043	3227400	pa_ill_pa_contig62	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	122468	3227401	3349870	pa_ill_pa_contig16	contig_184	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	53273	3403559	3350285	pa_ill_pa_contig33	contig_184	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	3404052	3403560	pa_ill_pa_contig79	contig_184	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
41341	76514	3439224	3404053	pa_ill_pa_contig26	contig_184	99.98		True
local misassembly
1	41228	3480453	3439225	pa_ill_pa_contig26	contig_184	99.99		True
translocation
56	770	3481162	3480454	pa_ill_pa_contig20	contig_184	90.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5507	3486615	3481163	pa_ill_pa_contig45	contig_184	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68413	3486616	3555032	pa_ill_pa_contig27	contig_184	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	3560639	3555033	pa_ill_pa_contig44	contig_184	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	87995	3648635	3560640	pa_ill_pa_contig24	contig_184	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	3648636	3649722	pa_ill_pa_contig67	contig_184	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	294591	3649723	3944309	pa_ill_pa_contig5	contig_184	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	3944310	3945126	pa_ill_pa_contig73	contig_184	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
