S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1195	se_ill_se_contig56	contig_32	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1196	52858	se_ill_se_contig27	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350732	52859	se_ill_se_contig2	contig_32	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350733	351124	se_ill_se_contig69	contig_32	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355193	351125	se_ill_se_contig46	contig_32	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355194	358865	se_ill_se_contig47	contig_32	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358866	360643	se_ill_se_contig53	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361130	360644	se_ill_se_contig63	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85533	162102	437702	361131	se_ill_se_contig11	contig_32	99.97		True
local misassembly
1	85763	524022	438263	se_ill_se_contig11	contig_32	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	525164	524023	se_ill_se_contig56	contig_32	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	525165	538890	se_ill_se_contig4	contig_32	99.98		True
local misassembly
13844	16547	538891	541593	se_ill_se_contig4	contig_32	98.95		True
local misassembly
16782	245298	541594	770114	se_ill_se_contig4	contig_32	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	770115	771848	se_ill_se_contig54	contig_32	99.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771849	772694	se_ill_se_contig58	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772695	774208	se_ill_se_contig55	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	774209	774640	se_ill_se_contig65	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	775131	774641	se_ill_se_contig64	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	775132	779853	se_ill_se_contig43	contig_32	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5265	785065	779854	se_ill_se_contig41	contig_32	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21152	806219	785066	se_ill_se_contig37	contig_32	99.98		True
translocation
103637	104041	806220	806625	se_ill_se_contig19	contig_32	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	806626	809013	se_ill_se_contig42	contig_32	99.92		True
translocation
1	660	809028	809687	se_ill_se_contig60	contig_32	100.0		True
translocation
3345	5023	809871	811549	se_ill_se_contig42	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	811550	860689	se_ill_se_contig7	contig_32	99.99		True
inversion
49137	50103	861656	860690	se_ill_se_contig7	contig_32	100.0		True
inversion
50104	198853	861657	1010415	se_ill_se_contig7	contig_32	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1011555	1010416	se_ill_se_contig56	contig_32	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1039236	1011556	se_ill_se_contig35	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1039237	1040377	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1040378	1092108	se_ill_se_contig26	contig_32	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	177680	1269986	1092288	se_ill_se_contig10	contig_32	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1269987	1271127	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	94784	1365915	1271128	se_ill_se_contig20	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	58960	1424875	1365916	se_ill_se_contig24	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1427995	1424876	se_ill_se_contig48	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44860	1472858	1427996	se_ill_se_contig30	contig_32	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	2387	1472935	1475321	se_ill_se_contig42	contig_32	100.0		True
translocation
1	660	1475336	1475995	se_ill_se_contig60	contig_32	100.0		True
translocation
3345	5078	1476179	1477912	se_ill_se_contig42	contig_32	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	26107	1504122	1478016	se_ill_se_contig36	contig_32	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	1505031	1504123	se_ill_se_contig57	contig_32	99.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	242448	1747445	1505032	se_ill_se_contig5	contig_32	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1747446	1748587	se_ill_se_contig56	contig_32	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	158034	1748588	1906613	se_ill_se_contig12	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1907754	1906614	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3049	1907755	1910803	se_ill_se_contig49	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3727	1910804	1914530	se_ill_se_contig47	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	583	1915058	1914531	se_ill_se_contig63	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	77562	1992621	1915059	se_ill_se_contig23	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
3345	5023	1994301	1992622	se_ill_se_contig42	contig_32	99.88		True
local misassembly
1	2387	1997704	1995318	se_ill_se_contig42	contig_32	99.96		True
fake: not a misassembly [fragmentation of reference genome]
24	36664	2034476	1997833	se_ill_se_contig32	contig_32	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	53027	2087505	2034477	se_ill_se_contig25	contig_32	99.99		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2089396	2087662	se_ill_se_contig42	contig_32	99.88		True
translocation
