S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200230	200231	1	ec_ill_ec_contig2	contig_37	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200232	200717	ec_ill_ec_contig98	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216080	200718	ec_ill_ec_contig54	contig_37	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216633	216148	ec_ill_ec_contig104	contig_37	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	314023	216729	ec_ill_ec_contig19	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	314024	316548	ec_ill_ec_contig71	contig_37	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316764	317339	ec_ill_ec_contig95	contig_37	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317340	325034	ec_ill_ec_contig61	contig_37	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325489	325035	ec_ill_ec_contig101	contig_37	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352834	325490	ec_ill_ec_contig46	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352835	353407	ec_ill_ec_contig96	contig_37	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353750	353408	ec_ill_ec_contig85	contig_37	93.45		True
translocation
1	1970	355720	353751	ec_ill_ec_contig74	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356694	355721	ec_ill_ec_contig82	contig_37	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356695	371070	ec_ill_ec_contig55	contig_37	99.98		True
translocation
1	384	371454	371071	ec_ill_ec_contig50	contig_37	98.97		True
fake: not a misassembly [fragmentation of reference genome]
1	395	371574	371968	ec_ill_ec_contig9	contig_37	97.18		True
translocation
1	18741	371969	390709	ec_ill_ec_contig51	contig_37	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391262	390777	ec_ill_ec_contig104	contig_37	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391358	423045	ec_ill_ec_contig42	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435913	423046	ec_ill_ec_contig57	contig_37	100.0		True
local misassembly [fragmentation of reference genome]
22	507	436009	436494	ec_ill_ec_contig104	contig_37	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535336	436562	ec_ill_ec_contig18	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536568	535337	ec_ill_ec_contig79	contig_37	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707871	536569	ec_ill_ec_contig3	contig_37	99.99		True
local misassembly
1	57666	765539	707872	ec_ill_ec_contig3	contig_37	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765540	766113	ec_ill_ec_contig96	contig_37	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766475	766114	ec_ill_ec_contig85	contig_37	94.88		True
translocation
56	550	766970	766476	ec_ill_ec_contig102	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	767562	766971	ec_ill_ec_contig93	contig_37	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	767563	768401	ec_ill_ec_contig88	contig_37	95.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	769484	768402	ec_ill_ec_contig82	contig_37	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	920	769485	770349	ec_ill_ec_contig87	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	770350	770874	ec_ill_ec_contig100	contig_37	99.66		True
fake: not a misassembly [fragmentation of reference genome]
18517	19021	771826	771322	ec_ill_ec_contig50	contig_37	94.43		True
translocation
1	13785	771827	785613	ec_ill_ec_contig56	contig_37	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	786166	785681	ec_ill_ec_contig104	contig_37	91.77		True
local misassembly [fragmentation of reference genome]
1	292	787029	787320	ec_ill_ec_contig13	contig_37	97.96		True
translocation
9004	9482	787321	787799	ec_ill_ec_contig55	contig_37	96.15		True
translocation
1	595	787800	788394	ec_ill_ec_contig99	contig_37	100.0		True
translocation
70844	71136	788600	788892	ec_ill_ec_contig26	contig_37	99.32		True
fake: not a misassembly [fragmentation of reference genome]
1	395	789012	789406	ec_ill_ec_contig9	contig_37	96.9		True
translocation
1	70438	789407	859845	ec_ill_ec_contig27	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	859846	860967	ec_ill_ec_contig80	contig_37	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38051	899018	860968	ec_ill_ec_contig38	contig_37	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	3119	902750	899632	ec_ill_ec_contig69	contig_37	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	71131	903632	974793	ec_ill_ec_contig26	contig_37	99.94		True
local misassembly [fragmentation of reference genome]
1	125137	974918	1100051	ec_ill_ec_contig9	contig_37	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	19021	1100171	1119192	ec_ill_ec_contig50	contig_37	99.89		True
fake: not a misassembly [fragmentation of reference genome]
56	580	1120164	1119640	ec_ill_ec_contig100	contig_37	99.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	937	1121046	1120165	ec_ill_ec_contig86	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	1121047	1122130	ec_ill_ec_contig82	contig_37	98.99		True
