Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# misassemblies	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
  # contig misassemblies	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	2845422	2845369	2845428	2845432	2845260	2845328	2843368	2845425	2845372	2845428	2845431	2845275	2845354	2843858	2845425	2845364	2845429	2845427	2845297	2845324	2843845
# possibly misassembled contigs	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
    # possible misassemblies	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	6
# local misassemblies	16	16	16	16	16	16	20	16	16	16	16	16	16	20	16	16	16	16	16	16	20
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	19	18	19	19	19	19	10	19	19	19	19	19	19	10	19	19	19	19	19	19	11
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6
# mismatches	7011	7209	7111	7052	6530	6746	4382	7023	7143	6964	6976	6461	6844	4321	7026	7119	7134	7073	6544	6859	4195
# indels	443	440	398	379	606	594	3718	441	445	389	388	609	609	3580	450	443	399	392	574	610	3565
    # indels (<= 5 bp)	402	397	359	338	567	555	3677	400	403	350	347	572	568	3542	409	399	360	351	536	569	3530
    # indels (> 5 bp)	41	43	39	41	39	39	41	41	42	39	41	37	41	38	41	44	39	41	38	41	35
Indels length	2461	2473	2351	2336	2575	2583	6421	2459	2476	2326	2348	2570	2657	6281	2474	2479	2353	2370	2537	2619	6151
