S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
847596	847683	1	88	pa_ill_pa_contig1	contig_167	100.0		False
1	88	88	1	pa_ill_pa_contig23	contig_167	100.0		False
25910	26592	525458	524773	pa_ill_pa_contig14	contig_167	90.39		False
710	1065	618245	618600	pa_ill_pa_contig59	contig_167	92.98		False
3591	3857	618939	618673	pa_ill_pa_contig46	contig_167	91.76		False
1136	1458	618671	618993	pa_ill_pa_contig59	contig_167	96.28		False
1578	1661	619113	619196	pa_ill_pa_contig59	contig_167	90.48		False
46745	46820	1192496	1192421	pa_ill_pa_contig33	contig_167	98.68		False
2771	3517	1698033	1697287	pa_ill_pa_contig6	contig_167	94.78		False
55609	56418	1697271	1698080	pa_ill_pa_contig20	contig_167	92.87		False
52883	53273	1698083	1697693	pa_ill_pa_contig33	contig_167	91.86		False
264617	265097	2702888	2702408	pa_ill_pa_contig7	contig_167	92.36		False
264591	265097	2706797	2706291	pa_ill_pa_contig7	contig_167	93.14		False
3381	3503	2708052	2708174	pa_ill_pa_contig49	contig_167	91.87		False
292	749	3161537	3161991	pa_ill_pa_contig31	contig_167	90.63		False
104	348	3161832	3162076	pa_ill_pa_contig31	contig_167	91.02		False
266	591	3161751	3162076	pa_ill_pa_contig31	contig_167	91.41		False
141	261	3162109	3162229	pa_ill_pa_contig31	contig_167	93.39		False
509	749	3162234	3162474	pa_ill_pa_contig31	contig_167	93.78		False
104	348	3162315	3162559	pa_ill_pa_contig31	contig_167	91.43		False
266	591	3162234	3162559	pa_ill_pa_contig31	contig_167	91.72		False
1105	1184	3162587	3162666	pa_ill_pa_contig31	contig_167	90.0		False
1	124	3162925	3162802	pa_ill_pa_contig14	contig_167	90.32		False
419	580	3163110	3163271	pa_ill_pa_contig31	contig_167	91.36		False
176	337	3163110	3163271	pa_ill_pa_contig31	contig_167	91.36		False
1105	1184	3163310	3163389	pa_ill_pa_contig31	contig_167	92.5		False
144	420	3163508	3163232	pa_ill_pa_contig14	contig_167	90.25		False
6	131	3163646	3163521	pa_ill_pa_contig14	contig_167	93.65		False
590	763	3163521	3163694	pa_ill_pa_contig31	contig_167	93.1		False
12	334	3163883	3163561	pa_ill_pa_contig14	contig_167	94.43		False
216	367	3163922	3163771	pa_ill_pa_contig14	contig_167	90.13		False
136	749	3163310	3163923	pa_ill_pa_contig31	contig_167	90.6		False
117	348	3163777	3164008	pa_ill_pa_contig31	contig_167	90.52		False
1099	1184	3164030	3164115	pa_ill_pa_contig31	contig_167	91.86		False
1	124	3164134	3164011	pa_ill_pa_contig14	contig_167	92.74		False
354	504	3164011	3164161	pa_ill_pa_contig31	contig_167	90.73		False
1	420	3164377	3163958	pa_ill_pa_contig14	contig_167	90.71		False
26159	26292	4098065	4097932	pa_ill_pa_contig14	contig_167	93.28		False
25874	26153	4098350	4098071	pa_ill_pa_contig14	contig_167	92.5		False
6462	6590	4312358	4312230	pa_ill_pa_contig42	contig_167	97.67		False
1	77	4558796	4558872	pa_ill_pa_contig22	contig_167	98.7		False
46729	47071	4559138	4558796	pa_ill_pa_contig35	contig_167	97.67		False
55696	56158	5189880	5189418	pa_ill_pa_contig20	contig_167	95.25		False
2820	3940	5189254	5190374	pa_ill_pa_contig6	contig_167	90.51		False
1	2531	5720961	5718413	pa_ill_pa_contig53	contig_167	93.34		False
401	477	6326100	6326024	pa_ill_pa_contig9	contig_167	100.0		False
99	178	6326273	6326194	pa_ill_pa_contig32	contig_167	98.75		False
401	476	6326391	6326316	pa_ill_pa_contig9	contig_167	100.0		False
1	3774	6451610	6447832	pa_ill_pa_contig47	contig_167	90.15		False
1	2549	6453180	6455710	pa_ill_pa_contig52	contig_167	93.19		False
1	1142	34	1175	pa_ill_pa_contig67	contig_167	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	192491	1176	pa_ill_pa_contig13	contig_167	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	192492	192983	pa_ill_pa_contig80	contig_167	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	194220	192984	pa_ill_pa_contig65	contig_167	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	195053	194221	pa_ill_pa_contig71	contig_167	99.26		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	195054	453597	pa_ill_pa_contig8	contig_167	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	453598	454090	pa_ill_pa_contig79	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	480883	454091	pa_ill_pa_contig39	contig_167	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	480884	483836	pa_ill_pa_contig51	contig_167	99.25		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	490420	483837	pa_ill_pa_contig42	contig_167	99.73		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1079	490421	491444	pa_ill_pa_contig48	contig_167	99.54		True
local misassembly
1235	3667	491600	494032	pa_ill_pa_contig48	contig_167	99.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	494033	524792	pa_ill_pa_contig38	contig_167	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	525667	524793	pa_ill_pa_contig69	contig_167	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68331	593989	525668	pa_ill_pa_contig28	contig_167	99.99		True
fake: not a misassembly [fragmentation of reference genome]
56	799	595422	594679	pa_ill_pa_contig75	contig_167	98.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6148	595423	601569	pa_ill_pa_contig43	contig_167	99.97		True
fake: not a misassembly [fragmentation of reference genome]
56	799	603002	602259	pa_ill_pa_contig75	contig_167	99.12		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	606240	603003	pa_ill_pa_contig50	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	607812	606241	pa_ill_pa_contig58	contig_167	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	612781	607813	pa_ill_pa_contig46	contig_167	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	614353	612782	pa_ill_pa_contig58	contig_167	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1661	614354	616013	pa_ill_pa_contig59	contig_167	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1028	616014	616986	pa_ill_pa_contig68	contig_167	99.51		True
fake: not a misassembly [fragmentation of reference genome]
1	690	617791	617102	pa_ill_pa_contig76	contig_167	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	592	618383	617792	pa_ill_pa_contig77	contig_167	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	619142	620169	pa_ill_pa_contig68	contig_167	99.81		True
fake: not a misassembly [fragmentation of reference genome]
56	690	620919	620285	pa_ill_pa_contig76	contig_167	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
34236	173697	760449	620920	pa_ill_pa_contig15	contig_167	99.93		True
local misassembly
1	34328	794774	760450	pa_ill_pa_contig15	contig_167	99.84		True
