Assembly	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NGA50	NGA75	LGA50	LGA75
r10_1bin_v2_1_MP	7	7	7	7	24074864	24074864	24074864	24074864	7	4765873	24074864	2958570	44.80	37.84	4045598	4765873	2845425	4765873	3	1	5	1	2	1	2992095	7	0	0	6	0 + 7 part	20957158	99.984	1.054	0.00	228.68	21.98	1569036	3117232	1569036	1410535	1	2
r10_1bin_v2_1_MP_helen	7	7	7	7	24069434	24069434	24069434	24069434	7	4765292	24069434	2958570	44.80	37.84	4045624	4765292	2845362	4765292	3	1	5	1	2	1	2992079	7	0	0	6	0 + 7 part	20949813	99.984	1.055	0.04	234.23	22.18	1569035	3119137	1569035	1410501	1	2
r10_1bin_v2_1_r1_medaka	7	7	7	7	24071998	24071998	24071998	24071998	7	4765363	24071998	2958570	44.80	37.84	4045593	4765363	2845428	4765363	3	1	5	1	2	1	2992073	7	0	0	6	0 + 7 part	20952030	99.984	1.055	0.00	233.52	21.81	1569032	3119494	1569032	1410517	1	2
r10_1bin_v2_1_r2_medaka	7	7	7	7	24064261	24064261	24064261	24064261	7	4765370	24064261	2958570	44.80	37.84	4045588	4765370	2845425	4765370	3	1	5	1	2	1	2992075	7	0	0	6	0 + 7 part	20945493	99.984	1.055	0.00	229.46	22.22	1569033	3118294	1569033	1410518	1	2
r10_1bin_v2_1_racon_r1	7	7	7	7	24059992	24059992	24059992	24059992	7	4764541	24059992	2958570	44.78	37.84	4045161	4764541	2845303	4764541	3	1	5	1	2	1	2991950	7	0	0	6	0 + 7 part	20942476	99.984	1.054	0.00	225.71	31.75	1568974	3117044	1568974	1410456	1	2
r10_1bin_v2_1_racon_r2	7	7	7	7	24055964	24055964	24055964	24055964	7	4764622	24055964	2958570	44.78	37.84	4045292	4764622	2845317	4764622	3	1	5	1	2	1	2991981	7	0	0	6	0 + 7 part	20937506	99.984	1.054	0.00	229.33	30.20	1568982	3117986	1568982	1410478	1	2
r10_1bin_v2_1_raw	8	8	8	8	30847730	30847730	30847730	30847730	8	6787707	30847730	2958570	49.48	37.84	4755626	6787707	2990263	6787707	3	1	5	1	2	1	2990263	13	0	0	7	0 + 8 part	27792737	99.975	1.033	0.00	137.97	113.56	1568099	3054565	1568099	1409677	1	2
r10_1bin_v2_2_MP	7	7	7	7	24074405	24074405	24074405	24074405	7	4765365	24074405	2958570	44.80	37.84	4045604	4765365	2845427	4765365	3	1	5	1	2	1	2992085	7	0	0	6	0 + 7 part	20956324	99.984	1.054	0.00	230.17	22.01	1569038	3117607	1569038	1410523	1	2
r10_1bin_v2_2_MP_helen	7	7	7	7	24069671	24069671	24069671	24069671	7	4765330	24069671	2958570	44.80	37.84	4045480	4765330	2845365	4765330	3	1	5	1	2	1	2992067	7	0	0	6	0 + 7 part	20949421	99.984	1.055	0.00	236.12	22.22	1569031	3119776	1569031	1410493	1	2
r10_1bin_v2_2_r1_medaka	7	7	7	7	24071816	24071816	24071816	24071816	7	4765353	24071816	2958570	44.80	37.84	4045604	4765353	2845431	4765353	3	1	5	1	2	1	2992071	7	0	0	6	0 + 7 part	20952936	99.984	1.055	0.00	229.46	22.25	1569031	3118406	1569031	1410516	1	2
r10_1bin_v2_2_r2_medaka	7	7	7	7	24060875	24060875	24060875	24060875	7	4765356	24060875	2958570	44.80	37.84	4045608	4765356	2845433	4765356	3	1	5	1	2	1	2992073	7	0	0	6	0 + 7 part	20943499	99.984	1.054	0.00	225.07	21.91	1569032	3116902	1569032	1410517	1	2
r10_1bin_v2_2_racon_r1	7	7	7	7	24059808	24059808	24059808	24059808	7	4764481	24059808	2958570	44.78	37.84	4045229	4764481	2845282	4764481	3	1	5	1	2	1	2991978	7	0	0	6	0 + 7 part	20942462	99.984	1.054	0.00	224.93	31.92	1568974	3116874	1568974	1410481	1	2
r10_1bin_v2_2_racon_r2	7	7	7	7	24052467	24052467	24052467	24052467	7	4764622	24052467	2958570	44.78	37.84	4045315	4764622	2845346	4764622	3	1	5	1	2	1	2991952	7	0	0	6	0 + 7 part	20935152	99.984	1.054	0.00	225.57	29.45	1568957	3116843	1568957	1410472	1	2
r10_1bin_v2_2_raw	8	8	8	8	30848669	30848669	30848669	30848669	8	6787702	30848669	2958570	49.48	37.84	4756102	6787702	2990631	6787702	3	1	5	1	2	1	2990631	14	0	0	7	0 + 8 part	27788096	99.981	1.035	0.00	149.36	116.05	1568349	3060190	1568349	1409723	1	2
r10_1bin_v2_3_MP	7	7	7	7	24075545	24075545	24075545	24075545	7	4765372	24075545	2958570	44.80	37.84	4045596	4765372	2845434	4765372	3	1	5	1	2	1	2992051	7	0	0	6	0 + 7 part	20957716	99.986	1.054	0.00	229.39	22.01	2719477	3116441	2719477	2719477	1	1
r10_1bin_v2_3_MP_helen	7	7	7	7	24072103	24072103	24072103	24072103	7	4765362	24072103	2958570	44.81	37.84	4045614	4765362	2845416	4765362	3	1	5	1	2	1	2992049	7	0	0	6	0 + 7 part	20952258	99.986	1.055	0.00	234.39	22.15	2719475	3118457	2719475	2719475	1	1
r10_1bin_v2_3_r1_medaka	7	7	7	7	24075113	24075113	24075113	24075113	7	4765559	24075113	2958570	44.80	37.84	4045597	4765559	2845426	4765559	3	1	5	1	2	1	2992047	7	0	0	6	0 + 7 part	20954700	99.986	1.055	0.00	235.44	22.32	2719473	3119025	2719473	2719473	1	1
r10_1bin_v2_3_r2_medaka	7	7	7	7	24069593	24069593	24069593	24069593	7	4765361	24069593	2958570	44.80	37.84	4045593	4765361	2845429	4765361	3	1	5	1	2	1	2992047	7	0	0	6	0 + 7 part	20949867	99.986	1.055	0.00	233.38	21.91	2719474	3118338	2719474	2719474	1	1
r10_1bin_v2_3_racon_r1	7	7	7	7	24065155	24065155	24065155	24065155	7	4764967	24065155	2958570	44.79	37.84	4045228	4764967	2845240	4764967	3	1	5	1	2	1	2991957	7	0	0	6	0 + 7 part	20947528	99.986	1.054	0.00	226.92	32.19	2719395	3116239	2719395	2719395	1	1
r10_1bin_v2_3_racon_r2	7	7	7	7	24060597	24060597	24060597	24060597	7	4764598	24060597	2958570	44.79	37.84	4045344	4764598	2845336	4764598	3	1	5	1	2	1	2991941	7	0	0	6	0 + 7 part	20942642	99.986	1.054	0.00	228.14	30.30	2719382	3116568	2719382	2719382	1	1
r10_1bin_v2_3_raw	8	8	8	8	30851275	30851275	30851275	30851275	8	6788581	30851275	2958570	49.48	37.84	4755682	6788581	2990406	6788581	3	1	5	1	2	1	2990406	15	0	0	7	0 + 8 part	27795798	99.976	1.033	0.00	140.24	117.04	2717859	3054098	2717859	2717859	1	1
