S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
46754	47071	3	320	pa_ill_pa_contig35	contig_142	98.43		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	3148	998	pa_ill_pa_contig55	contig_142	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	3149	235691	pa_ill_pa_contig10	contig_142	99.97		True
translocation
129	1718	235692	237281	pa_ill_pa_contig57	contig_142	100.0		True
translocation
232388	237415	237282	242307	pa_ill_pa_contig10	contig_142	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	244740	242308	pa_ill_pa_contig48	contig_142	99.56		True
local misassembly
1	1079	245974	244896	pa_ill_pa_contig48	contig_142	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	245975	246819	pa_ill_pa_contig70	contig_142	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3064	249826	246820	pa_ill_pa_contig51	contig_142	99.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
92967	210873	367726	249827	pa_ill_pa_contig11	contig_142	99.98		True
local misassembly
1	92856	460575	367727	pa_ill_pa_contig11	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	460576	461450	pa_ill_pa_contig69	contig_142	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	48969	461451	510421	pa_ill_pa_contig34	contig_142	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	510422	516023	pa_ill_pa_contig44	contig_142	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106324	622342	516024	pa_ill_pa_contig22	contig_142	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	90153	712863	622718	pa_ill_pa_contig23	contig_142	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	712864	713950	pa_ill_pa_contig67	contig_142	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	465790	713951	1179574	pa_ill_pa_contig3	contig_142	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	1179575	1182033	pa_ill_pa_contig54	contig_142	99.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	1182484	1182034	pa_ill_pa_contig83	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	868	1182485	1183352	pa_ill_pa_contig74	contig_142	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	119004	1184156	1303147	pa_ill_pa_contig18	contig_142	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5713	1303148	1308805	pa_ill_pa_contig44	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	893	1308806	1309643	pa_ill_pa_contig63	contig_142	100.0		True
translocation
56	1405	1310993	1309644	pa_ill_pa_contig12	contig_142	90.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1437	1310994	1312430	pa_ill_pa_contig61	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21904	1312431	1334334	pa_ill_pa_contig41	contig_142	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	868	1335862	1334989	pa_ill_pa_contig74	contig_142	98.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	1335863	1336313	pa_ill_pa_contig83	contig_142	95.37		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	1338771	1336314	pa_ill_pa_contig54	contig_142	99.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
