S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200282	200277	1	ec_ill_ec_contig2	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200278	200764	ec_ill_ec_contig98	contig_11	99.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216145	200765	ec_ill_ec_contig54	contig_11	99.71		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216698	216213	ec_ill_ec_contig104	contig_11	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	314082	216794	ec_ill_ec_contig19	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	314083	316607	ec_ill_ec_contig71	contig_11	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316823	317398	ec_ill_ec_contig95	contig_11	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317399	325091	ec_ill_ec_contig61	contig_11	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325546	325092	ec_ill_ec_contig101	contig_11	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352891	325547	ec_ill_ec_contig46	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352892	353465	ec_ill_ec_contig96	contig_11	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353808	353466	ec_ill_ec_contig85	contig_11	93.45		True
translocation
1	1970	355778	353809	ec_ill_ec_contig74	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356752	355779	ec_ill_ec_contig82	contig_11	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356753	371128	ec_ill_ec_contig55	contig_11	99.99		True
translocation
1	384	371512	371129	ec_ill_ec_contig50	contig_11	98.97		True
fake: not a misassembly [fragmentation of reference genome]
124743	125137	372026	371632	ec_ill_ec_contig9	contig_11	97.18		True
translocation
1	18741	372027	390766	ec_ill_ec_contig51	contig_11	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391319	390834	ec_ill_ec_contig104	contig_11	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391415	423102	ec_ill_ec_contig42	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435969	423103	ec_ill_ec_contig57	contig_11	99.99		True
local misassembly [fragmentation of reference genome]
22	507	436065	436550	ec_ill_ec_contig104	contig_11	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535388	436618	ec_ill_ec_contig18	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536620	535389	ec_ill_ec_contig79	contig_11	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707919	536621	ec_ill_ec_contig3	contig_11	100.0		True
local misassembly
1	57666	765585	707920	ec_ill_ec_contig3	contig_11	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765586	766158	ec_ill_ec_contig96	contig_11	99.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766520	766159	ec_ill_ec_contig85	contig_11	94.88		True
translocation
56	550	767015	766521	ec_ill_ec_contig102	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	767607	767016	ec_ill_ec_contig93	contig_11	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	767608	768446	ec_ill_ec_contig88	contig_11	95.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	769529	768447	ec_ill_ec_contig82	contig_11	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	920	769530	770394	ec_ill_ec_contig87	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	770395	770919	ec_ill_ec_contig100	contig_11	99.66		True
fake: not a misassembly [fragmentation of reference genome]
18517	19021	771871	771367	ec_ill_ec_contig50	contig_11	94.43		True
translocation
1	13785	771872	785655	ec_ill_ec_contig56	contig_11	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	786208	785723	ec_ill_ec_contig104	contig_11	91.77		True
local misassembly [fragmentation of reference genome]
1	292	787071	787362	ec_ill_ec_contig13	contig_11	97.96		True
translocation
9004	9482	787363	787841	ec_ill_ec_contig55	contig_11	96.15		True
translocation
1	595	787842	788436	ec_ill_ec_contig99	contig_11	100.0		True
translocation
70844	71136	788642	788934	ec_ill_ec_contig26	contig_11	99.32		True
fake: not a misassembly [fragmentation of reference genome]
1	395	789054	789448	ec_ill_ec_contig9	contig_11	96.9		True
translocation
1	70438	789449	859885	ec_ill_ec_contig27	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	859886	861007	ec_ill_ec_contig80	contig_11	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38051	899057	861008	ec_ill_ec_contig38	contig_11	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	3119	902789	899671	ec_ill_ec_contig69	contig_11	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	71131	903671	974830	ec_ill_ec_contig26	contig_11	99.94		True
local misassembly [fragmentation of reference genome]
1	125137	974955	1100087	ec_ill_ec_contig9	contig_11	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	19021	1100207	1119225	ec_ill_ec_contig50	contig_11	99.91		True
fake: not a misassembly [fragmentation of reference genome]
56	580	1120197	1119673	ec_ill_ec_contig100	contig_11	99.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	937	1121079	1120198	ec_ill_ec_contig86	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	1121080	1122163	ec_ill_ec_contig82	contig_11	98.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	1123002	1122164	ec_ill_ec_contig88	contig_11	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	592	1123003	1123539	ec_ill_ec_contig93	contig_11	98.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	967	1123540	1124506	ec_ill_ec_contig85	contig_11	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	573	1125024	1124507	ec_ill_ec_contig96	contig_11	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	110908	1235923	1125025	ec_ill_ec_contig13	contig_11	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	111329	1347530	1236203	ec_ill_ec_contig11	contig_11	100.0		True
local misassembly [fragmentation of reference genome]
22	300	1347809	1347531	ec_ill_ec_contig104	contig_11	91.77		True
local misassembly [fragmentation of reference genome]
1	31737	1379641	1347905	ec_ill_ec_contig41	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1379642	1380155	ec_ill_ec_contig97	contig_11	97.12		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7319	1380156	1387474	ec_ill_ec_contig62	contig_11	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	507	1388048	1387542	ec_ill_ec_contig104	contig_11	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	670	1388906	1388292	ec_ill_ec_contig92	contig_11	99.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	31854	1420756	1388907	ec_ill_ec_contig40	contig_11	99.99		True
translocation
124	1802	1422435	1420757	ec_ill_ec_contig61	contig_11	93.11		True
translocation
1	2582	1425382	1422801	ec_ill_ec_contig71	contig_11	100.0		True
translocation
71159	71855	1425578	1426276	ec_ill_ec_contig25	contig_11	96.28		True
fake: not a misassembly [fragmentation of reference genome]
26439	26892	1426832	1426379	ec_ill_ec_contig47	contig_11	100.0		True
translocation
1	1347	1428179	1426833	ec_ill_ec_contig78	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	576	1428687	1428180	ec_ill_ec_contig95	contig_11	95.43		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	10296	1428688	1438982	ec_ill_ec_contig58	contig_11	99.89		True
local misassembly [fragmentation of reference genome]
22	507	1439078	1439563	ec_ill_ec_contig104	contig_11	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	64433	1439633	1504063	ec_ill_ec_contig30	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	1505174	1504064	ec_ill_ec_contig81	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89333	1505175	1594506	ec_ill_ec_contig22	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	1595738	1594507	ec_ill_ec_contig79	contig_11	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	70123	1665863	1595739	ec_ill_ec_contig28	contig_11	99.99		True
local misassembly [fragmentation of reference genome]
22	507	1665959	1666444	ec_ill_ec_contig104	contig_11	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	5981	1672492	1666512	ec_ill_ec_contig63	contig_11	100.0		True
translocation
1	4424	1676917	1672493	ec_ill_ec_contig28	contig_11	99.98		True
local misassembly [fragmentation of reference genome]
22	507	1677013	1677498	ec_ill_ec_contig104	contig_11	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	101963	1779526	1677567	ec_ill_ec_contig17	contig_11	100.0		True
local misassembly [fragmentation of reference genome]
42883	42981	1780254	1780156	ec_ill_ec_contig36	contig_11	98.99		True
local misassembly
1	43039	1823435	1780403	ec_ill_ec_contig36	contig_11	99.97		True
relocation, inconsistency = -1267
182	998	1824520	1823705	ec_ill_ec_contig36	contig_11	94.92		True
translocation
1	1672	1826192	1824521	ec_ill_ec_contig76	contig_11	99.94		True
translocation
