S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_50	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_50	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2999	2516	sa_ill_sa_contig65	contig_50	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226454	3000	sa_ill_sa_contig1	contig_50	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226455	227784	sa_ill_sa_contig48	contig_50	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326420	227785	sa_ill_sa_contig11	contig_50	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326421	333502	sa_ill_sa_contig36	contig_50	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355307	333503	sa_ill_sa_contig30	contig_50	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355308	356019	sa_ill_sa_contig55	contig_50	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370229	356020	sa_ill_sa_contig34	contig_50	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370383	403370	sa_ill_sa_contig26	contig_50	99.83		True
local misassembly [fragmentation of reference genome]
2	925	403575	404493	sa_ill_sa_contig51	contig_50	97.95		True
translocation
198	3323	405048	408174	sa_ill_sa_contig41	contig_50	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408596	410199	sa_ill_sa_contig8	contig_50	99.59		True
translocation
1	28120	410200	438324	sa_ill_sa_contig28	contig_50	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438329	478077	sa_ill_sa_contig21	contig_50	99.9		True
local misassembly [fragmentation of reference genome]
98092	98471	478456	478078	sa_ill_sa_contig11	contig_50	97.97		True
translocation
1	62604	478457	540901	sa_ill_sa_contig14	contig_50	99.58		True
local misassembly
62396	62502	540951	541057	sa_ill_sa_contig14	contig_50	98.6		True
translocation
203	3323	541058	544175	sa_ill_sa_contig41	contig_50	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544593	546189	sa_ill_sa_contig8	contig_50	99.18		True
translocation
19	34443	580632	546190	sa_ill_sa_contig24	contig_50	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619413	580633	sa_ill_sa_contig22	contig_50	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619414	619946	sa_ill_sa_contig63	contig_50	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654326	619947	sa_ill_sa_contig25	contig_50	99.82		True
translocation
203	3323	654491	657612	sa_ill_sa_contig41	contig_50	99.74		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657984	790019	sa_ill_sa_contig8	contig_50	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790361	939886	sa_ill_sa_contig5	contig_50	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939932	970836	sa_ill_sa_contig27	contig_50	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970837	971643	sa_ill_sa_contig53	contig_50	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974682	971762	sa_ill_sa_contig43	contig_50	99.6		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988388	974683	sa_ill_sa_contig35	contig_50	99.79		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989120	1114848	sa_ill_sa_contig10	contig_50	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114849	1115513	sa_ill_sa_contig60	contig_50	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1117116	1116633	sa_ill_sa_contig65	contig_50	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137961	1117117	sa_ill_sa_contig32	contig_50	99.82		True
translocation
1	130429	1268353	1137962	sa_ill_sa_contig9	contig_50	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268354	1272938	sa_ill_sa_contig40	contig_50	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1272939	1278262	sa_ill_sa_contig38	contig_50	99.83		True
