S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
105683	121067	1	15386	pa_ill_pa_contig17	contig_154	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	15387	15815	pa_ill_pa_contig84	contig_154	98.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	19595	15816	pa_ill_pa_contig47	contig_154	90.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	19596	20108	pa_ill_pa_contig78	contig_154	97.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	929	20109	21037	pa_ill_pa_contig72	contig_154	99.35		True
fake: not a misassembly [fragmentation of reference genome]
1	2531	21165	23695	pa_ill_pa_contig53	contig_154	99.84		True
fake: not a misassembly [fragmentation of reference genome]
161	249467	273367	24060	pa_ill_pa_contig9	contig_154	100.0		True
translocation
1	86400	359765	273368	pa_ill_pa_contig25	contig_154	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
17	1142	359766	360891	pa_ill_pa_contig67	contig_154	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	552217	360892	pa_ill_pa_contig13	contig_154	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	552218	552709	pa_ill_pa_contig80	contig_154	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	553946	552710	pa_ill_pa_contig65	contig_154	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	554780	553947	pa_ill_pa_contig71	contig_154	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	554781	813353	pa_ill_pa_contig8	contig_154	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	813354	813846	pa_ill_pa_contig79	contig_154	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	840640	813847	pa_ill_pa_contig39	contig_154	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	840641	843594	pa_ill_pa_contig51	contig_154	99.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	850183	843595	pa_ill_pa_contig42	contig_154	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1079	850184	851207	pa_ill_pa_contig48	contig_154	99.54		True
local misassembly
1235	3667	851363	853795	pa_ill_pa_contig48	contig_154	99.44		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	853796	884563	pa_ill_pa_contig38	contig_154	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	885438	884564	pa_ill_pa_contig69	contig_154	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68331	953770	885439	pa_ill_pa_contig28	contig_154	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	799	955203	954460	pa_ill_pa_contig75	contig_154	98.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6148	955204	961351	pa_ill_pa_contig43	contig_154	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	799	962784	962041	pa_ill_pa_contig75	contig_154	99.12		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	966022	962785	pa_ill_pa_contig50	contig_154	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	967594	966023	pa_ill_pa_contig58	contig_154	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	972565	967595	pa_ill_pa_contig46	contig_154	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	974137	972566	pa_ill_pa_contig58	contig_154	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1661	974138	975798	pa_ill_pa_contig59	contig_154	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1028	975799	976771	pa_ill_pa_contig68	contig_154	99.51		True
fake: not a misassembly [fragmentation of reference genome]
