S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
56	1256	1201	1	pa_ill_pa_contig64	contig_138	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
247199	542364	296361	1202	pa_ill_pa_contig2	contig_138	99.99		True
local misassembly
1	247083	543444	296362	pa_ill_pa_contig2	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	543445	543874	pa_ill_pa_contig84	contig_138	98.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	547648	543875	pa_ill_pa_contig47	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	547649	548161	pa_ill_pa_contig78	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	929	548162	549089	pa_ill_pa_contig72	contig_138	98.17		True
fake: not a misassembly [fragmentation of reference genome]
1	2549	549217	551765	pa_ill_pa_contig52	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	404310	956433	552124	pa_ill_pa_contig4	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	956434	957791	pa_ill_pa_contig62	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	122468	957792	1080261	pa_ill_pa_contig16	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	53273	1133947	1080676	pa_ill_pa_contig33	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	1134440	1133948	pa_ill_pa_contig79	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
41341	76514	1169613	1134441	pa_ill_pa_contig26	contig_138	99.98		True
local misassembly
1	41228	1210841	1169614	pa_ill_pa_contig26	contig_138	100.0		True
translocation
56	770	1211550	1210842	pa_ill_pa_contig20	contig_138	90.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5507	1217002	1211551	pa_ill_pa_contig45	contig_138	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68413	1217003	1285421	pa_ill_pa_contig27	contig_138	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	1291027	1285422	pa_ill_pa_contig44	contig_138	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	87995	1379020	1291028	pa_ill_pa_contig24	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	1379021	1380107	pa_ill_pa_contig67	contig_138	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	294591	1380108	1674697	pa_ill_pa_contig5	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	1674698	1675514	pa_ill_pa_contig73	contig_138	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	35776	1675515	1711290	pa_ill_pa_contig37	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	1714311	1712160	pa_ill_pa_contig55	contig_138	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	1714312	1946878	pa_ill_pa_contig10	contig_138	99.98		True
translocation
129	1718	1946879	1948468	pa_ill_pa_contig57	contig_138	100.0		True
translocation
232388	237415	1948469	1953495	pa_ill_pa_contig10	contig_138	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	1955928	1953496	pa_ill_pa_contig48	contig_138	99.6		True
local misassembly
1	1079	1957162	1956084	pa_ill_pa_contig48	contig_138	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	1957163	1958008	pa_ill_pa_contig70	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3064	1961017	1958009	pa_ill_pa_contig51	contig_138	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
92967	210873	2078924	1961018	pa_ill_pa_contig11	contig_138	99.99		True
local misassembly
1	92856	2171780	2078925	pa_ill_pa_contig11	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	2171781	2172655	pa_ill_pa_contig69	contig_138	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	48969	2172656	2221624	pa_ill_pa_contig34	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	2221625	2227227	pa_ill_pa_contig44	contig_138	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106324	2333552	2227228	pa_ill_pa_contig22	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	90153	2424080	2333928	pa_ill_pa_contig23	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	2424081	2425167	pa_ill_pa_contig67	contig_138	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	465790	2425168	2890821	pa_ill_pa_contig3	contig_138	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	2890822	2893280	pa_ill_pa_contig54	contig_138	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	2893731	2893281	pa_ill_pa_contig83	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	868	2893732	2894599	pa_ill_pa_contig74	contig_138	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	119004	2895403	3014405	pa_ill_pa_contig18	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5713	3014406	3020063	pa_ill_pa_contig44	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	893	3020064	3020901	pa_ill_pa_contig63	contig_138	100.0		True
translocation
56	1405	3022251	3020902	pa_ill_pa_contig12	contig_138	90.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1437	3022252	3023688	pa_ill_pa_contig61	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21904	3023689	3045591	pa_ill_pa_contig41	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	868	3047119	3046246	pa_ill_pa_contig74	contig_138	98.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	3047120	3047570	pa_ill_pa_contig83	contig_138	95.37		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	3050029	3047571	pa_ill_pa_contig54	contig_138	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
132	56432	3106329	3050030	pa_ill_pa_contig31	contig_138	99.93		True
local misassembly
3	591	3106941	3106353	pa_ill_pa_contig31	contig_138	94.06		True
local misassembly [fragmentation of reference genome]
1	483	3107916	3108398	pa_ill_pa_contig14	contig_138	97.57		True
local misassembly
1	187635	3108399	3296029	pa_ill_pa_contig14	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	123	3296076	3296198	pa_ill_pa_contig7	contig_138	99.19		True
local misassembly
1	77	3296418	3296494	pa_ill_pa_contig7	contig_138	98.7		True
local misassembly
1	265097	3296874	3561969	pa_ill_pa_contig7	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1538	3562420	3563957	pa_ill_pa_contig60	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	3511	3567840	3564330	pa_ill_pa_contig49	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	38146	3568429	3606574	pa_ill_pa_contig36	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	3606575	3612178	pa_ill_pa_contig44	contig_138	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	61716	3612179	3673894	pa_ill_pa_contig29	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	3674981	3673895	pa_ill_pa_contig67	contig_138	99.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	847683	4522656	3674982	pa_ill_pa_contig1	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2207	4522657	4524808	pa_ill_pa_contig55	contig_138	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	47071	4572557	4525487	pa_ill_pa_contig35	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	266935	4573167	4840101	pa_ill_pa_contig6	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	4951309	4840102	pa_ill_pa_contig20	contig_138	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	4956706	4951310	pa_ill_pa_contig45	contig_138	99.47		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	4956707	5075400	pa_ill_pa_contig19	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	5075401	5075892	pa_ill_pa_contig80	contig_138	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	5077129	5075893	pa_ill_pa_contig65	contig_138	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	5078018	5077130	pa_ill_pa_contig71	contig_138	98.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	702	5078019	5078665	pa_ill_pa_contig8	contig_138	99.05		True
translocation
1	23992	5078666	5102657	pa_ill_pa_contig40	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	5102658	5104015	pa_ill_pa_contig62	contig_138	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	5104016	5160697	pa_ill_pa_contig30	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	5160698	5161514	pa_ill_pa_contig73	contig_138	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	5366400	5161515	pa_ill_pa_contig12	contig_138	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	5366401	5367782	pa_ill_pa_contig61	contig_138	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	5367783	5474578	pa_ill_pa_contig21	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	5475726	5474579	pa_ill_pa_contig64	contig_138	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34328	5475727	5510055	pa_ill_pa_contig15	contig_138	99.86		True
local misassembly
34236	173697	5510056	5649600	pa_ill_pa_contig15	contig_138	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	690	5649601	5650235	pa_ill_pa_contig76	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	5651378	5650351	pa_ill_pa_contig68	contig_138	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	592	5652138	5652729	pa_ill_pa_contig77	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	690	5652730	5653419	pa_ill_pa_contig76	contig_138	99.86		True
fake: not a misassembly [fragmentation of reference genome]
56	1028	5654507	5653535	pa_ill_pa_contig68	contig_138	99.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1661	5656113	5654508	pa_ill_pa_contig59	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1627	5656114	5657740	pa_ill_pa_contig58	contig_138	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	5657741	5662711	pa_ill_pa_contig46	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	5662712	5664283	pa_ill_pa_contig58	contig_138	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	5664284	5667521	pa_ill_pa_contig50	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	5667522	5668265	pa_ill_pa_contig75	contig_138	99.12		True
fake: not a misassembly [fragmentation of reference genome]
1	6148	5675112	5668955	pa_ill_pa_contig43	contig_138	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	5675113	5675856	pa_ill_pa_contig75	contig_138	98.62		True
fake: not a misassembly [fragmentation of reference genome]
1	68331	5676546	5744875	pa_ill_pa_contig28	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	5744876	5745750	pa_ill_pa_contig69	contig_138	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	5776518	5745751	pa_ill_pa_contig38	contig_138	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	5778950	5776519	pa_ill_pa_contig48	contig_138	99.4		True
local misassembly
56	1079	5780129	5779106	pa_ill_pa_contig48	contig_138	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	5780130	5786718	pa_ill_pa_contig42	contig_138	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	5789672	5786719	pa_ill_pa_contig51	contig_138	99.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	5789673	5816467	pa_ill_pa_contig39	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	5816960	5816468	pa_ill_pa_contig79	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	6075526	5816961	pa_ill_pa_contig8	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	6075527	6076359	pa_ill_pa_contig71	contig_138	99.26		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	6076360	6077596	pa_ill_pa_contig65	contig_138	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	6078088	6077597	pa_ill_pa_contig80	contig_138	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	6078089	6269415	pa_ill_pa_contig13	contig_138	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
17	1142	6270541	6269416	pa_ill_pa_contig67	contig_138	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86400	6270542	6356929	pa_ill_pa_contig25	contig_138	99.99		True
translocation
161	249467	6356930	6606243	pa_ill_pa_contig9	contig_138	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	2531	6609138	6606608	pa_ill_pa_contig53	contig_138	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	929	6610195	6609266	pa_ill_pa_contig72	contig_138	99.25		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	6610708	6610196	pa_ill_pa_contig78	contig_138	97.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	6610709	6614488	pa_ill_pa_contig47	contig_138	90.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	6614918	6614489	pa_ill_pa_contig84	contig_138	98.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	121067	6735986	6614919	pa_ill_pa_contig17	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	55952	6736248	6792199	pa_ill_pa_contig32	contig_138	100.0		True
CONTIG	contig_138	6792199	misassembled
4882	5195	806320	806007	pa_ill_pa_contig44	contig_91	96.18		True
unknown
4268	4718	806934	806484	pa_ill_pa_contig44	contig_91	92.68		True
unknown
4118	4233	807087	806972	pa_ill_pa_contig44	contig_91	93.1		True
unknown
3453	3662	807741	807532	pa_ill_pa_contig44	contig_91	93.81		True
unknown
3374	3442	807819	807751	pa_ill_pa_contig44	contig_91	92.75		True
unknown
2892	3062	808305	808135	pa_ill_pa_contig44	contig_91	91.23		True
unknown
2687	2798	808519	808408	pa_ill_pa_contig44	contig_91	91.07		True
unknown
1975	2060	809112	809027	pa_ill_pa_contig44	contig_91	91.86		True
unknown
1813	1967	809274	809120	pa_ill_pa_contig44	contig_91	92.26		True
unknown
1660	1760	809427	809327	pa_ill_pa_contig44	contig_91	94.06		True
unknown
1375	1650	809712	809437	pa_ill_pa_contig44	contig_91	93.48		True
unknown
995	1106	810092	809981	pa_ill_pa_contig44	contig_91	91.07		True
unknown
529	593	810564	810500	pa_ill_pa_contig44	contig_91	98.46		True
unknown
4882	5195	1472565	1472252	pa_ill_pa_contig44	contig_91	96.18		True
unknown
4268	4718	1473179	1472729	pa_ill_pa_contig44	contig_91	92.68		True
unknown
4118	4233	1473332	1473217	pa_ill_pa_contig44	contig_91	93.1		True
unknown
3453	3662	1473999	1473790	pa_ill_pa_contig44	contig_91	93.81		True
unknown
3374	3442	1474077	1474009	pa_ill_pa_contig44	contig_91	92.75		True
unknown
2892	3062	1474563	1474393	pa_ill_pa_contig44	contig_91	91.23		True
unknown
2687	2798	1474777	1474666	pa_ill_pa_contig44	contig_91	91.07		True
unknown
1975	2060	1475370	1475285	pa_ill_pa_contig44	contig_91	91.86		True
unknown
1813	1967	1475532	1475378	pa_ill_pa_contig44	contig_91	92.26		True
unknown
1660	1760	1475685	1475585	pa_ill_pa_contig44	contig_91	94.06		True
unknown
1375	1650	1475970	1475695	pa_ill_pa_contig44	contig_91	93.48		True
unknown
995	1106	1476350	1476239	pa_ill_pa_contig44	contig_91	91.07		True
unknown
529	593	1476822	1476758	pa_ill_pa_contig44	contig_91	98.46		True
unknown
529	593	1991771	1991835	pa_ill_pa_contig44	contig_91	98.46		True
unknown
995	1106	1992243	1992354	pa_ill_pa_contig44	contig_91	91.07		True
unknown
1375	1650	1992623	1992898	pa_ill_pa_contig44	contig_91	93.48		True
unknown
1660	1760	1992908	1993008	pa_ill_pa_contig44	contig_91	94.06		True
unknown
1813	1967	1993061	1993215	pa_ill_pa_contig44	contig_91	92.26		True
unknown
1975	2060	1993223	1993308	pa_ill_pa_contig44	contig_91	91.86		True
unknown
2687	2798	1993975	1994086	pa_ill_pa_contig44	contig_91	91.07		True
unknown
2892	3062	1994189	1994359	pa_ill_pa_contig44	contig_91	91.23		True
unknown
3374	3442	1994674	1994742	pa_ill_pa_contig44	contig_91	92.75		True
unknown
3546	3662	1994810	1994926	pa_ill_pa_contig44	contig_91	92.31		True
unknown
4118	4233	1995384	1995499	pa_ill_pa_contig44	contig_91	93.1		True
unknown
