S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1142	34	1175	pa_ill_pa_contig67	contig_293	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	192485	1176	pa_ill_pa_contig13	contig_293	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	192486	192977	pa_ill_pa_contig80	contig_293	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	194214	192978	pa_ill_pa_contig65	contig_293	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	195047	194215	pa_ill_pa_contig71	contig_293	99.26		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	195048	453592	pa_ill_pa_contig8	contig_293	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	453593	454085	pa_ill_pa_contig79	contig_293	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	480879	454086	pa_ill_pa_contig39	contig_293	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	480880	483835	pa_ill_pa_contig51	contig_293	99.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	490420	483836	pa_ill_pa_contig42	contig_293	99.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1079	490421	491444	pa_ill_pa_contig48	contig_293	99.54		True
local misassembly
1235	3667	491600	494032	pa_ill_pa_contig48	contig_293	99.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	494033	524797	pa_ill_pa_contig38	contig_293	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	525672	524798	pa_ill_pa_contig69	contig_293	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68331	593996	525673	pa_ill_pa_contig28	contig_293	99.99		True
fake: not a misassembly [fragmentation of reference genome]
56	799	595429	594686	pa_ill_pa_contig75	contig_293	98.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6148	595430	601573	pa_ill_pa_contig43	contig_293	99.92		True
fake: not a misassembly [fragmentation of reference genome]
56	799	603006	602263	pa_ill_pa_contig75	contig_293	99.12		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	606243	603007	pa_ill_pa_contig50	contig_293	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	607815	606244	pa_ill_pa_contig58	contig_293	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	612785	607816	pa_ill_pa_contig46	contig_293	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	614357	612786	pa_ill_pa_contig58	contig_293	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1661	614358	616017	pa_ill_pa_contig59	contig_293	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1028	616018	616990	pa_ill_pa_contig68	contig_293	99.51		True
fake: not a misassembly [fragmentation of reference genome]
1	690	617795	617106	pa_ill_pa_contig76	contig_293	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	592	618387	617796	pa_ill_pa_contig77	contig_293	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	619146	620173	pa_ill_pa_contig68	contig_293	99.81		True
fake: not a misassembly [fragmentation of reference genome]
56	690	620923	620289	pa_ill_pa_contig76	contig_293	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
34236	173697	760454	620924	pa_ill_pa_contig15	contig_293	99.92		True
local misassembly
1	34328	794778	760455	pa_ill_pa_contig15	contig_293	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	794779	795926	pa_ill_pa_contig64	contig_293	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	902716	795927	pa_ill_pa_contig21	contig_293	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	904097	902717	pa_ill_pa_contig61	contig_293	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	904098	1108955	pa_ill_pa_contig12	contig_293	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	1109772	1108956	pa_ill_pa_contig73	contig_293	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	1166447	1109773	pa_ill_pa_contig30	contig_293	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	1167805	1166448	pa_ill_pa_contig62	contig_293	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	23992	1191794	1167806	pa_ill_pa_contig40	contig_293	99.99		True
translocation
56	702	1192441	1191795	pa_ill_pa_contig8	contig_293	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	1192442	1193330	pa_ill_pa_contig71	contig_293	98.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	1193331	1194568	pa_ill_pa_contig65	contig_293	99.6		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	1195060	1194569	pa_ill_pa_contig80	contig_293	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	1313757	1195061	pa_ill_pa_contig19	contig_293	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	1313758	1319153	pa_ill_pa_contig45	contig_293	99.46		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	1319154	1430353	pa_ill_pa_contig20	contig_293	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	266935	1697271	1430354	pa_ill_pa_contig6	contig_293	99.98		True
relocation, inconsistency = -3525
2917	3517	1697880	1697280	pa_ill_pa_contig6	contig_293	94.81		True
translocation
1	47071	1697881	1744951	pa_ill_pa_contig35	contig_293	99.98		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	1747779	1745629	pa_ill_pa_contig55	contig_293	99.46		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	847683	1747780	2595380	pa_ill_pa_contig1	contig_293	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	2595381	2596467	pa_ill_pa_contig67	contig_293	99.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	61716	2658183	2596468	pa_ill_pa_contig29	contig_293	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	2663788	2658184	pa_ill_pa_contig44	contig_293	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38146	2701931	2663789	pa_ill_pa_contig36	contig_293	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	3511	2702520	2706030	pa_ill_pa_contig49	contig_293	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1538	2707940	2706403	pa_ill_pa_contig60	contig_293	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	265097	2973476	2708391	pa_ill_pa_contig7	contig_293	99.98		True
local misassembly
1	77	2973932	2973856	pa_ill_pa_contig7	contig_293	98.7		True
local misassembly
1	123	2974274	2974152	pa_ill_pa_contig7	contig_293	99.19		True
fake: not a misassembly [fragmentation of reference genome]
