S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	80328	80364	1	sa_ill_sa_contig6	contig_10	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	80365	80897	sa_ill_sa_contig63	contig_10	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	124383	80898	sa_ill_sa_contig18	contig_10	99.46		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1727	124384	126055	sa_ill_sa_contig46	contig_10	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	857	127441	126585	sa_ill_sa_contig54	contig_10	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	26180	127807	153982	sa_ill_sa_contig29	contig_10	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	153983	158563	sa_ill_sa_contig40	contig_10	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	163880	158564	sa_ill_sa_contig38	contig_10	99.98		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	168461	163881	sa_ill_sa_contig40	contig_10	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	130429	168462	298770	sa_ill_sa_contig9	contig_10	99.89		True
translocation
71	20896	298771	319595	sa_ill_sa_contig32	contig_10	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	539	319596	320079	sa_ill_sa_contig65	contig_10	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	720	321862	321198	sa_ill_sa_contig60	contig_10	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	125486	447513	321863	sa_ill_sa_contig10	contig_10	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	13692	448245	461931	sa_ill_sa_contig35	contig_10	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2978	461932	464851	sa_ill_sa_contig43	contig_10	99.83		True
fake: not a misassembly [fragmentation of reference genome]
56	861	465776	464970	sa_ill_sa_contig53	contig_10	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30897	496667	465777	sa_ill_sa_contig27	contig_10	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	646124	496713	sa_ill_sa_contig5	contig_10	99.64		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	778415	646466	sa_ill_sa_contig8	contig_10	99.96		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	781908	778788	sa_ill_sa_contig41	contig_10	99.97		True
translocation
1	34367	782073	816433	sa_ill_sa_contig25	contig_10	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	816966	816434	sa_ill_sa_contig63	contig_10	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	816967	855733	sa_ill_sa_contig22	contig_10	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
19	34443	855734	890155	sa_ill_sa_contig24	contig_10	99.97		True
translocation
1	1604	891758	890156	sa_ill_sa_contig8	contig_10	99.71		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	895297	892177	sa_ill_sa_contig41	contig_10	99.94		True
translocation
62396	62502	895404	895298	sa_ill_sa_contig14	contig_10	98.6		True
local misassembly
1	62604	957858	895454	sa_ill_sa_contig14	contig_10	99.67		True
translocation
98092	98471	957859	958237	sa_ill_sa_contig11	contig_10	97.97		True
local misassembly [fragmentation of reference genome]
1	39729	997947	958238	sa_ill_sa_contig21	contig_10	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	28120	1026063	997952	sa_ill_sa_contig28	contig_10	99.96		True
translocation
1	1604	1027665	1026064	sa_ill_sa_contig8	contig_10	99.65		True
fake: not a misassembly [fragmentation of reference genome]
198	3323	1031212	1028087	sa_ill_sa_contig41	contig_10	99.94		True
translocation
2	925	1032683	1031766	sa_ill_sa_contig51	contig_10	98.92		True
local misassembly [fragmentation of reference genome]
1	32969	1065837	1032888	sa_ill_sa_contig26	contig_10	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	14210	1065990	1080194	sa_ill_sa_contig34	contig_10	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1080905	1080195	sa_ill_sa_contig55	contig_10	99.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	1080906	1102686	sa_ill_sa_contig30	contig_10	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	1109767	1102687	sa_ill_sa_contig36	contig_10	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	1109768	1208344	sa_ill_sa_contig11	contig_10	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	1209668	1208345	sa_ill_sa_contig48	contig_10	99.58		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	1209669	1432926	sa_ill_sa_contig1	contig_10	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	539	1432927	1433410	sa_ill_sa_contig65	contig_10	99.07		True
fake: not a misassembly [fragmentation of reference genome]
56	720	1435191	1434527	sa_ill_sa_contig60	contig_10	98.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
124942	125486	1435735	1435192	sa_ill_sa_contig10	contig_10	93.31		True
translocation
1	63338	1435736	1499066	sa_ill_sa_contig13	contig_10	99.95		True
local misassembly
63108	66060	1499067	1502019	sa_ill_sa_contig13	contig_10	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	41771	1543787	1502020	sa_ill_sa_contig19	contig_10	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	177172	1543976	1721091	sa_ill_sa_contig4	contig_10	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
21	50729	1721092	1771787	sa_ill_sa_contig16	contig_10	99.97		True
fake: not a misassembly [fragmentation of reference genome]
78271	134302	1827858	1771850	sa_ill_sa_contig7	contig_10	99.93		True
local misassembly
