S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
38187	38352	1	166	sa_ill_sa_contig23	contig_42	98.8		True
local misassembly
38161	38352	254	444	sa_ill_sa_contig23	contig_42	95.31		True
translocation
203	3323	537	3661	sa_ill_sa_contig41	contig_42	99.68		True
fake: not a misassembly [fragmentation of reference genome]
1	1649	4049	5700	sa_ill_sa_contig8	contig_42	99.53		True
translocation
1	41074	5701	46788	sa_ill_sa_contig20	contig_42	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	1576	46815	48388	sa_ill_sa_contig47	contig_42	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2840	51227	48389	sa_ill_sa_contig44	contig_42	99.58		True
fake: not a misassembly [fragmentation of reference genome]
1	6686	51253	57942	sa_ill_sa_contig37	contig_42	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	57943	58653	sa_ill_sa_contig55	contig_42	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	73023	58654	sa_ill_sa_contig33	contig_42	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	78019	73024	sa_ill_sa_contig39	contig_42	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	128745	78020	sa_ill_sa_contig17	contig_42	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
46	44268	128746	172983	sa_ill_sa_contig12	contig_42	99.65		True
local misassembly
43758	70357	172984	199595	sa_ill_sa_contig12	contig_42	99.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
98340	98561	199817	199596	sa_ill_sa_contig11	contig_42	98.02		True
local misassembly
98057	98213	199974	199818	sa_ill_sa_contig11	contig_42	98.58		True
translocation
1	21042	221032	199975	sa_ill_sa_contig31	contig_42	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	142808	364103	221186	sa_ill_sa_contig6	contig_42	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	364104	364636	sa_ill_sa_contig63	contig_42	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	408166	364637	sa_ill_sa_contig18	contig_42	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1727	408167	409840	sa_ill_sa_contig46	contig_42	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	857	411227	410370	sa_ill_sa_contig54	contig_42	99.88		True
fake: not a misassembly [fragmentation of reference genome]
