S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	720	720	1	pa_ill_pa_contig35	contig_152	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	266935	1330	268264	pa_ill_pa_contig6	contig_152	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	379474	268265	pa_ill_pa_contig20	contig_152	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	384871	379475	pa_ill_pa_contig45	contig_152	99.47		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	384872	503567	pa_ill_pa_contig19	contig_152	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	503568	504059	pa_ill_pa_contig80	contig_152	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	505296	504060	pa_ill_pa_contig65	contig_152	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	506185	505297	pa_ill_pa_contig71	contig_152	98.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	702	506186	506832	pa_ill_pa_contig8	contig_152	99.05		True
translocation
1	23992	506833	530824	pa_ill_pa_contig40	contig_152	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	530825	532182	pa_ill_pa_contig62	contig_152	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	532183	588865	pa_ill_pa_contig30	contig_152	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	588866	589682	pa_ill_pa_contig73	contig_152	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	794565	589683	pa_ill_pa_contig12	contig_152	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	794566	795947	pa_ill_pa_contig61	contig_152	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	795948	902744	pa_ill_pa_contig21	contig_152	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	903892	902745	pa_ill_pa_contig64	contig_152	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34328	903893	938220	pa_ill_pa_contig15	contig_152	99.86		True
local misassembly
34236	173697	938221	1077760	pa_ill_pa_contig15	contig_152	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	690	1077761	1078395	pa_ill_pa_contig76	contig_152	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	1079538	1078511	pa_ill_pa_contig68	contig_152	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	592	1080297	1080888	pa_ill_pa_contig77	contig_152	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	690	1080889	1081578	pa_ill_pa_contig76	contig_152	99.86		True
fake: not a misassembly [fragmentation of reference genome]
56	1028	1082666	1081694	pa_ill_pa_contig68	contig_152	99.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1661	1084272	1082667	pa_ill_pa_contig59	contig_152	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1627	1084273	1085899	pa_ill_pa_contig58	contig_152	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	1085900	1090870	pa_ill_pa_contig46	contig_152	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	1090871	1092442	pa_ill_pa_contig58	contig_152	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	1092443	1095680	pa_ill_pa_contig50	contig_152	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1095681	1096424	pa_ill_pa_contig75	contig_152	99.12		True
fake: not a misassembly [fragmentation of reference genome]
1	6148	1103272	1097114	pa_ill_pa_contig43	contig_152	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1103273	1104016	pa_ill_pa_contig75	contig_152	98.62		True
fake: not a misassembly [fragmentation of reference genome]
1	68331	1104706	1173038	pa_ill_pa_contig28	contig_152	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	1173039	1173913	pa_ill_pa_contig69	contig_152	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	1204681	1173914	pa_ill_pa_contig38	contig_152	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	1207114	1204682	pa_ill_pa_contig48	contig_152	99.4		True
local misassembly
56	1079	1208293	1207270	pa_ill_pa_contig48	contig_152	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	1208294	1214883	pa_ill_pa_contig42	contig_152	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	1217837	1214884	pa_ill_pa_contig51	contig_152	99.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	1217838	1244631	pa_ill_pa_contig39	contig_152	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	1245124	1244632	pa_ill_pa_contig79	contig_152	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	1503692	1245125	pa_ill_pa_contig8	contig_152	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	1503693	1504526	pa_ill_pa_contig71	contig_152	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	1504527	1505763	pa_ill_pa_contig65	contig_152	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	1506255	1505764	pa_ill_pa_contig80	contig_152	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	1506256	1697577	pa_ill_pa_contig13	contig_152	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
17	1142	1698703	1697578	pa_ill_pa_contig67	contig_152	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86400	1698704	1785101	pa_ill_pa_contig25	contig_152	99.99		True
translocation
161	249467	1785102	2034412	pa_ill_pa_contig9	contig_152	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	2531	2037307	2034777	pa_ill_pa_contig53	contig_152	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	929	2038364	2037435	pa_ill_pa_contig72	contig_152	99.25		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	2038877	2038365	pa_ill_pa_contig78	contig_152	97.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	2038878	2042657	pa_ill_pa_contig47	contig_152	90.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	2043087	2042658	pa_ill_pa_contig84	contig_152	98.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	121067	2164156	2043088	pa_ill_pa_contig17	contig_152	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	56007	2164418	2220424	pa_ill_pa_contig32	contig_152	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	2221572	2220425	pa_ill_pa_contig64	contig_152	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
247199	542364	2516736	2221573	pa_ill_pa_contig2	contig_152	99.99		True
local misassembly
