S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102675	ec_ill_ec_contig2	contig_92	99.97		True
local misassembly
310191	312944	102676	105429	ec_ill_ec_contig2	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303762	105519	ec_ill_ec_contig4	contig_92	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306734	303763	ec_ill_ec_contig65	contig_92	99.93		True
local misassembly
1	1463	308594	307132	ec_ill_ec_contig65	contig_92	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	308961	346253	ec_ill_ec_contig39	contig_92	99.97		True
local misassembly [fragmentation of reference genome]
22	350	346349	346677	ec_ill_ec_contig104	contig_92	91.19		True
indel: indel (> 5bp)
384	502	346678	346796	ec_ill_ec_contig104	contig_92	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346869	392170	ec_ill_ec_contig15	contig_92	99.91		True
local misassembly
45064	105217	392185	452328	ec_ill_ec_contig15	contig_92	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452329	453559	ec_ill_ec_contig79	contig_92	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453560	513971	ec_ill_ec_contig31	contig_92	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514159	857334	ec_ill_ec_contig1	contig_92	99.96		True
local misassembly
343563	393863	857335	907627	ec_ill_ec_contig1	contig_92	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980574	907628	ec_ill_ec_contig16	contig_92	99.96		True
local misassembly
1	31383	1011954	980575	ec_ill_ec_contig16	contig_92	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1014982	1011956	ec_ill_ec_contig65	contig_92	99.93		True
local misassembly
1	1463	1016848	1015386	ec_ill_ec_contig65	contig_92	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058387	1017119	ec_ill_ec_contig37	contig_92	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059305	1058388	ec_ill_ec_contig83	contig_92	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059306	1206763	ec_ill_ec_contig7	contig_92	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206764	1208687	ec_ill_ec_contig73	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209249	1208688	ec_ill_ec_contig91	contig_92	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209250	1209894	ec_ill_ec_contig94	contig_92	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210148	1211879	ec_ill_ec_contig75	contig_92	99.65		True
local misassembly [fragmentation of reference genome]
22	507	1212328	1212813	ec_ill_ec_contig104	contig_92	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220781	1212881	ec_ill_ec_contig60	contig_92	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1221903	1220782	ec_ill_ec_contig80	contig_92	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1221904	1315297	ec_ill_ec_contig20	contig_92	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315298	1317221	ec_ill_ec_contig73	contig_92	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1317783	1317222	ec_ill_ec_contig91	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1317784	1318408	ec_ill_ec_contig94	contig_92	98.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318409	1390245	ec_ill_ec_contig25	contig_92	99.9		True
local misassembly [fragmentation of reference genome]
1	5324	1395676	1390353	ec_ill_ec_contig64	contig_92	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1395959	1412029	ec_ill_ec_contig53	contig_92	99.94		True
translocation
26703	27345	1412030	1412671	ec_ill_ec_contig46	contig_92	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412672	1413127	ec_ill_ec_contig101	contig_92	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415710	1413128	ec_ill_ec_contig70	contig_92	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1415993	1418416	ec_ill_ec_contig72	contig_92	99.96		True
translocation
4875	5324	1418417	1418866	ec_ill_ec_contig64	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419579	1418969	ec_ill_ec_contig25	contig_92	97.25		True
translocation
1	22687	1442265	1419580	ec_ill_ec_contig48	contig_92	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1442266	1442825	ec_ill_ec_contig92	contig_92	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	1442826	1444181	ec_ill_ec_contig77	contig_92	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1444694	1444182	ec_ill_ec_contig97	contig_92	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111087	1555766	1444695	ec_ill_ec_contig12	contig_92	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1555951	1557413	ec_ill_ec_contig65	contig_92	99.86		True
local misassembly
1876	4847	1557734	1560705	ec_ill_ec_contig65	contig_92	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	88468	1649160	1560706	ec_ill_ec_contig23	contig_92	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1649564	1651024	ec_ill_ec_contig65	contig_92	99.73		True
local misassembly
1876	4902	1651437	1654465	ec_ill_ec_contig65	contig_92	99.64		True
fake: not a misassembly [fragmentation of reference genome]
1	53688	1654684	1708369	ec_ill_ec_contig33	contig_92	99.97		True
local misassembly [fragmentation of reference genome]
1	71920	1708370	1780274	ec_ill_ec_contig24	contig_92	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1780673	1782134	ec_ill_ec_contig65	contig_92	99.79		True
local misassembly
1876	4902	1782455	1785481	ec_ill_ec_contig65	contig_92	99.7		True
fake: not a misassembly [fragmentation of reference genome]
1	4268	1789965	1785700	ec_ill_ec_contig66	contig_92	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1789966	1790885	ec_ill_ec_contig83	contig_92	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30843	1821718	1790886	ec_ill_ec_contig43	contig_92	99.96		True
translocation
56	399	1822060	1821719	ec_ill_ec_contig6	contig_92	98.24		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1463	1822061	1823523	ec_ill_ec_contig65	contig_92	99.86		True
local misassembly
1876	4902	1823844	1826870	ec_ill_ec_contig65	contig_92	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	3011	1826872	1829882	ec_ill_ec_contig8	contig_92	99.93		True
indel: stretch of mismatches
3012	83127	1829883	1909873	ec_ill_ec_contig8	contig_92	99.83		True
local misassembly
82979	138617	1910064	1965691	ec_ill_ec_contig8	contig_92	99.97		True
fake: not a misassembly [fragmentation of reference genome]
22	507	1966244	1965759	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	30252	1966340	1996588	ec_ill_ec_contig44	contig_92	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	107753	2104505	1996780	ec_ill_ec_contig14	contig_92	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	2104506	2105617	ec_ill_ec_contig81	contig_92	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	9696	2105618	2115311	ec_ill_ec_contig59	contig_92	99.96		True
indel: indel (<= 5bp) [fragmentation of reference genome]
56	502	2115833	2115384	ec_ill_ec_contig104	contig_92	99.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3545	2115834	2119376	ec_ill_ec_contig67	contig_92	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	744	2120063	2119377	ec_ill_ec_contig89	contig_92	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89591	2209639	2120064	ec_ill_ec_contig21	contig_92	99.97		True
fake: not a misassembly [fragmentation of reference genome]
42469	50645	2218028	2209853	ec_ill_ec_contig35	contig_92	99.84		True
local misassembly
1	42569	2260586	2218029	ec_ill_ec_contig35	contig_92	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2261817	2260587	ec_ill_ec_contig79	contig_92	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3185	2265002	2261818	ec_ill_ec_contig68	contig_92	99.97		True
local misassembly [fragmentation of reference genome]
22	507	2265098	2265583	ec_ill_ec_contig104	contig_92	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	21779	2287425	2265651	ec_ill_ec_contig49	contig_92	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	2287979	2287494	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	181861	2469824	2288075	ec_ill_ec_contig6	contig_92	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1463	2469825	2471229	ec_ill_ec_contig65	contig_92	99.18		True
local misassembly
1876	4847	2471642	2474615	ec_ill_ec_contig65	contig_92	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	17355	2491967	2474616	ec_ill_ec_contig52	contig_92	99.88		True
local misassembly [fragmentation of reference genome]
6	105426	2492586	2597983	ec_ill_ec_contig5	contig_92	99.78		True
local misassembly
105527	184250	2597984	2676701	ec_ill_ec_contig5	contig_92	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2677931	2676702	ec_ill_ec_contig79	contig_92	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	67050	2677932	2744971	ec_ill_ec_contig29	contig_92	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	59988	2745853	2805831	ec_ill_ec_contig32	contig_92	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2805832	2807061	ec_ill_ec_contig79	contig_92	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
33156	119686	2893688	2807062	ec_ill_ec_contig10	contig_92	99.83		True
local misassembly
1	32653	2926335	2893689	ec_ill_ec_contig10	contig_92	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	2926336	2928259	ec_ill_ec_contig73	contig_92	98.18		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	2928821	2928260	ec_ill_ec_contig91	contig_92	95.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	2928822	2929466	ec_ill_ec_contig94	contig_92	99.22		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	2929720	2930747	ec_ill_ec_contig84	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	645	2930748	2931337	ec_ill_ec_contig94	contig_92	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
21	331	2931338	2931648	ec_ill_ec_contig25	contig_92	97.72		True
translocation
1	1672	2931649	2933318	ec_ill_ec_contig76	contig_92	99.76		True
translocation
182	998	2933319	2934134	ec_ill_ec_contig36	contig_92	94.92		True
relocation, inconsistency = -1267
1	43039	2934404	2977439	ec_ill_ec_contig36	contig_92	99.96		True
local misassembly
42883	42981	2977588	2977686	ec_ill_ec_contig36	contig_92	98.99		True
local misassembly [fragmentation of reference genome]
1	101963	2978316	3080258	ec_ill_ec_contig17	contig_92	99.97		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3080812	3080327	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	4424	3080908	3085330	ec_ill_ec_contig28	contig_92	99.98		True
translocation
1	5981	3085331	3091310	ec_ill_ec_contig63	contig_92	99.95		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3091863	3091378	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	70123	3091959	3162064	ec_ill_ec_contig28	contig_92	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	3162065	3163296	ec_ill_ec_contig79	contig_92	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89333	3252609	3163297	ec_ill_ec_contig22	contig_92	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	3252610	3253720	ec_ill_ec_contig81	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	64433	3318145	3253721	ec_ill_ec_contig30	contig_92	99.95		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3318700	3318215	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	10296	3329089	3318796	ec_ill_ec_contig58	contig_92	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	576	3329090	3329597	ec_ill_ec_contig95	contig_92	95.43		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1347	3329598	3330943	ec_ill_ec_contig78	contig_92	99.93		True
translocation
26439	26892	3330944	3331397	ec_ill_ec_contig47	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71159	71855	3332197	3331500	ec_ill_ec_contig25	contig_92	96.14		True
translocation
1	2582	3332393	3334973	ec_ill_ec_contig71	contig_92	99.92		True
translocation
124	1802	3335339	3337017	ec_ill_ec_contig61	contig_92	93.16		True
translocation
1	31854	3337018	3368853	ec_ill_ec_contig40	contig_92	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	670	3368854	3369468	ec_ill_ec_contig92	contig_92	99.4		True
fake: not a misassembly [fragmentation of reference genome]
1	507	3369712	3370218	ec_ill_ec_contig104	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	7319	3377605	3370286	ec_ill_ec_contig62	contig_92	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	3378118	3377606	ec_ill_ec_contig97	contig_92	96.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	31737	3378119	3409846	ec_ill_ec_contig41	contig_92	99.96		True
local misassembly [fragmentation of reference genome]
22	300	3409942	3410220	ec_ill_ec_contig104	contig_92	91.77		True
local misassembly [fragmentation of reference genome]
1	111329	3410221	3521529	ec_ill_ec_contig11	contig_92	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	110908	3521809	3632688	ec_ill_ec_contig13	contig_92	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	573	3632689	3633206	ec_ill_ec_contig96	contig_92	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	967	3634173	3633207	ec_ill_ec_contig85	contig_92	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	592	3634710	3634174	ec_ill_ec_contig93	contig_92	98.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	3634711	3635549	ec_ill_ec_contig88	contig_92	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	3636633	3635550	ec_ill_ec_contig82	contig_92	98.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	937	3636634	3637515	ec_ill_ec_contig86	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	3637516	3638039	ec_ill_ec_contig100	contig_92	99.14		True
fake: not a misassembly [fragmentation of reference genome]
1	19021	3657502	3638487	ec_ill_ec_contig50	contig_92	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	125137	3782738	3657622	ec_ill_ec_contig9	contig_92	99.94		True
local misassembly [fragmentation of reference genome]
1	71131	3854008	3782863	ec_ill_ec_contig26	contig_92	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	3119	3854890	3858007	ec_ill_ec_contig69	contig_92	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	38051	3858621	3896666	ec_ill_ec_contig38	contig_92	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	3897788	3896667	ec_ill_ec_contig80	contig_92	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	70438	3968218	3897789	ec_ill_ec_contig27	contig_92	99.97		True
translocation
124743	125137	3968219	3968612	ec_ill_ec_contig9	contig_92	96.71		True
