S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200282	200278	1	ec_ill_ec_contig2	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200279	200765	ec_ill_ec_contig98	contig_33	99.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216145	200766	ec_ill_ec_contig54	contig_33	99.74		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216698	216213	ec_ill_ec_contig104	contig_33	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	314084	216794	ec_ill_ec_contig19	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	314085	316610	ec_ill_ec_contig71	contig_33	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316826	317401	ec_ill_ec_contig95	contig_33	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317402	325094	ec_ill_ec_contig61	contig_33	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325549	325095	ec_ill_ec_contig101	contig_33	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352894	325550	ec_ill_ec_contig46	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352895	353468	ec_ill_ec_contig96	contig_33	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353811	353469	ec_ill_ec_contig85	contig_33	93.45		True
translocation
1	1970	355781	353812	ec_ill_ec_contig74	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356755	355782	ec_ill_ec_contig82	contig_33	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356756	371131	ec_ill_ec_contig55	contig_33	99.99		True
translocation
1	384	371515	371132	ec_ill_ec_contig50	contig_33	98.97		True
fake: not a misassembly [fragmentation of reference genome]
124743	125137	372029	371635	ec_ill_ec_contig9	contig_33	96.99		True
translocation
1	18741	372030	390769	ec_ill_ec_contig51	contig_33	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391322	390837	ec_ill_ec_contig104	contig_33	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391418	423105	ec_ill_ec_contig42	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435973	423106	ec_ill_ec_contig57	contig_33	99.99		True
local misassembly [fragmentation of reference genome]
22	507	436069	436554	ec_ill_ec_contig104	contig_33	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535393	436622	ec_ill_ec_contig18	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536625	535394	ec_ill_ec_contig79	contig_33	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707922	536626	ec_ill_ec_contig3	contig_33	100.0		True
local misassembly
1	57666	765588	707923	ec_ill_ec_contig3	contig_33	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765589	766162	ec_ill_ec_contig96	contig_33	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766524	766163	ec_ill_ec_contig85	contig_33	94.88		True
translocation
56	550	767019	766525	ec_ill_ec_contig102	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	767611	767020	ec_ill_ec_contig93	contig_33	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	767612	768450	ec_ill_ec_contig88	contig_33	95.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	769533	768451	ec_ill_ec_contig82	contig_33	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	920	769534	770398	ec_ill_ec_contig87	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	770399	770923	ec_ill_ec_contig100	contig_33	99.48		True
fake: not a misassembly [fragmentation of reference genome]
18517	19021	771875	771371	ec_ill_ec_contig50	contig_33	94.43		True
translocation
1	13785	771876	785659	ec_ill_ec_contig56	contig_33	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	786212	785727	ec_ill_ec_contig104	contig_33	91.77		True
local misassembly [fragmentation of reference genome]
1	292	787075	787366	ec_ill_ec_contig13	contig_33	97.96		True
translocation
9004	9482	787367	787845	ec_ill_ec_contig55	contig_33	96.15		True
translocation
1	595	787846	788440	ec_ill_ec_contig99	contig_33	100.0		True
translocation
70844	71136	788646	788938	ec_ill_ec_contig26	contig_33	99.32		True
fake: not a misassembly [fragmentation of reference genome]
1	395	789058	789452	ec_ill_ec_contig9	contig_33	96.9		True
translocation
1	70438	789453	859888	ec_ill_ec_contig27	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	859889	861010	ec_ill_ec_contig80	contig_33	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38051	899060	861011	ec_ill_ec_contig38	contig_33	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	3119	902792	899674	ec_ill_ec_contig69	contig_33	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	71131	903674	974833	ec_ill_ec_contig26	contig_33	99.94		True
local misassembly [fragmentation of reference genome]
1	125137	974958	1100090	ec_ill_ec_contig9	contig_33	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	19021	1100210	1119229	ec_ill_ec_contig50	contig_33	99.91		True
fake: not a misassembly [fragmentation of reference genome]
56	580	1120201	1119677	ec_ill_ec_contig100	contig_33	99.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	937	1121083	1120202	ec_ill_ec_contig86	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	1121084	1122167	ec_ill_ec_contig82	contig_33	98.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	1123006	1122168	ec_ill_ec_contig88	contig_33	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	592	1123007	1123543	ec_ill_ec_contig93	contig_33	98.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	967	1123544	1124510	ec_ill_ec_contig85	contig_33	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	573	1125028	1124511	ec_ill_ec_contig96	contig_33	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	110908	1235928	1125029	ec_ill_ec_contig13	contig_33	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	111329	1347535	1236208	ec_ill_ec_contig11	contig_33	100.0		True
local misassembly [fragmentation of reference genome]
22	300	1347814	1347536	ec_ill_ec_contig104	contig_33	91.77		True
local misassembly [fragmentation of reference genome]
