S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102684	ec_ill_ec_contig2	contig_95	100.0		True
local misassembly
310191	312944	102685	105438	ec_ill_ec_contig2	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303792	105528	ec_ill_ec_contig4	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306764	303793	ec_ill_ec_contig65	contig_95	99.93		True
local misassembly
1	1463	308624	307162	ec_ill_ec_contig65	contig_95	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	308991	346287	ec_ill_ec_contig39	contig_95	100.0		True
local misassembly [fragmentation of reference genome]
22	350	346383	346711	ec_ill_ec_contig104	contig_95	91.19		True
indel: indel (> 5bp)
384	502	346712	346830	ec_ill_ec_contig104	contig_95	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346903	392205	ec_ill_ec_contig15	contig_95	99.94		True
local misassembly
45064	105217	392220	452372	ec_ill_ec_contig15	contig_95	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452373	453604	ec_ill_ec_contig79	contig_95	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453605	514019	ec_ill_ec_contig31	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514207	857428	ec_ill_ec_contig1	contig_95	100.0		True
local misassembly
343563	393863	857429	907728	ec_ill_ec_contig1	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980684	907729	ec_ill_ec_contig16	contig_95	100.0		True
local misassembly
1	31383	1012067	980685	ec_ill_ec_contig16	contig_95	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015095	1012069	ec_ill_ec_contig65	contig_95	99.93		True
local misassembly
1	1463	1016961	1015499	ec_ill_ec_contig65	contig_95	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058508	1017232	ec_ill_ec_contig37	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059428	1058509	ec_ill_ec_contig83	contig_95	99.71		True
