All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly              # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50   NGA75   LGA50  LGA75
r10_1bin_1_MP         7                       7                        7                        7                        24074494                   24074494                    24074494                    24074494                    7          4765367         24074494      2689205           44.80   32.69             4045598  4765367  2845422  4765367  3    1     5    1     13               1                       2719717                      9                      0                         0                         6                         0 + 7 part           21274945          99.537               1.046              0.00               287.74                    112.04                948765             2797636               480550  381443  2      4    
r10_1bin_1_MP_helen   7                       7                        7                        7                        24070200                   24070200                    24070200                    24070200                    7          4765335         24070200      2689205           44.80   32.69             4045621  4765335  2845369  4765335  3    1     5    1     13               1                       2717967                      9                      0                         0                         6                         0 + 7 part           21272394          99.537               1.045              0.00               257.29                    42.40                 948104             2795887               480253  381233  2      4    
r10_1bin_1_r1_medaka  7                       7                        7                        7                        24072211                   24072211                    24072211                    24072211                    7          4765354         24072211      2689205           44.80   32.69             4045594  4765354  2845428  4765354  3    1     5    1     13               1                       2719596                      10                     0                         0                         6                         0 + 7 part           21273393          99.537               1.046              0.00               286.80                    75.43                 948808             2796896               480493  381432  2      4    
r10_1bin_1_r2_medaka  7                       7                        7                        7                        24064284                   24064284                    24064284                    24064284                    7          4765366         24064284      2689205           44.80   32.69             4045589  4765366  2845432  4765366  3    1     5    1     13               1                       2719631                      10                     0                         0                         6                         0 + 7 part           21264885          99.537               1.046              0.00               289.57                    77.78                 948817             2797478               480514  381430  2      4    
r10_1bin_1_racon_r1   7                       7                        7                        7                        24060998                   24060998                    24060998                    24060998                    7          4764519         24060998      2689205           44.79   32.69             4045227  4764519  2845260  4764519  3    1     5    1     13               1                       2720606                      10                     0                         0                         6                         0 + 7 part           21262974          99.537               1.045              0.00               290.69                    114.28                949190             2796102               480637  381568  2      4    
r10_1bin_1_racon_r2   7                       7                        7                        7                        24055678                   24055678                    24055678                    24055678                    7          4764885         24055678      2689205           44.78   32.69             4045309  4764885  2845328  4764885  3    1     5    1     13               1                       2720621                      9                      0                         0                         6                         0 + 7 part           21256165          99.537               1.046              0.00               298.09                    115.81                949066             2797591               480649  381577  2      4    
r10_1bin_1_raw        7                       7                        7                        7                        24060917                   24060917                    24060917                    24060917                    7          4763493         24060917      2689205           44.77   32.69             4043006  4763493  2843368  4763493  3    1     5    1     14               1                       2718836                      21                     0                         0                         5                         0 + 7 part           21321354          99.535               1.023              0.00               251.80                    165.05                948394             2737632               480377  381322  2      4    
r10_1bin_2_MP         7                       7                        7                        7                        24074257                   24074257                    24074257                    24074257                    7          4765367         24074257      2689205           44.80   32.69             4045598  4765367  2845425  4765367  3    1     5    1     13               1                       2719580                      9                      0                         0                         6                         0 + 7 part           21274720          99.537               1.046              0.00               286.65                    110.58                948668             2797615               480526  381461  2      4    
r10_1bin_2_MP_helen   7                       7                        7                        7                        24070195                   24070195                    24070195                    24070195                    7          4765342         24070195      2689205           44.80   32.69             4045629  4765342  2845372  4765342  3    1     5    1     13               1                       2717932                      9                      0                         0                         6                         0 + 7 part           21273304          99.537               1.045              0.04               252.21                    42.93                 948052             2794963               480259  381225  2      4    
r10_1bin_2_r1_medaka  7                       7                        7                        7                        24072707                   24072707                    24072707                    24072707                    7          4765360         24072707      2689205           44.80   32.69             4045591  4765360  2845428  4765360  3    1     5    1     13               1                       2719533                      9                      0                         0                         6                         0 + 7 part           21273244          99.537               1.046              0.00               292.71                    74.75                 948657             2797543               480492  381425  2      4    
r10_1bin_2_r2_medaka  7                       7                        7                        7                        24061315                   24061315                    24061315                    24061315                    7          4765365         24061315      2689205           44.79   32.69             4045590  4765365  2845431  4765365  3    1     5    1     13               1                       2719556                      9                      0                         0                         6                         0 + 7 part           21261562          99.537               1.046              0.00               292.33                    75.84                 948645             2797833               480509  381442  2      4    
r10_1bin_2_racon_r1   7                       7                        7                        7                        24060258                   24060258                    24060258                    24060258                    7          4764481         24060258      2689205           44.79   32.69             4045220  4764481  2845275  4764481  3    1     5    1     13               1                       2720595                      10                     0                         0                         6                         0 + 7 part           21263785          99.537               1.045              0.00               287.03                    110.28                949192             2794544               480707  381538  2      4    
r10_1bin_2_racon_r2   7                       7                        7                        7                        24055824                   24055824                    24055824                    24055824                    7          4764611         24055824      2689205           44.78   32.69             4045285  4764611  2845354  4764611  3    1     5    1     13               1                       2720631                      9                      0                         0                         6                         0 + 7 part           21255162          99.537               1.046              0.00               304.32                    113.27                949045             2798741               480718  381590  2      4    
r10_1bin_2_raw        7                       7                        7                        7                        24061249                   24061249                    24061249                    24061249                    7          4763481         24061249      2689205           44.77   32.69             4043036  4763481  2843858  4763481  3    1     5    1     13               1                       2718436                      20                     0                         0                         5                         0 + 7 part           21320856          99.538               1.024              0.00               247.09                    158.70                948372             2738478               480392  381299  2      4    
r10_1bin_3_MP         7                       7                        7                        7                        24075009                   24075009                    24075009                    24075009                    7          4765870         24075009      2689205           44.80   32.69             4045598  4765870  2845425  4765870  3    1     5    1     13               1                       2719746                      10                     0                         0                         6                         0 + 7 part           21275235          99.537               1.046              0.00               288.26                    112.30                948892             2797861               480550  381471  2      4    
