S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
2904	3183	1	280	pa_ill_pa_contig50	contig_169	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	799	281	1079	pa_ill_pa_contig75	contig_169	99.12		True
fake: not a misassembly [fragmentation of reference genome]
1	6148	7914	1769	pa_ill_pa_contig43	contig_169	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	7915	8658	pa_ill_pa_contig75	contig_169	98.62		True
fake: not a misassembly [fragmentation of reference genome]
1	68331	9348	77671	pa_ill_pa_contig28	contig_169	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	77672	78546	pa_ill_pa_contig69	contig_169	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	109313	78547	pa_ill_pa_contig38	contig_169	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	111746	109314	pa_ill_pa_contig48	contig_169	99.4		True
local misassembly
56	1079	112925	111902	pa_ill_pa_contig48	contig_169	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	112926	119511	pa_ill_pa_contig42	contig_169	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	122463	119512	pa_ill_pa_contig51	contig_169	99.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	122464	149258	pa_ill_pa_contig39	contig_169	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	149751	149259	pa_ill_pa_contig79	contig_169	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	408309	149752	pa_ill_pa_contig8	contig_169	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	408310	409142	pa_ill_pa_contig71	contig_169	99.26		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	409143	410379	pa_ill_pa_contig65	contig_169	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	410871	410380	pa_ill_pa_contig80	contig_169	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	410872	602187	pa_ill_pa_contig13	contig_169	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
17	1142	603313	602188	pa_ill_pa_contig67	contig_169	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86400	603314	689702	pa_ill_pa_contig25	contig_169	99.98		True
translocation
161	249467	689703	938998	pa_ill_pa_contig9	contig_169	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	2531	941893	939363	pa_ill_pa_contig53	contig_169	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	929	942949	942021	pa_ill_pa_contig72	contig_169	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	943462	942950	pa_ill_pa_contig78	contig_169	97.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	943463	947242	pa_ill_pa_contig47	contig_169	90.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	947671	947243	pa_ill_pa_contig84	contig_169	98.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	121067	1068736	947672	pa_ill_pa_contig17	contig_169	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	56007	1068998	1124999	pa_ill_pa_contig32	contig_169	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	1126147	1125000	pa_ill_pa_contig64	contig_169	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
247199	542364	1421294	1126148	pa_ill_pa_contig2	contig_169	99.98		True
local misassembly
1	247083	1668350	1421295	pa_ill_pa_contig2	contig_169	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	1668351	1668779	pa_ill_pa_contig84	contig_169	98.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	1672553	1668780	pa_ill_pa_contig47	contig_169	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	1672554	1673066	pa_ill_pa_contig78	contig_169	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	929	1673067	1673996	pa_ill_pa_contig72	contig_169	98.39		True
fake: not a misassembly [fragmentation of reference genome]
1	2549	1674124	1676672	pa_ill_pa_contig52	contig_169	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	404310	2081303	1677031	pa_ill_pa_contig4	contig_169	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	2081304	2082661	pa_ill_pa_contig62	contig_169	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	122468	2082662	2205119	pa_ill_pa_contig16	contig_169	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	53273	2258806	2205534	pa_ill_pa_contig33	contig_169	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	2259299	2258807	pa_ill_pa_contig79	contig_169	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
41341	76514	2294469	2259300	pa_ill_pa_contig26	contig_169	99.97		True
local misassembly
1	41228	2335696	2294470	pa_ill_pa_contig26	contig_169	99.96		True
translocation
56	770	2336405	2335697	pa_ill_pa_contig20	contig_169	90.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5507	2341857	2336406	pa_ill_pa_contig45	contig_169	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68413	2341858	2410266	pa_ill_pa_contig27	contig_169	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	2415870	2410267	pa_ill_pa_contig44	contig_169	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	87995	2503854	2415871	pa_ill_pa_contig24	contig_169	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	2503855	2504941	pa_ill_pa_contig67	contig_169	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	294591	2504942	2799501	pa_ill_pa_contig5	contig_169	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	2799502	2800318	pa_ill_pa_contig73	contig_169	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	35776	2800319	2836093	pa_ill_pa_contig37	contig_169	99.99		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	2839114	2836963	pa_ill_pa_contig55	contig_169	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	2839115	3071670	pa_ill_pa_contig10	contig_169	99.97		True
translocation
129	1718	3071671	3073260	pa_ill_pa_contig57	contig_169	100.0		True
translocation
232388	237415	3073261	3078285	pa_ill_pa_contig10	contig_169	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	3080720	3078286	pa_ill_pa_contig48	contig_169	99.48		True
local misassembly
