S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1196	se_ill_se_contig56	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1197	52855	se_ill_se_contig27	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350706	52856	se_ill_se_contig2	contig_56	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350707	351099	se_ill_se_contig69	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355166	351100	se_ill_se_contig46	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355167	358838	se_ill_se_contig47	contig_56	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358839	360616	se_ill_se_contig53	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361103	360617	se_ill_se_contig63	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
86072	162102	437187	361104	se_ill_se_contig11	contig_56	99.87		True
indel: indel (> 5bp)
1	86120	523308	437188	se_ill_se_contig11	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524449	523309	se_ill_se_contig56	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524450	538174	se_ill_se_contig4	contig_56	100.0		True
local misassembly
13844	16547	538175	540878	se_ill_se_contig4	contig_56	98.98		True
local misassembly
16782	245298	540879	769399	se_ill_se_contig4	contig_56	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769400	771132	se_ill_se_contig54	contig_56	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771133	771978	se_ill_se_contig58	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	771979	773492	se_ill_se_contig55	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773493	773924	se_ill_se_contig65	contig_56	100.0		True
