S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_104	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_104	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	3000	2517	sa_ill_sa_contig65	contig_104	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226507	3001	sa_ill_sa_contig1	contig_104	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226508	227838	sa_ill_sa_contig48	contig_104	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326516	227839	sa_ill_sa_contig11	contig_104	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326517	333604	sa_ill_sa_contig36	contig_104	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355410	333605	sa_ill_sa_contig30	contig_104	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355411	356122	sa_ill_sa_contig55	contig_104	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370347	356123	sa_ill_sa_contig34	contig_104	99.79		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370501	403505	sa_ill_sa_contig26	contig_104	99.79		True
local misassembly [fragmentation of reference genome]
2	925	403710	404628	sa_ill_sa_contig51	contig_104	97.96		True
translocation
198	3323	405183	408315	sa_ill_sa_contig41	contig_104	99.62		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408737	410340	sa_ill_sa_contig8	contig_104	99.71		True
translocation
1	28120	410341	438476	sa_ill_sa_contig28	contig_104	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438481	478226	sa_ill_sa_contig21	contig_104	99.88		True
local misassembly [fragmentation of reference genome]
98092	98471	478605	478227	sa_ill_sa_contig11	contig_104	97.97		True
translocation
1	62604	478606	541108	sa_ill_sa_contig14	contig_104	99.6		True
local misassembly
62396	62502	541158	541264	sa_ill_sa_contig14	contig_104	98.6		True
translocation
203	3323	541265	544384	sa_ill_sa_contig41	contig_104	99.74		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544803	546404	sa_ill_sa_contig8	contig_104	99.53		True
translocation
19	34443	580848	546405	sa_ill_sa_contig24	contig_104	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619657	580849	sa_ill_sa_contig22	contig_104	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619658	620190	sa_ill_sa_contig63	contig_104	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654584	620191	sa_ill_sa_contig25	contig_104	99.82		True
translocation
203	3323	654749	657875	sa_ill_sa_contig41	contig_104	99.68		True
fake: not a misassembly [fragmentation of reference genome]
