S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
214350	552243	1	337890	bs_ill_bs_contig2	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
18222	18355	338874	338741	bs_ill_bs_contig20	contig_18	100.0		True
translocation
56	319	339540	339276	bs_ill_bs_contig13	contig_18	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	339541	340692	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	340694	341604	bs_ill_bs_contig991	contig_18	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	342327	341606	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	343680	342699	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	340	343681	343965	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	257004	601114	344066	bs_ill_bs_contig8	contig_18	99.98		True
translocation
1	599	601713	601115	bs_ill_bs_contig2	contig_18	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	602272	601715	bs_ill_bs_contig1	contig_18	99.84		True
translocation
1	29697	631966	602273	bs_ill_bs_contig18	contig_18	99.96		True
translocation
56	393	632304	631967	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	632305	633456	bs_ill_bs_contig839	contig_18	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	633458	634368	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	635091	634370	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	982	636389	635463	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	325319	636390	961862	bs_ill_bs_contig3	contig_18	99.94		True
translocation
1	599	962461	961863	bs_ill_bs_contig2	contig_18	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	963021	962463	bs_ill_bs_contig1	contig_18	99.84		True
translocation
1	104023	963022	1067044	bs_ill_bs_contig12	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	18355	1085549	1067198	bs_ill_bs_contig20	contig_18	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1085763	1086914	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1086916	1087826	bs_ill_bs_contig991	contig_18	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1088549	1087828	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1089902	1088921	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1089903	1090278	bs_ill_bs_contig3	contig_18	99.54		True
translocation
56	453	1090763	1090366	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1090764	1091915	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1091917	1092827	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1093550	1092829	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1094903	1093922	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1094904	1095279	bs_ill_bs_contig3	contig_18	99.54		True
local misassembly
521	601	1095541	1095621	bs_ill_bs_contig3	contig_18	100.0		True
translocation
56	449	1096376	1095983	bs_ill_bs_contig13	contig_18	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1096377	1097528	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1097530	1098440	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1099163	1098442	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1100516	1099535	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	375	1100517	1100836	bs_ill_bs_contig3	contig_18	99.77		True
translocation
1	60136	1160973	1100837	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1152	1160974	1162069	bs_ill_bs_contig839	contig_18	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1162071	1162981	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1163704	1162983	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1165057	1164076	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1165058	1165343	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	536	1166325	1165790	bs_ill_bs_contig1326	contig_18	100.0		True
translocation
56	453	1166840	1166442	bs_ill_bs_contig13	contig_18	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1166841	1167992	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1167994	1168904	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1169627	1168906	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1170980	1169999	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1170981	1171266	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	55215	1226576	1171362	bs_ill_bs_contig15	contig_18	100.0		True
translocation
328	395	1226644	1226577	bs_ill_bs_contig13	contig_18	100.0		True
local misassembly
56	274	1226997	1226779	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1226998	1228149	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1228151	1229061	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1229784	1229063	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1231314	1230333	bs_ill_bs_contig933	contig_18	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	342	1231315	1231601	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	15524	1247212	1231689	bs_ill_bs_contig21	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1247610	1248761	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1248763	1249673	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1250396	1249675	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1251926	1250945	bs_ill_bs_contig933	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	59870	1312049	1252180	bs_ill_bs_contig14	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	709047	1312280	2021208	bs_ill_bs_contig1	contig_18	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2021210	2021808	bs_ill_bs_contig2	contig_18	99.41		True
translocation
1	263211	2285018	2021809	bs_ill_bs_contig7	contig_18	100.0		True
translocation
1	620	2285638	2285019	bs_ill_bs_contig2	contig_18	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	2286197	2285640	bs_ill_bs_contig1	contig_18	99.84		True
translocation
1	38370	2324566	2286198	bs_ill_bs_contig16	contig_18	100.0		True
translocation
56	341	2324852	2324567	bs_ill_bs_contig3	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	982	2324853	2325834	bs_ill_bs_contig933	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	2326206	2326927	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	2327839	2326929	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	2328992	2327841	bs_ill_bs_contig839	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	274	2328993	2329211	bs_ill_bs_contig13	contig_18	100.0		True
local misassembly
328	453	2329346	2329471	bs_ill_bs_contig13	contig_18	100.0		True
translocation
1	536	2329616	2330124	bs_ill_bs_contig1326	contig_18	90.26		True
fake: not a misassembly [fragmentation of reference genome]
1	37065	2368480	2331416	bs_ill_bs_contig17	contig_18	100.0		True
translocation
708489	709047	2368481	2369039	bs_ill_bs_contig1	contig_18	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2369041	2369639	bs_ill_bs_contig2	contig_18	99.26		True
translocation
1	315068	2369640	2684704	bs_ill_bs_contig4	contig_18	100.0		True
translocation
708490	709047	2684705	2685262	bs_ill_bs_contig1	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2685264	2685863	bs_ill_bs_contig2	contig_18	99.11		True
translocation
1	294381	2980242	2685864	bs_ill_bs_contig5	contig_18	100.0		True
translocation
1	618	2980860	2980243	bs_ill_bs_contig2	contig_18	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	2981420	2980862	bs_ill_bs_contig1	contig_18	99.84		True
translocation
114	252570	3233993	2981421	bs_ill_bs_contig9	contig_18	99.94		True
local misassembly
34	329	3234289	3233994	bs_ill_bs_contig9	contig_18	99.03		True
local misassembly [fragmentation of reference genome]
1	609	3234397	3235005	bs_ill_bs_contig1250	contig_18	100.0		True
translocation
155978	156135	3235163	3235006	bs_ill_bs_contig10	contig_18	98.37		True
local misassembly
155994	156223	3235525	3235296	bs_ill_bs_contig10	contig_18	96.52		True
local misassembly
156140	156290	3235712	3235562	bs_ill_bs_contig10	contig_18	94.7		True
local misassembly
156684	156751	3235915	3235848	bs_ill_bs_contig10	contig_18	98.53		True
local misassembly
156140	156408	3236216	3235948	bs_ill_bs_contig10	contig_18	96.28		True
translocation
59	507	3236453	3236892	bs_ill_bs_contig1250	contig_18	97.77		True
translocation
156423	156786	3237256	3236893	bs_ill_bs_contig10	contig_18	92.08		True
local misassembly
156234	156335	3237598	3237497	bs_ill_bs_contig10	contig_18	93.14		True
indel: indel (> 5bp)
155978	156197	3237818	3237599	bs_ill_bs_contig10	contig_18	99.55		True
local misassembly
156077	156223	3238097	3237951	bs_ill_bs_contig10	contig_18	97.96		True
local misassembly
156590	156939	3238511	3238162	bs_ill_bs_contig10	contig_18	100.0		True
local misassembly
1	156862	3395614	3238752	bs_ill_bs_contig10	contig_18	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	2262	3395993	3398254	bs_ill_bs_contig411	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	269408	3668210	3398809	bs_ill_bs_contig6	contig_18	100.0		True
translocation
1	599	3668809	3668211	bs_ill_bs_contig2	contig_18	98.06		True
fake: not a misassembly [fragmentation of reference genome]
708516	709047	3669342	3668811	bs_ill_bs_contig1	contig_18	98.81		True
translocation
1	137190	3669343	3806530	bs_ill_bs_contig11	contig_18	100.0		True
translocation
1	574	3807104	3806531	bs_ill_bs_contig2	contig_18	97.62		True
fake: not a misassembly [fragmentation of reference genome]
708549	709047	3807604	3807106	bs_ill_bs_contig1	contig_18	98.69		True
translocation
1	23242	3830845	3807605	bs_ill_bs_contig19	contig_18	100.0		True
translocation
708485	709047	3830846	3831408	bs_ill_bs_contig1	contig_18	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	214348	3831410	4045595	bs_ill_bs_contig2	contig_18	99.92		True
CONTIG	contig_18	4045595	misassembled
18672	18790	268392	268274	bs_ill_bs_contig13	contig_31	90.76		True
unknown
1	277	286262	285986	bs_ill_bs_contig13	contig_31	91.07		True
unknown
1	1065	286208	287272	bs_ill_bs_contig839	contig_31	95.6		True
unknown
108	910	287467	288275	bs_ill_bs_contig991	contig_31	91.87		True
unknown
83	720	288916	288280	bs_ill_bs_contig1146	contig_31	90.39		True
unknown
1	966	290426	289463	bs_ill_bs_contig933	contig_31	94.21		True
unknown
1	133	290372	290504	bs_ill_bs_contig3	contig_31	91.73		True
unknown
159	246	290530	290617	bs_ill_bs_contig3	contig_31	90.91		True
unknown
266	333	290639	290706	bs_ill_bs_contig3	contig_31	95.59		True
unknown
1	277	292281	292005	bs_ill_bs_contig13	contig_31	91.07		True
unknown
1	1065	292227	293291	bs_ill_bs_contig839	contig_31	95.6		True
unknown
108	910	293486	294294	bs_ill_bs_contig991	contig_31	91.87		True
unknown
83	720	294935	294299	bs_ill_bs_contig1146	contig_31	90.39		True
unknown
1	966	296445	295482	bs_ill_bs_contig933	contig_31	94.21		True
unknown
1	133	296391	296523	bs_ill_bs_contig3	contig_31	91.73		True
unknown
159	246	296549	296636	bs_ill_bs_contig3	contig_31	90.91		True
unknown
266	333	296658	296725	bs_ill_bs_contig3	contig_31	95.59		True
unknown
1	277	529832	529556	bs_ill_bs_contig13	contig_31	91.07		True
unknown
1	1065	529778	530842	bs_ill_bs_contig839	contig_31	95.6		True
unknown
108	910	531037	531845	bs_ill_bs_contig991	contig_31	91.87		True
unknown
83	720	532486	531850	bs_ill_bs_contig1146	contig_31	90.39		True
unknown
1	966	534247	533284	bs_ill_bs_contig933	contig_31	94.21		True
unknown
1	4776	679067	674368	bs_ill_bs_contig89	contig_31	97.51		True
unknown
1	966	1078046	1079009	bs_ill_bs_contig933	contig_31	94.21		True
unknown
83	720	1079807	1080443	bs_ill_bs_contig1146	contig_31	90.39		True
unknown
108	910	1081256	1080448	bs_ill_bs_contig991	contig_31	91.87		True
unknown
1	1065	1082515	1081451	bs_ill_bs_contig839	contig_31	95.6		True
unknown
1	277	1082461	1082737	bs_ill_bs_contig13	contig_31	91.07		True
unknown
266	333	1676345	1676278	bs_ill_bs_contig3	contig_31	95.59		True
unknown
159	246	1676454	1676367	bs_ill_bs_contig3	contig_31	90.91		True
unknown
1	133	1676612	1676480	bs_ill_bs_contig3	contig_31	91.73		True
unknown
1	966	1676558	1677521	bs_ill_bs_contig933	contig_31	94.21		True
unknown
83	720	1678068	1678704	bs_ill_bs_contig1146	contig_31	90.39		True
unknown
108	910	1679517	1678709	bs_ill_bs_contig991	contig_31	91.87		True
unknown
1	1065	1680776	1679712	bs_ill_bs_contig839	contig_31	95.6		True
unknown
1	277	1680722	1680998	bs_ill_bs_contig13	contig_31	91.07		True
unknown
266	333	1781022	1780955	bs_ill_bs_contig3	contig_31	95.59		True
unknown
159	246	1781131	1781044	bs_ill_bs_contig3	contig_31	90.91		True
unknown
1	133	1781289	1781157	bs_ill_bs_contig3	contig_31	91.73		True
unknown
1	966	1781235	1782198	bs_ill_bs_contig933	contig_31	94.21		True
unknown
83	720	1782745	1783381	bs_ill_bs_contig1146	contig_31	90.39		True
unknown
108	910	1784194	1783386	bs_ill_bs_contig991	contig_31	91.87		True
unknown
1	1065	1785453	1784389	bs_ill_bs_contig839	contig_31	95.6		True
unknown
1	277	1785399	1785675	bs_ill_bs_contig13	contig_31	91.07		True
unknown
CONTIG	contig_31	2992094	mis_unaligned
8	169	405508	405347	bs_ill_bs_contig13	contig_50	95.06		True
unknown
1	1068	405461	406527	bs_ill_bs_contig839	contig_50	93.83		True
unknown
1	982	409907	408925	bs_ill_bs_contig933	contig_50	92.93		True
unknown
1	1068	541462	542529	bs_ill_bs_contig839	contig_50	93.74		True
unknown
480	720	543768	543528	bs_ill_bs_contig1146	contig_50	95.85		True
unknown
95	183	544153	544065	bs_ill_bs_contig1146	contig_50	91.01		True
unknown
1	982	545900	544918	bs_ill_bs_contig933	contig_50	92.93		True
unknown
1	1068	654899	655966	bs_ill_bs_contig839	contig_50	93.83		True
unknown
1	982	659295	658312	bs_ill_bs_contig933	contig_50	92.54		True
unknown
261	334	1715088	1715015	bs_ill_bs_contig3	contig_50	93.24		True
unknown
2	120	1715348	1715230	bs_ill_bs_contig3	contig_50	90.76		True
unknown
1	982	1715295	1716277	bs_ill_bs_contig933	contig_50	92.83		True
unknown
95	184	1717016	1717105	bs_ill_bs_contig1146	contig_50	91.11		True
unknown
480	720	1717401	1717641	bs_ill_bs_contig1146	contig_50	95.44		True
unknown
1	1068	1719710	1718643	bs_ill_bs_contig839	contig_50	93.83		True
unknown
1	982	1759919	1760900	bs_ill_bs_contig933	contig_50	92.73		True
unknown
95	184	1761579	1761668	bs_ill_bs_contig1146	contig_50	91.11		True
unknown
495	720	1761979	1762204	bs_ill_bs_contig1146	contig_50	96.02		True
unknown
1	1068	1764273	1763205	bs_ill_bs_contig839	contig_50	93.74		True
unknown
1	982	1765175	1766157	bs_ill_bs_contig933	contig_50	92.83		True
unknown
95	184	1766804	1766893	bs_ill_bs_contig1146	contig_50	91.11		True
unknown
480	720	1767189	1767429	bs_ill_bs_contig1146	contig_50	95.44		True
unknown
1	1068	1769498	1768429	bs_ill_bs_contig839	contig_50	93.47		True
unknown
8	169	1769451	1769612	bs_ill_bs_contig13	contig_50	95.06		True
unknown
CONTIG	contig_50	2719941	mis_unaligned
1	965	604602	605565	bs_ill_bs_contig933	contig_58	93.89		True
unknown
95	215	606207	606327	bs_ill_bs_contig1146	contig_58	92.56		True
unknown
483	720	606587	606824	bs_ill_bs_contig1146	contig_58	93.28		True
unknown
666	889	607073	606850	bs_ill_bs_contig991	contig_58	91.52		True
unknown
337	569	607403	607171	bs_ill_bs_contig991	contig_58	93.56		True
unknown
108	329	607635	607414	bs_ill_bs_contig991	contig_58	91.44		True
unknown
1	1065	608883	607832	bs_ill_bs_contig839	contig_58	92.31		True
unknown
9	171	608837	608999	bs_ill_bs_contig13	contig_58	93.25		True
unknown
9	171	2112858	2112696	bs_ill_bs_contig13	contig_58	93.25		True
unknown
1	1065	2112812	2113863	bs_ill_bs_contig839	contig_58	92.31		True
unknown
108	329	2114060	2114281	bs_ill_bs_contig991	contig_58	91.44		True
unknown
337	569	2114292	2114524	bs_ill_bs_contig991	contig_58	93.56		True
unknown
666	889	2114622	2114845	bs_ill_bs_contig991	contig_58	91.07		True
unknown
483	720	2115108	2114871	bs_ill_bs_contig1146	contig_58	93.28		True
unknown
95	215	2115488	2115368	bs_ill_bs_contig1146	contig_58	93.39		True
unknown
1	965	2116991	2116028	bs_ill_bs_contig933	contig_58	93.89		True
unknown
33226	33297	2171642	2171571	bs_ill_bs_contig13	contig_58	95.83		True
unknown
32338	32486	2172530	2172382	bs_ill_bs_contig13	contig_58	91.95		True
unknown
1	965	2387673	2388636	bs_ill_bs_contig933	contig_58	93.89		True
unknown
95	215	2389176	2389296	bs_ill_bs_contig1146	contig_58	93.39		True
unknown
483	720	2389556	2389793	bs_ill_bs_contig1146	contig_58	93.28		True
unknown
666	889	2390042	2389819	bs_ill_bs_contig991	contig_58	91.52		True
unknown
337	569	2390372	2390140	bs_ill_bs_contig991	contig_58	93.56		True
unknown
108	329	2390604	2390383	bs_ill_bs_contig991	contig_58	91.44		True
unknown
