S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_103	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_103	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2998	2515	sa_ill_sa_contig65	contig_103	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226421	2999	sa_ill_sa_contig1	contig_103	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226422	227750	sa_ill_sa_contig48	contig_103	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326392	227751	sa_ill_sa_contig11	contig_103	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326393	333477	sa_ill_sa_contig36	contig_103	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355272	333478	sa_ill_sa_contig30	contig_103	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355273	355984	sa_ill_sa_contig55	contig_103	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370195	355985	sa_ill_sa_contig34	contig_103	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370348	403329	sa_ill_sa_contig26	contig_103	99.88		True
local misassembly [fragmentation of reference genome]
2	925	403534	404451	sa_ill_sa_contig51	contig_103	97.95		True
translocation
198	3323	405005	408130	sa_ill_sa_contig41	contig_103	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408552	410155	sa_ill_sa_contig8	contig_103	99.71		True
translocation
1	28120	410156	438279	sa_ill_sa_contig28	contig_103	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438284	478021	sa_ill_sa_contig21	contig_103	99.93		True
local misassembly [fragmentation of reference genome]
98092	98471	478400	478022	sa_ill_sa_contig11	contig_103	97.97		True
translocation
1	62604	478401	540861	sa_ill_sa_contig14	contig_103	99.67		True
local misassembly
62396	62502	540911	541017	sa_ill_sa_contig14	contig_103	98.6		True
translocation
203	3323	541018	544137	sa_ill_sa_contig41	contig_103	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544555	546157	sa_ill_sa_contig8	contig_103	99.53		True
translocation
19	34443	580590	546158	sa_ill_sa_contig24	contig_103	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619381	580591	sa_ill_sa_contig22	contig_103	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619382	619914	sa_ill_sa_contig63	contig_103	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
