S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207316	310075	1	102735	ec_ill_ec_contig2	contig_34	99.96		True
local misassembly
310191	312944	102736	105488	ec_ill_ec_contig2	contig_34	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303817	105578	ec_ill_ec_contig4	contig_34	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306788	303818	ec_ill_ec_contig65	contig_34	99.9		True
local misassembly
1	1463	308647	307186	ec_ill_ec_contig65	contig_34	99.66		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309014	346310	ec_ill_ec_contig39	contig_34	99.96		True
local misassembly [fragmentation of reference genome]
22	350	346406	346734	ec_ill_ec_contig104	contig_34	91.19		True
indel: indel (> 5bp)
384	502	346735	346853	ec_ill_ec_contig104	contig_34	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346926	392228	ec_ill_ec_contig15	contig_34	99.92		True
local misassembly
45064	105217	392243	452391	ec_ill_ec_contig15	contig_34	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452392	453623	ec_ill_ec_contig79	contig_34	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453624	514026	ec_ill_ec_contig31	contig_34	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514214	857387	ec_ill_ec_contig1	contig_34	99.97		True
local misassembly
343563	393863	857388	907679	ec_ill_ec_contig1	contig_34	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980623	907680	ec_ill_ec_contig16	contig_34	99.97		True
local misassembly
1	31383	1012006	980624	ec_ill_ec_contig16	contig_34	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015033	1012008	ec_ill_ec_contig65	contig_34	99.9		True
local misassembly
1	1463	1016897	1015437	ec_ill_ec_contig65	contig_34	99.45		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058437	1017168	ec_ill_ec_contig37	contig_34	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059356	1058438	ec_ill_ec_contig83	contig_34	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059357	1206830	ec_ill_ec_contig7	contig_34	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206831	1208754	ec_ill_ec_contig73	contig_34	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209316	1208755	ec_ill_ec_contig91	contig_34	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209317	1209961	ec_ill_ec_contig94	contig_34	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210215	1211943	ec_ill_ec_contig75	contig_34	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212392	1212876	ec_ill_ec_contig104	contig_34	91.56		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220846	1212944	ec_ill_ec_contig60	contig_34	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1221968	1220847	ec_ill_ec_contig80	contig_34	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93192	1221969	1315156	ec_ill_ec_contig20	contig_34	99.97		True
local misassembly
92918	93344	1315157	1315583	ec_ill_ec_contig20	contig_34	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1979	1315584	1317562	ec_ill_ec_contig73	contig_34	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1318124	1317563	ec_ill_ec_contig91	contig_34	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1318125	1318749	ec_ill_ec_contig94	contig_34	98.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318750	1390580	ec_ill_ec_contig25	contig_34	99.91		True
local misassembly [fragmentation of reference genome]
1	5324	1396009	1390688	ec_ill_ec_contig64	contig_34	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396292	1412358	ec_ill_ec_contig53	contig_34	99.95		True
translocation
