S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102673	ec_ill_ec_contig2	contig_95	99.97		True
local misassembly
310191	312944	102674	105426	ec_ill_ec_contig2	contig_95	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303760	105516	ec_ill_ec_contig4	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306732	303761	ec_ill_ec_contig65	contig_95	99.93		True
local misassembly
1	1463	308592	307130	ec_ill_ec_contig65	contig_95	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	308959	346253	ec_ill_ec_contig39	contig_95	99.97		True
local misassembly [fragmentation of reference genome]
22	350	346349	346677	ec_ill_ec_contig104	contig_95	91.19		True
indel: indel (> 5bp)
384	502	346678	346796	ec_ill_ec_contig104	contig_95	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346869	392168	ec_ill_ec_contig15	contig_95	99.92		True
local misassembly
45064	105217	392183	452323	ec_ill_ec_contig15	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452324	453554	ec_ill_ec_contig79	contig_95	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453555	513956	ec_ill_ec_contig31	contig_95	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514144	857322	ec_ill_ec_contig1	contig_95	99.97		True
local misassembly
343563	393863	857323	907613	ec_ill_ec_contig1	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980559	907614	ec_ill_ec_contig16	contig_95	99.98		True
local misassembly
1	31383	1011934	980560	ec_ill_ec_contig16	contig_95	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1014958	1011936	ec_ill_ec_contig65	contig_95	99.8		True
local misassembly
1	1463	1016824	1015362	ec_ill_ec_contig65	contig_95	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058368	1017095	ec_ill_ec_contig37	contig_95	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059287	1058369	ec_ill_ec_contig83	contig_95	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059288	1206757	ec_ill_ec_contig7	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
