S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207316	310075	1	102757	ec_ill_ec_contig2	contig_54	99.99		True
local misassembly
310191	312944	102758	105511	ec_ill_ec_contig2	contig_54	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303856	105601	ec_ill_ec_contig4	contig_54	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306828	303857	ec_ill_ec_contig65	contig_54	99.93		True
local misassembly
1	1463	308688	307226	ec_ill_ec_contig65	contig_54	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309055	346350	ec_ill_ec_contig39	contig_54	99.99		True
local misassembly [fragmentation of reference genome]
22	350	346446	346774	ec_ill_ec_contig104	contig_54	91.19		True
indel: indel (> 5bp)
384	502	346775	346893	ec_ill_ec_contig104	contig_54	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346966	392270	ec_ill_ec_contig15	contig_54	99.95		True
local misassembly
45064	105217	392285	452436	ec_ill_ec_contig15	contig_54	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452437	453668	ec_ill_ec_contig79	contig_54	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453669	514078	ec_ill_ec_contig31	contig_54	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514266	857470	ec_ill_ec_contig1	contig_54	99.99		True
local misassembly
343563	393863	857471	907770	ec_ill_ec_contig1	contig_54	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980728	907771	ec_ill_ec_contig16	contig_54	99.99		True
local misassembly
1	31383	1012110	980729	ec_ill_ec_contig16	contig_54	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015138	1012112	ec_ill_ec_contig65	contig_54	99.93		True
local misassembly
1	1463	1017004	1015542	ec_ill_ec_contig65	contig_54	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058551	1017275	ec_ill_ec_contig37	contig_54	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059472	1058552	ec_ill_ec_contig83	contig_54	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059473	1206969	ec_ill_ec_contig7	contig_54	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206970	1208893	ec_ill_ec_contig73	contig_54	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209455	1208894	ec_ill_ec_contig91	contig_54	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209456	1210100	ec_ill_ec_contig94	contig_54	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210354	1212082	ec_ill_ec_contig75	contig_54	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212531	1213016	ec_ill_ec_contig104	contig_54	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220987	1213084	ec_ill_ec_contig60	contig_54	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222109	1220988	ec_ill_ec_contig80	contig_54	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1222110	1315453	ec_ill_ec_contig20	contig_54	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315454	1317377	ec_ill_ec_contig73	contig_54	99.65		True
