Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_1bin_1_MP	34	34	0	34	0	0	0	0	0	1	4045598	1	10	13	0	0	49	6	3901	440	391	49	2575
r10_1bin_1_MP_helen	34	34	0	34	0	0	0	0	0	1	4045621	1	10	13	0	0	49	6	3801	443	394	49	2583
r10_1bin_1_r1_medaka	34	34	0	34	0	0	0	0	0	1	4045594	1	10	13	0	0	49	6	3830	417	367	50	2562
r10_1bin_1_r2_medaka	34	34	0	34	0	0	0	0	0	1	4045589	1	10	13	0	0	49	6	3835	402	355	47	2509
r10_1bin_1_racon_r1	34	34	0	34	0	0	0	0	0	1	4045227	1	10	13	0	0	49	6	3867	925	876	49	3180
r10_1bin_1_racon_r2	34	34	0	34	0	0	0	0	0	1	4045309	1	10	13	0	0	49	6	3930	801	754	47	2968
r10_1bin_1_raw	31	31	0	31	0	0	0	0	0	1	4043006	1	11	17	0	0	30	5	3310	4148	4087	61	7299
r10_1bin_2_MP	34	34	0	34	0	0	0	0	0	1	4045598	1	10	13	0	0	49	6	3922	447	398	49	2596
r10_1bin_2_MP_helen	34	34	0	34	0	0	0	0	0	1	4045629	1	10	13	0	0	49	6	3829	450	401	49	2603
r10_1bin_2_r1_medaka	34	34	0	34	0	0	0	0	0	1	4045591	1	10	13	0	0	49	6	3894	418	369	49	2556
r10_1bin_2_r2_medaka	34	34	0	34	0	0	0	0	0	1	4045590	1	10	13	0	0	49	6	3888	419	370	49	2557
r10_1bin_2_racon_r1	34	34	0	34	0	0	0	0	0	1	4045220	1	10	13	0	0	49	6	3932	925	876	49	3169
r10_1bin_2_racon_r2	34	34	0	34	0	0	0	0	0	1	4045285	1	10	13	0	0	49	6	3958	847	797	50	3079
r10_1bin_2_raw	31	31	0	31	0	0	0	0	0	1	4043036	1	11	17	0	0	30	5	3486	4145	4081	64	7318
r10_1bin_3_MP	34	34	0	34	0	0	0	0	0	1	4045598	1	10	13	0	0	49	6	3871	440	391	49	2575
r10_1bin_3_MP_helen	34	34	0	34	0	0	0	0	0	1	4045626	1	10	13	0	0	49	6	3736	428	380	48	2551
r10_1bin_3_r1_medaka	34	34	0	34	0	0	0	0	0	1	4045592	1	10	13	0	0	49	6	3940	424	375	49	2566
r10_1bin_3_r2_medaka	34	34	0	34	0	0	0	0	0	1	4045592	1	10	13	0	0	49	6	3816	408	360	48	2528
r10_1bin_3_racon_r1	34	34	0	34	0	0	0	0	0	1	4045212	1	10	13	0	0	49	6	3968	937	887	50	3216
r10_1bin_3_racon_r2	34	34	0	34	0	0	0	0	0	1	4045306	1	10	13	0	0	49	6	3950	841	792	49	3076
r10_1bin_3_raw	31	31	0	31	0	0	0	0	0	1	4043032	1	11	17	0	0	30	4	3406	4161	4098	63	7319
