S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1196	se_ill_se_contig56	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1197	52855	se_ill_se_contig27	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350707	52856	se_ill_se_contig2	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350708	351100	se_ill_se_contig69	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355167	351101	se_ill_se_contig46	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355168	358839	se_ill_se_contig47	contig_92	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358840	360617	se_ill_se_contig53	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361104	360618	se_ill_se_contig63	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85533	162102	437675	361105	se_ill_se_contig11	contig_92	99.99		True
local misassembly
1	86127	523802	437676	se_ill_se_contig11	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524943	523803	se_ill_se_contig56	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524944	538668	se_ill_se_contig4	contig_92	100.0		True
local misassembly
13844	16547	538669	541372	se_ill_se_contig4	contig_92	98.98		True
local misassembly
16782	245298	541373	769894	se_ill_se_contig4	contig_92	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769895	771627	se_ill_se_contig54	contig_92	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771628	772473	se_ill_se_contig58	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772474	773987	se_ill_se_contig55	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773988	774419	se_ill_se_contig65	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774910	774420	se_ill_se_contig64	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774911	779631	se_ill_se_contig43	contig_92	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5265	784841	779632	se_ill_se_contig41	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21152	805993	784842	se_ill_se_contig37	contig_92	100.0		True
translocation
103637	104041	805994	806398	se_ill_se_contig19	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	806399	808785	se_ill_se_contig42	contig_92	99.96		True
translocation
1	660	808800	809459	se_ill_se_contig60	contig_92	100.0		True
translocation
3345	5023	809643	811321	se_ill_se_contig42	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	811322	860457	se_ill_se_contig7	contig_92	100.0		True
inversion
49137	50103	861424	860458	se_ill_se_contig7	contig_92	100.0		True
inversion
50104	198853	861425	1010175	se_ill_se_contig7	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1011316	1010176	se_ill_se_contig56	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1038997	1011317	se_ill_se_contig35	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1038998	1040138	se_ill_se_contig56	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1040139	1091869	se_ill_se_contig26	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	177680	1269722	1092049	se_ill_se_contig10	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1269723	1270863	se_ill_se_contig56	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	94784	1365647	1270864	se_ill_se_contig20	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	58960	1424607	1365648	se_ill_se_contig24	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1427727	1424608	se_ill_se_contig48	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44860	1472587	1427728	se_ill_se_contig30	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	2387	1472664	1475050	se_ill_se_contig42	contig_92	100.0		True
translocation
1	660	1475065	1475724	se_ill_se_contig60	contig_92	100.0		True
translocation
3345	5078	1475908	1477640	se_ill_se_contig42	contig_92	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	26107	1503850	1477744	se_ill_se_contig36	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	1504759	1503851	se_ill_se_contig57	contig_92	99.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	242448	1747174	1504760	se_ill_se_contig5	contig_92	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1747175	1748315	se_ill_se_contig56	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	158034	1748316	1906349	se_ill_se_contig12	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1907490	1906350	se_ill_se_contig56	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3049	1907491	1910539	se_ill_se_contig49	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3727	1910540	1914266	se_ill_se_contig47	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	583	1914794	1914267	se_ill_se_contig63	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	77562	1992357	1914795	se_ill_se_contig23	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
3345	5023	1994036	1992358	se_ill_se_contig42	contig_92	99.94		True
local misassembly
1	2387	1997439	1995053	se_ill_se_contig42	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
24	36664	2034207	1997568	se_ill_se_contig32	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	53027	2087234	2034208	se_ill_se_contig25	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2089124	2087391	se_ill_se_contig42	contig_92	99.94		True
translocation
1	660	2089967	2089308	se_ill_se_contig60	contig_92	100.0		True
translocation
56	2387	2092313	2089982	se_ill_se_contig42	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	104096	2196409	2092314	se_ill_se_contig19	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	2196410	2197550	se_ill_se_contig56	contig_92	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44927	2242477	2197551	se_ill_se_contig29	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2244358	2242626	se_ill_se_contig42	contig_92	99.94		True
local misassembly
1	2387	2247761	2245375	se_ill_se_contig42	contig_92	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	4426	2247838	2252263	se_ill_se_contig45	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	2252264	2253172	se_ill_se_contig57	contig_92	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	32262	2285434	2253173	se_ill_se_contig33	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2287273	2285540	se_ill_se_contig42	contig_92	100.0		True
translocation
1	660	2288116	2287457	se_ill_se_contig60	contig_92	100.0		True
translocation
1	2387	2290517	2288131	se_ill_se_contig42	contig_92	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
103637	104041	2290922	2290518	se_ill_se_contig19	contig_92	100.0		True
translocation
1	88508	2290923	2379430	se_ill_se_contig21	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	772	2380202	2379431	se_ill_se_contig59	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	106728	2487235	2380509	se_ill_se_contig18	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	2487667	2487236	se_ill_se_contig66	contig_92	99.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	150716	2638381	2487668	se_ill_se_contig13	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1243	2639569	2638382	se_ill_se_contig56	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	37101	2676670	2639570	se_ill_se_contig31	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
