S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
131884	131983	67736	67835	sa_ill_sa_contig8	contig_11	98.0		False
106923	107136	67718	67931	sa_ill_sa_contig3	contig_11	99.53		False
134184	134302	67945	67827	sa_ill_sa_contig7	contig_11	97.48		False
1	133	67867	67999	sa_ill_sa_contig31	contig_11	98.5		False
45829	46373	67719	68262	sa_ill_sa_contig14	contig_11	98.17		False
142	348	107999	107793	sa_ill_sa_contig31	contig_11	97.58		False
488	552	136308	136372	ef_ill_ef_contig19	contig_11	93.85		False
83	153	136422	136492	lf_ill_lf_contig57	contig_11	92.96		False
603	674	136422	136493	ef_ill_ef_contig19	contig_11	93.06		False
747	856	136566	136675	ef_ill_ef_contig19	contig_11	94.55		False
924	1021	136741	136838	ef_ill_ef_contig19	contig_11	91.84		False
1397	1503	136950	137056	pa_ill_pa_contig44	contig_11	95.33		False
786	906	136950	137070	ec_ill_ec_contig65	contig_11	92.56		False
3937	4057	137070	136950	se_ill_se_contig42	contig_11	92.56		False
574	759	136908	137093	lf_ill_lf_contig57	contig_11	91.94		False
1094	1282	136908	137096	ef_ill_ef_contig19	contig_11	95.77		False
1660	1733	137213	137286	pa_ill_pa_contig44	contig_11	93.24		False
1	982	136355	137330	bs_ill_bs_contig933	contig_11	90.15		False
408	1724	136309	137618	lm_ill_lm_contig16	contig_11	90.1		False
1243	1307	137706	137770	lf_ill_lf_contig69	contig_11	100.0		False
1	79	141210	141288	sa_ill_sa_contig25	contig_11	100.0		False
87	460	141455	141082	sa_ill_sa_contig23	contig_11	99.2		False
276	350	141382	141456	sa_ill_sa_contig25	contig_11	100.0		False
92	173	141380	141461	bs_ill_bs_contig1326	contig_11	93.9		False
98882	98963	141462	141381	bs_ill_bs_contig3	contig_11	93.9		False
98793	98873	141543	141463	bs_ill_bs_contig3	contig_11	91.36		False
269	356	141631	141718	lm_ill_lm_contig37	contig_11	95.45		False
324	418	141624	141718	lf_ill_lf_contig69	contig_11	94.74		False
429	521	141632	141724	ef_ill_ef_contig21	contig_11	95.7		False
1	75	141822	141896	ef_ill_ef_contig16	contig_11	100.0		False
502	577	141821	141896	lf_ill_lf_contig69	contig_11	94.74		False
439	523	141812	141896	lm_ill_lm_contig37	contig_11	96.47		False
610	689	141818	141897	ef_ill_ef_contig21	contig_11	100.0		False
691	773	141903	141985	ef_ill_ef_contig21	contig_11	93.98		False
890	964	142111	142185	ef_ill_ef_contig21	contig_11	93.33		False
306	382	142673	142596	sa_ill_sa_contig51	contig_11	98.72		False
164	242	142847	142769	sa_ill_sa_contig23	contig_11	100.0		False
105	186	142851	142932	sa_ill_sa_contig25	contig_11	100.0		False
305	382	175953	175875	sa_ill_sa_contig51	contig_11	98.73		False
1	161	175953	175780	sa_ill_sa_contig51	contig_11	92.53		False
125386	125480	545505	545411	sa_ill_sa_contig10	contig_11	94.74		False
124898	124977	545992	545913	sa_ill_sa_contig10	contig_11	97.5		False
45962	46038	654025	653949	sa_ill_sa_contig14	contig_11	100.0		False
98115	98191	654025	653949	sa_ill_sa_contig11	contig_11	98.7		False
134195	134277	653943	654025	sa_ill_sa_contig7	contig_11	97.59		False
107057	107440	654025	653642	sa_ill_sa_contig3	contig_11	96.61		False
131887	131976	654253	654164	sa_ill_sa_contig8	contig_11	97.78		False
97985	98091	654270	654164	sa_ill_sa_contig11	contig_11	100.0		False
45829	45938	654274	654164	sa_ill_sa_contig14	contig_11	99.1		False
1	111	654164	654275	sa_ill_sa_contig14	contig_11	99.11		False
106923	107033	654275	654164	sa_ill_sa_contig3	contig_11	99.11		False
142698	142808	654275	654164	sa_ill_sa_contig6	contig_11	95.61		False
