S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1195	se_ill_se_contig56	contig_33	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1196	52847	se_ill_se_contig27	contig_33	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350653	52848	se_ill_se_contig2	contig_33	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350654	351044	se_ill_se_contig69	contig_33	99.6		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355112	351045	se_ill_se_contig46	contig_33	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355113	358782	se_ill_se_contig47	contig_33	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358783	360566	se_ill_se_contig53	contig_33	99.57		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361053	360567	se_ill_se_contig63	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85533	162102	437621	361054	se_ill_se_contig11	contig_33	99.95		True
local misassembly
1	86127	523747	437622	se_ill_se_contig11	contig_33	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524888	523748	se_ill_se_contig56	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524889	538611	se_ill_se_contig4	contig_33	99.97		True
local misassembly
13844	16547	538612	541314	se_ill_se_contig4	contig_33	98.89		True
local misassembly
16782	245298	541315	769797	se_ill_se_contig4	contig_33	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769798	771529	se_ill_se_contig54	contig_33	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771530	772374	se_ill_se_contig58	contig_33	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772375	773888	se_ill_se_contig55	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773889	774320	se_ill_se_contig65	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774811	774321	se_ill_se_contig64	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774812	779533	se_ill_se_contig43	contig_33	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5265	784743	779534	se_ill_se_contig41	contig_33	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21152	805892	784744	se_ill_se_contig37	contig_33	99.97		True
translocation
103637	104041	805893	806297	se_ill_se_contig19	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	806298	808683	se_ill_se_contig42	contig_33	99.92		True
translocation
1	660	808698	809357	se_ill_se_contig60	contig_33	100.0		True
translocation
3345	5023	809541	811219	se_ill_se_contig42	contig_33	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	811220	860349	se_ill_se_contig7	contig_33	99.97		True
inversion
49137	50103	861316	860350	se_ill_se_contig7	contig_33	100.0		True
inversion
50104	198853	861317	1010053	se_ill_se_contig7	contig_33	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1011193	1010054	se_ill_se_contig56	contig_33	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
