S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1195	se_ill_se_contig56	contig_37	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1196	52852	se_ill_se_contig27	contig_37	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350660	52853	se_ill_se_contig2	contig_37	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350661	351052	se_ill_se_contig69	contig_37	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355119	351053	se_ill_se_contig46	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355120	358788	se_ill_se_contig47	contig_37	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358789	360566	se_ill_se_contig53	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361053	360567	se_ill_se_contig63	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85640	162102	437506	361054	se_ill_se_contig11	contig_37	99.97		True
local misassembly
1	85953	523445	437507	se_ill_se_contig11	contig_37	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524585	523446	se_ill_se_contig56	contig_37	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524586	538307	se_ill_se_contig4	contig_37	99.96		True
local misassembly
13844	16547	538308	541010	se_ill_se_contig4	contig_37	98.95		True
local misassembly
16782	245298	541011	769492	se_ill_se_contig4	contig_37	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769493	771224	se_ill_se_contig54	contig_37	99.44		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771225	772069	se_ill_se_contig58	contig_37	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772070	773583	se_ill_se_contig55	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773584	774015	se_ill_se_contig65	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774506	774016	se_ill_se_contig64	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774507	779227	se_ill_se_contig43	contig_37	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5265	784438	779228	se_ill_se_contig41	contig_37	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21152	805583	784439	se_ill_se_contig37	contig_37	99.94		True
translocation
103637	104041	805584	805988	se_ill_se_contig19	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	805989	808375	se_ill_se_contig42	contig_37	99.96		True
translocation
1	660	808390	809049	se_ill_se_contig60	contig_37	100.0		True
translocation
3345	5023	809233	810911	se_ill_se_contig42	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	810912	860048	se_ill_se_contig7	contig_37	99.98		True
inversion
49137	50103	861013	860049	se_ill_se_contig7	contig_37	99.79		True
inversion
50104	198853	861014	1009743	se_ill_se_contig7	contig_37	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1010883	1009744	se_ill_se_contig56	contig_37	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1038561	1010884	se_ill_se_contig35	contig_37	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1038562	1039701	se_ill_se_contig56	contig_37	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1039702	1091419	se_ill_se_contig26	contig_37	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	177680	1269260	1091599	se_ill_se_contig10	contig_37	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1269261	1270400	se_ill_se_contig56	contig_37	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	94784	1365169	1270401	se_ill_se_contig20	contig_37	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	58960	1424115	1365170	se_ill_se_contig24	contig_37	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1427236	1424116	se_ill_se_contig48	contig_37	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44860	1472088	1427237	se_ill_se_contig30	contig_37	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	2387	1472165	1474551	se_ill_se_contig42	contig_37	99.96		True
translocation
1	660	1474566	1475225	se_ill_se_contig60	contig_37	100.0		True
translocation
3345	5078	1475409	1477142	se_ill_se_contig42	contig_37	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	26107	1503348	1477246	se_ill_se_contig36	contig_37	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	1504257	1503349	se_ill_se_contig57	contig_37	99.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	242448	1746631	1504258	se_ill_se_contig5	contig_37	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1746632	1747772	se_ill_se_contig56	contig_37	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	158034	1747773	1905788	se_ill_se_contig12	contig_37	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1906928	1905789	se_ill_se_contig56	contig_37	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3049	1906929	1909977	se_ill_se_contig49	contig_37	99.94		True
