S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_101	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_101	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2997	2514	sa_ill_sa_contig65	contig_101	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226418	2998	sa_ill_sa_contig1	contig_101	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226419	227747	sa_ill_sa_contig48	contig_101	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326389	227748	sa_ill_sa_contig11	contig_101	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326390	333472	sa_ill_sa_contig36	contig_101	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355264	333473	sa_ill_sa_contig30	contig_101	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355265	355976	sa_ill_sa_contig55	contig_101	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370188	355977	sa_ill_sa_contig34	contig_101	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370342	403330	sa_ill_sa_contig26	contig_101	99.87		True
local misassembly [fragmentation of reference genome]
2	925	403535	404453	sa_ill_sa_contig51	contig_101	98.06		True
translocation
198	3323	405007	408132	sa_ill_sa_contig41	contig_101	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408555	410159	sa_ill_sa_contig8	contig_101	99.71		True
translocation
1	28120	410160	438284	sa_ill_sa_contig28	contig_101	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438289	478030	sa_ill_sa_contig21	contig_101	99.94		True
local misassembly [fragmentation of reference genome]
98092	98471	478409	478031	sa_ill_sa_contig11	contig_101	97.97		True
translocation
1	62604	478410	540875	sa_ill_sa_contig14	contig_101	99.67		True
local misassembly
62396	62502	540925	541031	sa_ill_sa_contig14	contig_101	98.6		True
translocation
203	3323	541032	544152	sa_ill_sa_contig41	contig_101	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544570	546171	sa_ill_sa_contig8	contig_101	99.59		True
translocation
19	34443	580603	546172	sa_ill_sa_contig24	contig_101	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619396	580604	sa_ill_sa_contig22	contig_101	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619397	619929	sa_ill_sa_contig63	contig_101	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654310	619930	sa_ill_sa_contig25	contig_101	99.88		True
translocation
203	3323	654475	657597	sa_ill_sa_contig41	contig_101	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657969	789985	sa_ill_sa_contig8	contig_101	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790327	939814	sa_ill_sa_contig5	contig_101	99.59		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939860	970761	sa_ill_sa_contig27	contig_101	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970762	971568	sa_ill_sa_contig53	contig_101	99.88		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974609	971687	sa_ill_sa_contig43	contig_101	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988306	974610	sa_ill_sa_contig35	contig_101	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989038	1114768	sa_ill_sa_contig10	contig_101	99.73		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114769	1115433	sa_ill_sa_contig60	contig_101	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1117034	1116551	sa_ill_sa_contig65	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137866	1117035	sa_ill_sa_contig32	contig_101	99.91		True
translocation
1	130429	1268233	1137867	sa_ill_sa_contig9	contig_101	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268234	1272815	sa_ill_sa_contig40	contig_101	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1272816	1278138	sa_ill_sa_contig38	contig_101	99.85		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1282719	1278139	sa_ill_sa_contig40	contig_101	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1308903	1282720	sa_ill_sa_contig29	contig_101	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1309269	1310125	sa_ill_sa_contig54	contig_101	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1312328	1310655	sa_ill_sa_contig46	contig_101	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1312329	1355852	sa_ill_sa_contig18	contig_101	99.41		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1356385	1355853	sa_ill_sa_contig63	contig_101	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	1356386	1499310	sa_ill_sa_contig6	contig_101	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	1499464	1520510	sa_ill_sa_contig31	contig_101	99.92		True
translocation
98057	98213	1520511	1520667	sa_ill_sa_contig11	contig_101	98.58		True
local misassembly
98340	98561	1520668	1520889	sa_ill_sa_contig11	contig_101	98.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1547495	1520890	sa_ill_sa_contig12	contig_101	99.34		True
local misassembly
46	44268	1591728	1547496	sa_ill_sa_contig12	contig_101	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1591729	1642456	sa_ill_sa_contig17	contig_101	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1642457	1647451	sa_ill_sa_contig39	contig_101	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1647452	1661823	sa_ill_sa_contig33	contig_101	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1662535	1661824	sa_ill_sa_contig55	contig_101	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6686	1669224	1662536	sa_ill_sa_contig37	contig_101	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1669250	1672089	sa_ill_sa_contig44	contig_101	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1576	1673665	1672090	sa_ill_sa_contig47	contig_101	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	41074	1714775	1673691	sa_ill_sa_contig20	contig_101	99.88		True
translocation
1	1649	1716423	1714776	sa_ill_sa_contig8	contig_101	99.59		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1719933	1716811	sa_ill_sa_contig41	contig_101	99.65		True
translocation
38161	38352	1720216	1720026	sa_ill_sa_contig23	contig_101	95.31		True
local misassembly
38187	38352	1720469	1720304	sa_ill_sa_contig23	contig_101	98.8		True
local misassembly
1	38352	1758930	1720562	sa_ill_sa_contig23	contig_101	99.9		True
fake: not a misassembly [fragmentation of reference genome]
688	925	1759325	1759073	sa_ill_sa_contig51	contig_101	94.07		True
translocation
1	1703	1761040	1759339	sa_ill_sa_contig8	contig_101	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	3323	1764692	1761370	sa_ill_sa_contig41	contig_101	99.79		True
translocation
1	1604	1766296	1764693	sa_ill_sa_contig8	contig_101	99.82		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1769710	1766593	sa_ill_sa_contig41	contig_101	99.78		True
translocation
55995	56123	1770014	1769887	sa_ill_sa_contig15	contig_101	98.45		True
local misassembly
1	56123	1826200	1770162	sa_ill_sa_contig15	contig_101	99.67		True
indel: indel (<= 5bp) [fragmentation of reference genome]
4	718	1826201	1826915	sa_ill_sa_contig58	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3261	1830177	1826916	sa_ill_sa_contig42	contig_101	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	211909	1830377	2042345	sa_ill_sa_contig2	contig_101	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
55	207093	2042346	2249318	sa_ill_sa_contig3	contig_101	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	78138	2249331	2327368	sa_ill_sa_contig7	contig_101	99.73		True
local misassembly
78271	134302	2327369	2383421	sa_ill_sa_contig7	contig_101	99.87		True
fake: not a misassembly [fragmentation of reference genome]
21	50729	2434218	2383484	sa_ill_sa_contig16	contig_101	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	177172	2611469	2434219	sa_ill_sa_contig4	contig_101	99.88		True
fake: not a misassembly [fragmentation of reference genome]
