S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	188	188	1	sa_ill_sa_contig13	contig_100	100.0		False
305	382	370230	370307	sa_ill_sa_contig51	contig_100	100.0		False
10469	10543	370235	370309	sa_ill_sa_contig9	contig_100	100.0		False
1	161	370230	370402	sa_ill_sa_contig51	contig_100	93.06		False
105	186	403356	403275	sa_ill_sa_contig25	contig_100	100.0		False
164	242	403360	403438	sa_ill_sa_contig23	contig_100	100.0		False
306	382	403534	403611	sa_ill_sa_contig51	contig_100	98.72		False
9108	9197	403926	404014	sa_ill_sa_contig20	contig_100	97.78		False
890	964	404097	404023	ef_ill_ef_contig21	contig_100	93.33		False
691	773	404305	404223	ef_ill_ef_contig21	contig_100	95.18		False
1	75	404386	404312	ef_ill_ef_contig16	contig_100	100.0		False
502	577	404387	404312	lf_ill_lf_contig69	contig_100	94.74		False
610	689	404390	404311	ef_ill_ef_contig21	contig_100	100.0		False
439	523	404396	404312	lm_ill_lm_contig37	contig_100	96.47		False
429	521	404577	404485	ef_ill_ef_contig21	contig_100	95.7		False
269	356	404578	404491	lm_ill_lm_contig37	contig_100	95.45		False
324	418	404585	404491	lf_ill_lf_contig69	contig_100	93.68		False
98793	98873	404666	404746	bs_ill_bs_contig3	contig_100	93.83		False
276	350	404827	404753	sa_ill_sa_contig25	contig_100	100.0		False
98882	98963	404747	404828	bs_ill_bs_contig3	contig_100	93.9		False
92	173	404829	404748	bs_ill_bs_contig1326	contig_100	93.9		False
1	79	404999	404921	sa_ill_sa_contig25	contig_100	100.0		False
87	460	404754	405127	sa_ill_sa_contig23	contig_100	99.2		False
304	384	405305	405385	lm_ill_lm_contig12	contig_100	92.59		False
8	169	405466	405305	bs_ill_bs_contig13	contig_100	95.06		False
4282	4511	405708	405479	ec_ill_ec_contig65	contig_100	90.87		False
322	551	405479	405708	se_ill_se_contig42	contig_100	90.87		False
4903	5134	405710	405479	pa_ill_pa_contig44	contig_100	90.95		False
396	885	405397	405886	lm_ill_lm_contig12	contig_100	95.1		False
223	726	405397	405900	lf_ill_lf_contig82	contig_100	95.83		False
325	923	405305	405903	ef_ill_ef_contig17	contig_100	94.49		False
3780	3873	406210	406117	ec_ill_ec_contig65	contig_100	96.81		False
960	1053	406117	406210	se_ill_se_contig42	contig_100	96.81		False
4403	4500	406210	406113	pa_ill_pa_contig44	contig_100	96.94		False
1019	1366	405999	406346	ef_ill_ef_contig17	contig_100	95.11		False
965	1346	405966	406347	lm_ill_lm_contig12	contig_100	94.76		False
3436	3788	406353	406001	lf_ill_lf_contig57	contig_100	92.07		False
1367	1447	406367	406447	lm_ill_lm_contig12	contig_100	97.53		False
1	1068	405419	406485	bs_ill_bs_contig839	contig_100	93.83		False
1677	1863	406679	406865	lm_ill_lm_contig12	contig_100	90.37		False
2688	2883	407108	406913	lf_ill_lf_contig57	contig_100	93.37		False
1921	2135	406910	407124	ef_ill_ef_contig17	contig_100	95.35		False
1910	2127	406907	407124	lm_ill_lm_contig12	contig_100	91.74		False
105	553	406676	407124	bs_ill_bs_contig991	contig_100	91.09		False
2165	2233	407154	407222	ef_ill_ef_contig17	contig_100	95.65		False
2567	2643	407229	407153	lf_ill_lf_contig57	contig_100	90.91		False
2249	2365	407237	407353	ef_ill_ef_contig17	contig_100	92.31		False
2427	2716	407422	407711	lm_ill_lm_contig12	contig_100	93.79		False
493	720	407712	407485	bs_ill_bs_contig1146	contig_100	96.05		False
4	290	407426	407712	ef_ill_ef_contig25	contig_100	90.24		False
1863	1977	407929	407815	lf_ill_lf_contig57	contig_100	91.3		False
386	514	407813	407941	ef_ill_ef_contig25	contig_100	93.8		False
2799	2950	407792	407943	lm_ill_lm_contig12	contig_100	92.11		False
563	681	407991	408109	ef_ill_ef_contig25	contig_100	94.12		False
688	765	408333	408410	sa_ill_sa_contig51	contig_100	100.0		False
1243	1307	408500	408436	lf_ill_lf_contig69	contig_100	100.0		False
3804	3891	409007	409094	se_ill_se_contig42	contig_100	90.91		False
950	1024	409096	409022	ec_ill_ec_contig65	contig_100	94.67		False
779	853	409097	409023	lf_ill_lf_contig57	contig_100	98.67		False
1289	1407	409107	408989	ef_ill_ef_contig19	contig_100	96.64		False
1397	1503	409262	409156	pa_ill_pa_contig44	contig_100	96.26		False
786	906	409262	409142	ec_ill_ec_contig65	contig_100	93.39		False
3937	4076	409142	409281	se_ill_se_contig42	contig_100	91.43		False
513	759	409365	409119	lf_ill_lf_contig57	contig_100	91.9		False
1030	1282	409368	409116	ef_ill_ef_contig19	contig_100	96.05		False
734	1028	409663	409369	ef_ill_ef_contig19	contig_100	93.22		False
1	982	409863	408881	bs_ill_bs_contig933	contig_100	92.73		False
2	120	409810	409928	bs_ill_bs_contig3	contig_100	90.76		False
470	684	409928	409714	ef_ill_ef_contig19	contig_100	91.63		False
174	1724	410142	408589	lm_ill_lm_contig16	contig_100	90.57		False
261	334	410070	410143	bs_ill_bs_contig3	contig_100	93.24		False
142	348	438224	438430	sa_ill_sa_contig31	contig_100	97.58		False
1	133	478363	478231	sa_ill_sa_contig31	contig_100	98.5		False
134184	134302	478285	478403	sa_ill_sa_contig7	contig_100	97.48		False
131884	131983	478494	478395	sa_ill_sa_contig8	contig_100	98.0		False
45829	46373	478511	477968	sa_ill_sa_contig14	contig_100	98.17		False
106923	107136	478512	478299	sa_ill_sa_contig3	contig_100	99.53		False
38188	38352	540760	540924	sa_ill_sa_contig23	contig_100	95.76		False
343	460	541019	541136	sa_ill_sa_contig23	contig_100	100.0		False
304	384	541313	541393	lm_ill_lm_contig12	contig_100	92.59		False
8	169	541474	541313	bs_ill_bs_contig13	contig_100	95.06		False
4282	4511	541716	541487	ec_ill_ec_contig65	contig_100	90.87		False
322	551	541487	541716	se_ill_se_contig42	contig_100	90.87		False
4903	5134	541718	541487	pa_ill_pa_contig44	contig_100	90.95		False
396	885	541405	541894	lm_ill_lm_contig12	contig_100	95.1		False
223	726	541405	541908	lf_ill_lf_contig82	contig_100	95.83		False
325	923	541313	541911	ef_ill_ef_contig17	contig_100	94.49		False
3780	3873	542218	542125	ec_ill_ec_contig65	contig_100	96.81		False
960	1053	542125	542218	se_ill_se_contig42	contig_100	96.81		False
4403	4500	542218	542121	pa_ill_pa_contig44	contig_100	96.94		False
1019	1366	542007	542354	ef_ill_ef_contig17	contig_100	95.11		False
965	1346	541974	542355	lm_ill_lm_contig12	contig_100	94.76		False
3436	3788	542361	542009	lf_ill_lf_contig57	contig_100	92.07		False
1367	1447	542375	542455	lm_ill_lm_contig12	contig_100	97.53		False
1	1068	541427	542493	bs_ill_bs_contig839	contig_100	93.83		False
1677	1863	542687	542873	lm_ill_lm_contig12	contig_100	90.37		False
2688	2883	543116	542921	lf_ill_lf_contig57	contig_100	93.37		False
1921	2135	542918	543132	ef_ill_ef_contig17	contig_100	95.35		False
1910	2127	542915	543132	lm_ill_lm_contig12	contig_100	91.74		False
105	553	542684	543132	bs_ill_bs_contig991	contig_100	91.09		False
2165	2233	543162	543230	ef_ill_ef_contig17	contig_100	95.65		False
2567	2643	543237	543161	lf_ill_lf_contig57	contig_100	90.91		False
2249	2365	543245	543361	ef_ill_ef_contig17	contig_100	92.31		False
4	288	543434	543718	ef_ill_ef_contig25	contig_100	90.18		False
480	720	543733	543493	bs_ill_bs_contig1146	contig_100	95.44		False
2427	2730	543430	543733	lm_ill_lm_contig12	contig_100	92.76		False
1863	1977	543938	543824	lf_ill_lf_contig57	contig_100	91.3		False
386	514	543822	543950	ef_ill_ef_contig25	contig_100	93.8		False
2799	2950	543801	543952	lm_ill_lm_contig12	contig_100	92.11		False
563	681	544000	544118	ef_ill_ef_contig25	contig_100	94.12		False
1412	1806	544988	544594	ef_ill_ef_contig19	contig_100	90.63		False
3804	3891	545011	545098	se_ill_se_contig42	contig_100	90.91		False
950	1024	545100	545026	ec_ill_ec_contig65	contig_100	94.67		False
779	853	545101	545027	lf_ill_lf_contig57	contig_100	98.67		False
1289	1407	545111	544993	ef_ill_ef_contig19	contig_100	96.64		False
1397	1503	545266	545160	pa_ill_pa_contig44	contig_100	96.26		False
786	906	545266	545146	ec_ill_ec_contig65	contig_100	93.39		False
3937	4076	545146	545285	se_ill_se_contig42	contig_100	91.43		False
500	762	545382	545120	lf_ill_lf_contig57	contig_100	91.25		False
4115	4186	545325	545396	se_ill_se_contig42	contig_100	94.44		False
656	727	545397	545326	ec_ill_ec_contig65	contig_100	94.44		False
734	1278	545668	545124	ef_ill_ef_contig19	contig_100	94.31		False
1	982	545867	544885	bs_ill_bs_contig933	contig_100	92.93		False
2	98	545814	545910	bs_ill_bs_contig3	contig_100	91.75		False
490	710	545912	545692	ef_ill_ef_contig19	contig_100	92.76		False
174	1724	546144	544594	lm_ill_lm_contig16	contig_100	90.37		False
18228	18355	654366	654241	bs_ill_bs_contig20	contig_100	94.53		False
10552	10623	654301	654372	sa_ill_sa_contig9	contig_100	100.0		False
249	397	654448	654300	sa_ill_sa_contig34	contig_100	98.66		False
169546	169626	654373	654453	sa_ill_sa_contig3	contig_100	97.53		False
343	460	654458	654575	sa_ill_sa_contig23	contig_100	100.0		False
304	384	654752	654832	lm_ill_lm_contig12	contig_100	92.59		False
8	169	654913	654752	bs_ill_bs_contig13	contig_100	95.06		False
4282	4511	655155	654926	ec_ill_ec_contig65	contig_100	90.87		False
322	551	654926	655155	se_ill_se_contig42	contig_100	90.87		False
4903	5134	655157	654926	pa_ill_pa_contig44	contig_100	90.95		False
223	726	654844	655347	lf_ill_lf_contig82	contig_100	96.03		False
325	923	654752	655350	ef_ill_ef_contig17	contig_100	94.66		False
396	958	654844	655406	lm_ill_lm_contig12	contig_100	93.25		False
3780	3873	655657	655564	ec_ill_ec_contig65	contig_100	96.81		False
960	1053	655564	655657	se_ill_se_contig42	contig_100	96.81		False
4403	4500	655657	655560	pa_ill_pa_contig44	contig_100	96.94		False
1019	1366	655446	655793	ef_ill_ef_contig17	contig_100	95.11		False
965	1346	655413	655794	lm_ill_lm_contig12	contig_100	94.76		False
3436	3788	655800	655448	lf_ill_lf_contig57	contig_100	92.07		False
1367	1447	655814	655894	lm_ill_lm_contig12	contig_100	97.53		False
1	1068	654866	655932	bs_ill_bs_contig839	contig_100	93.92		False
2688	2883	656555	656360	lf_ill_lf_contig57	contig_100	93.37		False
1921	2135	656357	656571	ef_ill_ef_contig17	contig_100	95.35		False
1910	2127	656354	656571	lm_ill_lm_contig12	contig_100	91.74		False
105	553	656123	656571	bs_ill_bs_contig991	contig_100	90.87		False
2165	2233	656601	656669	ef_ill_ef_contig17	contig_100	95.65		False
2567	2643	656676	656600	lf_ill_lf_contig57	contig_100	90.91		False
2249	2365	656684	656800	ef_ill_ef_contig17	contig_100	92.31		False
2427	2716	656868	657157	lm_ill_lm_contig12	contig_100	93.79		False
493	720	657158	656931	bs_ill_bs_contig1146	contig_100	96.05		False
4	290	656872	657158	ef_ill_ef_contig25	contig_100	90.24		False
1863	1977	657375	657261	lf_ill_lf_contig57	contig_100	91.3		False
386	514	657259	657387	ef_ill_ef_contig25	contig_100	93.8		False
2799	2950	657238	657389	lm_ill_lm_contig12	contig_100	92.11		False
563	681	657437	657555	ef_ill_ef_contig25	contig_100	94.12		False
98002	98191	789863	790052	sa_ill_sa_contig11	contig_100	97.89		False
45846	46038	789860	790052	sa_ill_sa_contig14	contig_100	98.45		False
106941	107135	789860	790054	sa_ill_sa_contig3	contig_100	98.46		False
46187	46438	790074	790325	sa_ill_sa_contig14	contig_100	94.44		False
98340	98600	790074	790335	sa_ill_sa_contig11	contig_100	94.66		False
46187	46447	790074	790335	sa_ill_sa_contig14	contig_100	94.27		False
78636	78790	939793	939639	sa_ill_sa_contig8	contig_100	98.71		False
46303	46464	939793	939632	sa_ill_sa_contig4	contig_100	98.15		False
206209	206371	939793	939631	sa_ill_sa_contig2	contig_100	98.77		False
34638	34810	939633	939805	sa_ill_sa_contig6	contig_100	99.42		False
207021	207093	939809	939737	sa_ill_sa_contig3	contig_100	95.89		False
126	348	939867	939646	sa_ill_sa_contig31	contig_100	91.67		False
41686	41771	939880	939795	sa_ill_sa_contig19	contig_100	94.19		False
31524	31858	940131	939795	sa_ill_sa_contig10	contig_100	92.51		False
29935	30062	970689	970816	sa_ill_sa_contig27	contig_100	94.53		False
13419	13639	971606	971386	sa_ill_sa_contig35	contig_100	91.44		False
30669	30897	971386	971614	sa_ill_sa_contig27	contig_100	91.7		False
29935	30062	971560	971689	sa_ill_sa_contig27	contig_100	93.85		False
1	162	971560	971723	sa_ill_sa_contig53	contig_100	93.29		False
13097	13239	971792	971650	sa_ill_sa_contig35	contig_100	97.9		False
3584	3906	988298	987976	sa_ill_sa_contig35	contig_100	95.05		False
3411	3583	988555	988383	sa_ill_sa_contig35	contig_100	95.38		False
3124	3352	988788	988560	sa_ill_sa_contig35	contig_100	93.01		False
2568	3906	989344	987976	sa_ill_sa_contig35	contig_100	91.24		False
334	638	1308776	1309080	sa_ill_sa_contig54	contig_100	90.16		False
230	451	1309492	1309271	sa_ill_sa_contig29	contig_100	90.99		False
1173	1420	1309548	1309301	sa_ill_sa_contig46	contig_100	90.32		False
1	120	1309721	1309602	sa_ill_sa_contig29	contig_100	92.5		False
1	280	1309885	1309606	sa_ill_sa_contig46	contig_100	91.07		False
1654	1727	1309902	1309829	sa_ill_sa_contig46	contig_100	93.24		False
410	549	1310298	1310159	sa_ill_sa_contig46	contig_100	92.86		False
1230	1434	1310313	1310109	sa_ill_sa_contig46	contig_100	90.24		False
1	103	1310543	1310441	sa_ill_sa_contig29	contig_100	99.03		False
1	370	1310707	1310338	sa_ill_sa_contig46	contig_100	91.35		False
337	638	1310423	1310724	sa_ill_sa_contig54	contig_100	90.73		False
3430	3620	1499186	1499375	sa_ill_sa_contig19	contig_100	97.41		False
107051	107136	1499429	1499514	sa_ill_sa_contig3	contig_100	96.51		False
134184	134277	1499528	1499435	sa_ill_sa_contig7	contig_100	98.94		False
98115	98262	1499435	1499582	sa_ill_sa_contig11	contig_100	100.0		False
45956	46109	1499429	1499582	sa_ill_sa_contig14	contig_100	97.4		False
3430	3541	1520422	1520532	sa_ill_sa_contig19	contig_100	98.21		False
1	112	1520532	1520421	sa_ill_sa_contig14	contig_100	99.11		False
142695	142808	1520419	1520532	sa_ill_sa_contig6	contig_100	95.69		False
131884	131983	1520440	1520539	sa_ill_sa_contig8	contig_100	97.0		False
106923	107138	1520422	1520637	sa_ill_sa_contig3	contig_100	99.54		False
98002	98213	1520443	1520654	sa_ill_sa_contig11	contig_100	98.58		False
45829	46060	1520423	1520654	sa_ill_sa_contig14	contig_100	99.57		False
1	92	1520571	1520662	sa_ill_sa_contig31	contig_100	97.83		False
97985	98221	1520427	1520662	sa_ill_sa_contig11	contig_100	98.31		False
45829	46068	1520423	1520662	sa_ill_sa_contig14	contig_100	99.58		False
46187	46438	1520655	1520906	sa_ill_sa_contig14	contig_100	97.62		False
3	198	1671888	1672083	sa_ill_sa_contig44	contig_100	90.31		False
40727	41072	1672233	1671888	sa_ill_sa_contig20	contig_100	92.49		False
199	326	1672467	1672340	sa_ill_sa_contig37	contig_100	90.62		False
1615	1982	1672648	1673015	sa_ill_sa_contig44	contig_100	99.18		False
2162	2840	1673198	1673876	sa_ill_sa_contig44	contig_100	90.72		False
1	96	1714809	1714713	sa_ill_sa_contig28	contig_100	97.94		False
34345	34443	1714710	1714809	sa_ill_sa_contig24	contig_100	98.0		False
1	157	1714809	1714652	sa_ill_sa_contig41	contig_100	98.1		False
261	334	1714896	1714823	bs_ill_bs_contig3	contig_100	93.24		False
470	710	1715038	1715278	ef_ill_ef_contig19	contig_100	91.7		False
656	727	1715573	1715644	ec_ill_ec_contig65	contig_100	93.06		False
4115	4186	1715645	1715574	se_ill_se_contig42	contig_100	93.06		False
1397	1503	1715704	1715810	pa_ill_pa_contig44	contig_100	96.26		False
786	906	1715704	1715824	ec_ill_ec_contig65	contig_100	93.39		False
3937	4076	1715824	1715685	se_ill_se_contig42	contig_100	91.43		False
500	759	1715588	1715847	lf_ill_lf_contig57	contig_100	91.15		False
734	1282	1715302	1715850	ef_ill_ef_contig19	contig_100	94.17		False
779	853	1715869	1715943	lf_ill_lf_contig57	contig_100	98.67		False
950	1024	1715870	1715944	ec_ill_ec_contig65	contig_100	94.67		False
3804	3891	1715959	1715872	se_ill_se_contig42	contig_100	90.91		False
1289	1407	1715859	1715977	ef_ill_ef_contig19	contig_100	96.64		False
1	982	1715103	1716085	bs_ill_bs_contig933	contig_100	92.73		False
1412	1806	1715982	1716376	ef_ill_ef_contig19	contig_100	90.38		False
174	1724	1714824	1716376	lm_ill_lm_contig16	contig_100	90.56		False
95	184	1716823	1716912	bs_ill_bs_contig1146	contig_100	91.11		False
1863	1977	1717003	1717117	lf_ill_lf_contig57	contig_100	91.3		False
386	504	1717119	1717001	ef_ill_ef_contig25	contig_100	96.64		False
2799	2936	1717140	1717003	lm_ill_lm_contig12	contig_100	93.48		False
493	720	1717220	1717447	bs_ill_bs_contig1146	contig_100	96.05		False
4	290	1717506	1717220	ef_ill_ef_contig25	contig_100	90.24		False
2427	2716	1717510	1717221	lm_ill_lm_contig12	contig_100	93.79		False
2249	2365	1717695	1717579	ef_ill_ef_contig17	contig_100	92.31		False
2165	2233	1717778	1717710	ef_ill_ef_contig17	contig_100	95.65		False
2567	2643	1717703	1717779	lf_ill_lf_contig57	contig_100	90.91		False
2688	2883	1717824	1718019	lf_ill_lf_contig57	contig_100	93.37		False
1921	2135	1718022	1717808	ef_ill_ef_contig17	contig_100	95.35		False
1910	2127	1718025	1717808	lm_ill_lm_contig12	contig_100	91.74		False
297	553	1718064	1717808	bs_ill_bs_contig991	contig_100	91.05		False
1677	1857	1718253	1718073	lm_ill_lm_contig12	contig_100	91.16		False
105	288	1718256	1718073	bs_ill_bs_contig991	contig_100	92.93		False
1367	1447	1718566	1718486	lm_ill_lm_contig12	contig_100	97.53		False
960	1053	1718816	1718723	se_ill_se_contig42	contig_100	96.81		False
3780	3873	1718723	1718816	ec_ill_ec_contig65	contig_100	96.81		False
4403	4500	1718723	1718820	pa_ill_pa_contig44	contig_100	96.94		False
3436	3788	1718580	1718932	lf_ill_lf_contig57	contig_100	92.07		False
1019	1366	1718934	1718587	ef_ill_ef_contig17	contig_100	95.11		False
965	1346	1718967	1718586	lm_ill_lm_contig12	contig_100	94.76		False
722	923	1719231	1719030	ef_ill_ef_contig17	contig_100	94.06		False
322	545	1719455	1719232	se_ill_se_contig42	contig_100	90.62		False
4288	4511	1719232	1719455	ec_ill_ec_contig65	contig_100	90.62		False
4903	5134	1719223	1719455	pa_ill_pa_contig44	contig_100	90.56		False
1	1068	1719515	1718448	bs_ill_bs_contig839	contig_100	93.83		False
396	700	1719537	1719233	lm_ill_lm_contig12	contig_100	97.7		False
223	726	1719537	1719033	lf_ill_lf_contig82	contig_100	95.84		False
304	384	1719629	1719549	lm_ill_lm_contig12	contig_100	92.59		False
8	169	1719468	1719629	bs_ill_bs_contig13	contig_100	95.06		False
325	721	1719629	1719233	ef_ill_ef_contig17	contig_100	94.96		False
343	460	1719922	1719805	sa_ill_sa_contig23	contig_100	100.0		False
62390	62538	1720033	1719887	sa_ill_sa_contig14	contig_100	92.72		False
62501	62586	1720179	1720094	sa_ill_sa_contig14	contig_100	98.84		False
55995	56117	1720204	1720083	sa_ill_sa_contig15	contig_100	98.37		False
56021	56123	1720457	1720355	sa_ill_sa_contig15	contig_100	96.12		False
62390	62604	1720569	1720355	sa_ill_sa_contig14	contig_100	93.58		False
429	514	1758947	1759032	ef_ill_ef_contig21	contig_100	97.67		False
269	356	1758946	1759033	lm_ill_lm_contig37	contig_100	94.32		False
613	688	1759138	1759213	ef_ill_ef_contig21	contig_100	100.0		False
1	76	1759139	1759214	ef_ill_ef_contig16	contig_100	100.0		False
447	524	1759137	1759214	lm_ill_lm_contig37	contig_100	100.0		False
699	767	1759234	1759302	ef_ill_ef_contig21	contig_100	98.55		False
1	96	1759423	1759328	sa_ill_sa_contig28	contig_100	100.0		False
34346	34443	1759326	1759423	sa_ill_sa_contig24	contig_100	100.0		False
1	98	1759423	1759326	sa_ill_sa_contig41	contig_100	100.0		False
261	334	1759510	1759437	bs_ill_bs_contig3	contig_100	93.24		False
2	100	1759771	1759673	bs_ill_bs_contig3	contig_100	92.93		False
489	710	1759672	1759893	ef_ill_ef_contig19	contig_100	93.24		False
656	727	1760188	1760259	ec_ill_ec_contig65	contig_100	93.06		False
4115	4186	1760260	1760189	se_ill_se_contig42	contig_100	93.06		False
1397	1503	1760319	1760425	pa_ill_pa_contig44	contig_100	96.26		False
786	906	1760319	1760439	ec_ill_ec_contig65	contig_100	93.39		False
3937	4076	1760439	1760300	se_ill_se_contig42	contig_100	91.43		False
500	759	1760203	1760462	lf_ill_lf_contig57	contig_100	91.15		False
734	1282	1759917	1760465	ef_ill_ef_contig19	contig_100	94.17		False
