S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207316	310075	1	102741	ec_ill_ec_contig2	contig_54	99.96		True
local misassembly
310191	312944	102742	105494	ec_ill_ec_contig2	contig_54	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303834	105585	ec_ill_ec_contig4	contig_54	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306805	303835	ec_ill_ec_contig65	contig_54	99.9		True
local misassembly
1	1463	308665	307203	ec_ill_ec_contig65	contig_54	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309032	346325	ec_ill_ec_contig39	contig_54	99.97		True
local misassembly [fragmentation of reference genome]
22	350	346421	346749	ec_ill_ec_contig104	contig_54	91.19		True
indel: indel (> 5bp)
384	502	346750	346868	ec_ill_ec_contig104	contig_54	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346941	392241	ec_ill_ec_contig15	contig_54	99.92		True
local misassembly
45064	105217	392256	452401	ec_ill_ec_contig15	contig_54	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452402	453633	ec_ill_ec_contig79	contig_54	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453634	514042	ec_ill_ec_contig31	contig_54	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514230	857418	ec_ill_ec_contig1	contig_54	99.97		True
local misassembly
343563	393863	857419	907713	ec_ill_ec_contig1	contig_54	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980660	907714	ec_ill_ec_contig16	contig_54	99.98		True
local misassembly
1	31383	1012037	980661	ec_ill_ec_contig16	contig_54	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015065	1012039	ec_ill_ec_contig65	contig_54	99.93		True
local misassembly
1	1463	1016931	1015469	ec_ill_ec_contig65	contig_54	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058472	1017202	ec_ill_ec_contig37	contig_54	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059390	1058473	ec_ill_ec_contig83	contig_54	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059391	1206869	ec_ill_ec_contig7	contig_54	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206870	1208793	ec_ill_ec_contig73	contig_54	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209355	1208794	ec_ill_ec_contig91	contig_54	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209356	1209999	ec_ill_ec_contig94	contig_54	98.76		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210253	1211981	ec_ill_ec_contig75	contig_54	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212430	1212915	ec_ill_ec_contig104	contig_54	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220884	1212983	ec_ill_ec_contig60	contig_54	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222006	1220885	ec_ill_ec_contig80	contig_54	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1222007	1315392	ec_ill_ec_contig20	contig_54	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
