All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_2bins_v2_1_MP  r10_2bins_v2_1_MP_helen  r10_2bins_v2_1_r1_medaka  r10_2bins_v2_1_r2_medaka  r10_2bins_v2_1_racon_r1  r10_2bins_v2_1_racon_r2  r10_2bins_v2_1_raw  r10_2bins_v2_2_MP  r10_2bins_v2_2_MP_helen  r10_2bins_v2_2_r1_medaka  r10_2bins_v2_2_r2_medaka  r10_2bins_v2_2_racon_r1  r10_2bins_v2_2_racon_r2  r10_2bins_v2_2_raw  r10_2bins_v2_3_MP  r10_2bins_v2_3_MP_helen  r10_2bins_v2_3_r1_medaka  r10_2bins_v2_3_r2_medaka  r10_2bins_v2_3_racon_r1  r10_2bins_v2_3_racon_r2  r10_2bins_v2_3_raw
# misassemblies                                 1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
  # contig misassemblies                        1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
    # c. relocations                            0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # c. translocations                         1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
    # c. inversions                             0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
  # scaffold misassemblies                      0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. relocations                            0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. translocations                         0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
    # s. inversions                             0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# misassembled contigs                          1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                   1                  1                        1                         1                         1                        1                        1                 
Misassembled contigs length                     2845424            2845372                  2845429                   2845427                   2845272                  2845846                  2843858             2845424            2845368                  2845428                   2845430                   2845282                  2845321                  2843857             2845424            2845363                  2845431                   2845427                   2845312                  2845321                  2843845           
# possibly misassembled contigs                 0                  0                        0                         0                         0                        0                        1                   0                  0                        0                         0                         0                        0                        1                   0                  0                        0                         0                         0                        0                        1                 
    # possible misassemblies                    0                  0                        0                         0                         0                        0                        6                   0                  0                        0                         0                         0                        0                        6                   0                  0                        0                         0                         0                        0                        6                 
# local misassemblies                           16                 16                       16                        16                        16                       17                       19                  16                 16                       16                        16                        16                       16                       20                  16                 16                       16                        16                        16                       16                       20                
# scaffold gap ext. mis.                        0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# scaffold gap loc. mis.                        0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                   0                  0                        0                         0                         0                        0                        0                 
# misassemblies caused by fragmented reference  19                 19                       19                        19                        19                       19                       9                   19                 19                       19                        19                        19                       19                       11                  19                 19                       19                        19                        19                       19                       11                
# unaligned mis. contigs                        6                  6                        6                         6                         6                        6                        6                   6                  6                        6                         6                         6                        6                        6                   6                  6                        6                         6                         6                        6                        6                 
# mismatches                                    7001               7085                     6992                      7097                      6734                     6751                     4429                7024               7125                     7130                      7036                      6491                     6762                     4195                6897               7122                     7010                      7066                      6624                     6655                     4306              
# indels                                        439                445                      400                       393                       655                      578                      3692                448                444                      403                       392                       597                      583                      3566                441                440                      402                       402                       611                      560                      3534              
    # indels (<= 5 bp)                          398                403                      361                       352                       615                      539                      3650                407                402                      364                       351                       560                      541                      3530                400                397                      361                       361                       570                      525                      3499              
    # indels (> 5 bp)                           41                 42                       39                        41                        40                       39                       42                  41                 42                       39                        41                        37                       42                       36                  41                 43                       41                        41                        41                       35                       35                
Indels length                                   2457               2476                     2354                      2359                      2666                     2568                     6500                2472               2474                     2362                      2357                      2540                     2590                     6163                2459               2469                     2372                      2387                      2639                     2536                     6111              
