Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_1bin_v2_1_MP	21	21	1	20	0	0	0	0	0	1	4765873	1	12	37	0	0	42	6	20658	946	848	98	6195
r10_1bin_v2_1_MP_helen	21	21	1	20	0	0	0	0	0	1	4765292	1	12	37	0	0	42	6	20384	844	745	99	6055
r10_1bin_v2_1_r1_medaka	21	21	1	20	0	0	0	0	0	1	4765363	1	12	37	0	0	42	6	20771	697	601	96	5824
r10_1bin_v2_1_r2_medaka	21	21	1	20	0	0	0	0	0	1	4765370	1	12	37	0	0	42	6	20621	696	600	96	5825
r10_1bin_v2_1_racon_r1	21	21	1	20	0	0	0	0	0	1	4764541	1	12	36	0	0	42	6	21092	1876	1778	98	7256
r10_1bin_v2_1_racon_r2	21	21	1	20	0	0	0	0	0	1	4764622	1	12	37	0	0	42	6	21413	1711	1615	96	6963
r10_1bin_v2_1_raw	19	19	1	18	0	0	0	0	0	1	4763407	1	32	57	0	0	36	6	23550	11136	10936	200	20315
r10_1bin_v2_2_MP	21	21	1	20	0	0	0	0	0	1	4765365	1	12	36	0	0	42	6	20687	949	850	99	6216
r10_1bin_v2_2_MP_helen	21	21	1	20	0	0	0	0	0	1	4765330	1	12	36	0	0	42	6	20561	848	749	99	6145
r10_1bin_v2_2_r1_medaka	21	21	1	20	0	0	0	0	0	1	4765353	1	12	36	0	0	42	6	20686	718	621	97	5946
r10_1bin_v2_2_r2_medaka	21	21	1	20	0	0	0	0	0	1	4765356	1	12	36	0	0	42	6	20645	697	600	97	5919
r10_1bin_v2_2_racon_r1	21	21	1	20	0	0	0	0	0	1	4764481	1	12	36	0	0	42	6	20718	1906	1809	97	7291
r10_1bin_v2_2_racon_r2	21	21	1	20	0	0	0	0	0	1	4764622	1	12	36	0	0	42	6	20988	1727	1629	98	7095
r10_1bin_v2_2_raw	19	19	1	18	0	0	0	0	0	1	4763482	1	34	60	0	0	35	6	22637	11064	10863	201	20371
r10_1bin_v2_3_MP	21	21	1	20	0	0	0	0	0	1	4765372	1	12	36	0	0	42	6	20673	953	852	101	6221
r10_1bin_v2_3_MP_helen	21	21	1	20	0	0	0	0	0	1	4765362	1	12	36	0	0	42	6	20543	773	672	101	6044
r10_1bin_v2_3_r1_medaka	21	21	1	20	0	0	0	0	0	1	4765559	1	12	37	0	0	42	6	20496	722	624	98	5943
r10_1bin_v2_3_r2_medaka	21	21	1	20	0	0	0	0	0	1	4765361	1	12	36	0	0	42	6	20624	709	611	98	5939
r10_1bin_v2_3_racon_r1	21	21	1	20	0	0	0	0	0	1	4764967	1	12	37	0	0	42	6	20602	1916	1818	98	7314
r10_1bin_v2_3_racon_r2	21	21	1	20	0	0	0	0	0	1	4764598	1	12	36	0	0	42	6	21208	1758	1659	99	7127
r10_1bin_v2_3_raw	19	19	1	18	0	0	0	0	0	1	4763422	1	32	57	0	0	36	6	23553	11136	10937	199	20306
