S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1196	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1197	52855	se_ill_se_contig27	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350706	52856	se_ill_se_contig2	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350707	351099	se_ill_se_contig69	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355166	351100	se_ill_se_contig46	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355167	358838	se_ill_se_contig47	contig_32	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358839	360616	se_ill_se_contig53	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361103	360617	se_ill_se_contig63	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85533	162102	437674	361104	se_ill_se_contig11	contig_32	99.99		True
local misassembly
1	86127	523801	437675	se_ill_se_contig11	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524942	523802	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524943	538667	se_ill_se_contig4	contig_32	100.0		True
local misassembly
13844	16547	538668	541371	se_ill_se_contig4	contig_32	98.98		True
local misassembly
16782	245298	541372	769892	se_ill_se_contig4	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769893	771625	se_ill_se_contig54	contig_32	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771626	772471	se_ill_se_contig58	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772472	773985	se_ill_se_contig55	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773986	774417	se_ill_se_contig65	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774908	774418	se_ill_se_contig64	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774909	779629	se_ill_se_contig43	contig_32	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5265	784839	779630	se_ill_se_contig41	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21152	805991	784840	se_ill_se_contig37	contig_32	100.0		True
translocation
103637	104041	805992	806396	se_ill_se_contig19	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	806397	808783	se_ill_se_contig42	contig_32	99.96		True
translocation
1	660	808798	809457	se_ill_se_contig60	contig_32	100.0		True
translocation
3345	5023	809641	811319	se_ill_se_contig42	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	811320	860455	se_ill_se_contig7	contig_32	100.0		True
inversion
49137	50103	861422	860456	se_ill_se_contig7	contig_32	100.0		True
inversion
50104	198853	861423	1010172	se_ill_se_contig7	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1011313	1010173	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1038994	1011314	se_ill_se_contig35	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1038995	1040135	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1040136	1091866	se_ill_se_contig26	contig_32	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	177680	1269719	1092046	se_ill_se_contig10	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1269720	1270860	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
