S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	720	720	1	pa_ill_pa_contig35	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	266935	1330	268266	pa_ill_pa_contig6	contig_151	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	379474	268267	pa_ill_pa_contig20	contig_151	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	384871	379475	pa_ill_pa_contig45	contig_151	99.47		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	384872	503565	pa_ill_pa_contig19	contig_151	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	503566	504057	pa_ill_pa_contig80	contig_151	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	505294	504058	pa_ill_pa_contig65	contig_151	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	506183	505295	pa_ill_pa_contig71	contig_151	98.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	702	506184	506830	pa_ill_pa_contig8	contig_151	99.05		True
translocation
1	23992	506831	530822	pa_ill_pa_contig40	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	530823	532180	pa_ill_pa_contig62	contig_151	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	532181	588862	pa_ill_pa_contig30	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	588863	589679	pa_ill_pa_contig73	contig_151	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	794565	589680	pa_ill_pa_contig12	contig_151	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	794566	795947	pa_ill_pa_contig61	contig_151	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	795948	902743	pa_ill_pa_contig21	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	903891	902744	pa_ill_pa_contig64	contig_151	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34328	903892	938220	pa_ill_pa_contig15	contig_151	99.86		True
local misassembly
34236	173697	938221	1077765	pa_ill_pa_contig15	contig_151	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	690	1077766	1078400	pa_ill_pa_contig76	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	1079543	1078516	pa_ill_pa_contig68	contig_151	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	592	1080303	1080894	pa_ill_pa_contig77	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	690	1080895	1081584	pa_ill_pa_contig76	contig_151	99.86		True
fake: not a misassembly [fragmentation of reference genome]
56	1028	1082672	1081700	pa_ill_pa_contig68	contig_151	99.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1661	1084278	1082673	pa_ill_pa_contig59	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1627	1084279	1085905	pa_ill_pa_contig58	contig_151	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	1085906	1090876	pa_ill_pa_contig46	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	1090877	1092448	pa_ill_pa_contig58	contig_151	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	1092449	1095686	pa_ill_pa_contig50	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1095687	1096430	pa_ill_pa_contig75	contig_151	99.12		True
fake: not a misassembly [fragmentation of reference genome]
1	6148	1103273	1097120	pa_ill_pa_contig43	contig_151	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1103274	1104017	pa_ill_pa_contig75	contig_151	98.62		True
fake: not a misassembly [fragmentation of reference genome]
1	68331	1104707	1173036	pa_ill_pa_contig28	contig_151	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	1173037	1173911	pa_ill_pa_contig69	contig_151	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	1204679	1173912	pa_ill_pa_contig38	contig_151	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	1207112	1204680	pa_ill_pa_contig48	contig_151	99.44		True
local misassembly
56	1079	1208291	1207268	pa_ill_pa_contig48	contig_151	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	1208292	1214880	pa_ill_pa_contig42	contig_151	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	1217834	1214881	pa_ill_pa_contig51	contig_151	99.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	1217835	1244629	pa_ill_pa_contig39	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	1245122	1244630	pa_ill_pa_contig79	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	1503688	1245123	pa_ill_pa_contig8	contig_151	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	1503689	1504521	pa_ill_pa_contig71	contig_151	99.26		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	1504522	1505758	pa_ill_pa_contig65	contig_151	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	1506250	1505759	pa_ill_pa_contig80	contig_151	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	1506251	1697577	pa_ill_pa_contig13	contig_151	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
17	1142	1698703	1697578	pa_ill_pa_contig67	contig_151	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86400	1698704	1785090	pa_ill_pa_contig25	contig_151	99.98		True
translocation
161	249467	1785091	2034402	pa_ill_pa_contig9	contig_151	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	2531	2037297	2034767	pa_ill_pa_contig53	contig_151	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	929	2038354	2037425	pa_ill_pa_contig72	contig_151	99.25		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	2038867	2038355	pa_ill_pa_contig78	contig_151	97.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	2038868	2042647	pa_ill_pa_contig47	contig_151	90.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	2043077	2042648	pa_ill_pa_contig84	contig_151	98.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	121067	2164145	2043078	pa_ill_pa_contig17	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	56007	2164407	2220413	pa_ill_pa_contig32	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	2221561	2220414	pa_ill_pa_contig64	contig_151	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
247199	542364	2516719	2221562	pa_ill_pa_contig2	contig_151	99.99		True
local misassembly
1	247083	2763800	2516720	pa_ill_pa_contig2	contig_151	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	2763801	2764230	pa_ill_pa_contig84	contig_151	98.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	2768004	2764231	pa_ill_pa_contig47	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	2768005	2768517	pa_ill_pa_contig78	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	929	2768518	2769445	pa_ill_pa_contig72	contig_151	98.17		True
fake: not a misassembly [fragmentation of reference genome]
1	2549	2769573	2772121	pa_ill_pa_contig52	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	404310	3176791	2772480	pa_ill_pa_contig4	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	3176792	3178149	pa_ill_pa_contig62	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	122468	3178150	3300619	pa_ill_pa_contig16	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	53273	3354305	3301034	pa_ill_pa_contig33	contig_151	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	3354798	3354306	pa_ill_pa_contig79	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
41341	76514	3389971	3354799	pa_ill_pa_contig26	contig_151	99.98		True
local misassembly
1	41228	3431198	3389972	pa_ill_pa_contig26	contig_151	99.99		True
translocation
56	770	3431907	3431199	pa_ill_pa_contig20	contig_151	90.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5507	3437359	3431908	pa_ill_pa_contig45	contig_151	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68413	3437360	3505774	pa_ill_pa_contig27	contig_151	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	3511380	3505775	pa_ill_pa_contig44	contig_151	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	87995	3599373	3511381	pa_ill_pa_contig24	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	3599374	3600460	pa_ill_pa_contig67	contig_151	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	294591	3600461	3895049	pa_ill_pa_contig5	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	3895050	3895866	pa_ill_pa_contig73	contig_151	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	35776	3895867	3931642	pa_ill_pa_contig37	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	3934663	3932512	pa_ill_pa_contig55	contig_151	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	3934664	4167232	pa_ill_pa_contig10	contig_151	99.98		True
translocation
129	1718	4167233	4168822	pa_ill_pa_contig57	contig_151	100.0		True
translocation
232388	237415	4168823	4173849	pa_ill_pa_contig10	contig_151	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	4176282	4173850	pa_ill_pa_contig48	contig_151	99.6		True
local misassembly
1	1079	4177516	4176438	pa_ill_pa_contig48	contig_151	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	4177517	4178362	pa_ill_pa_contig70	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3064	4181371	4178363	pa_ill_pa_contig51	contig_151	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
92967	210873	4299278	4181372	pa_ill_pa_contig11	contig_151	99.99		True
local misassembly
1	92856	4392135	4299279	pa_ill_pa_contig11	contig_151	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	4392136	4393010	pa_ill_pa_contig69	contig_151	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	48969	4393011	4441979	pa_ill_pa_contig34	contig_151	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	4441980	4447582	pa_ill_pa_contig44	contig_151	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106324	4553907	4447583	pa_ill_pa_contig22	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	90153	4644435	4554283	pa_ill_pa_contig23	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	4644436	4645522	pa_ill_pa_contig67	contig_151	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	465790	4645523	5111176	pa_ill_pa_contig3	contig_151	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	5111177	5113635	pa_ill_pa_contig54	contig_151	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	5114086	5113636	pa_ill_pa_contig83	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	868	5114087	5114954	pa_ill_pa_contig74	contig_151	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	119004	5115758	5234760	pa_ill_pa_contig18	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5713	5234761	5240418	pa_ill_pa_contig44	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	893	5240419	5241256	pa_ill_pa_contig63	contig_151	100.0		True
translocation
56	1405	5242606	5241257	pa_ill_pa_contig12	contig_151	90.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1437	5242607	5244043	pa_ill_pa_contig61	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21904	5244044	5265946	pa_ill_pa_contig41	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	868	5267474	5266601	pa_ill_pa_contig74	contig_151	98.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	5267475	5267925	pa_ill_pa_contig83	contig_151	95.37		True
indel: indel (> 5bp) [fragmentation of reference genome]
