Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_1bin_v2_1_MP	14	14	0	14	0	0	0	0	0	1	2719597	1	10	10	0	0	26	6	7654	2952	2885	67	6848
r10_1bin_v2_1_MP_helen	14	14	0	14	0	0	0	0	0	1	2717966	1	10	10	0	0	26	6	6816	970	904	66	4687
r10_1bin_v2_1_r1_medaka	14	14	0	14	0	0	0	0	0	1	2719541	1	10	9	0	0	26	6	7792	2035	1984	51	5388
r10_1bin_v2_1_r2_medaka	14	14	0	14	0	0	0	0	0	1	2719590	1	10	10	0	0	26	6	7763	2048	1997	51	5385
r10_1bin_v2_1_racon_r1	14	14	0	14	0	0	0	0	0	1	2720576	1	10	9	0	0	26	6	7865	3029	2979	50	6828
r10_1bin_v2_1_racon_r2	14	14	0	14	0	0	0	0	0	1	2720615	1	10	9	0	0	26	6	7914	3024	2973	51	6722
r10_1bin_v2_1_raw	13	13	0	13	0	0	0	0	0	1	2718428	1	16	20	0	0	24	5	6410	4232	4171	61	8352
r10_1bin_v2_2_MP	14	14	0	14	0	0	0	0	0	1	2719618	1	10	9	0	0	26	6	7679	2967	2893	74	6905
r10_1bin_v2_2_MP_helen	14	14	0	14	0	0	0	0	0	1	2717942	1	10	9	0	0	26	6	6882	1164	1099	65	4943
r10_1bin_v2_2_r1_medaka	14	14	0	14	0	0	0	0	0	1	2719541	1	10	9	0	0	26	6	7664	2007	1956	51	5330
r10_1bin_v2_2_r2_medaka	14	14	0	14	0	0	0	0	0	1	2719616	1	10	9	0	0	26	6	7791	2047	1995	52	5393
r10_1bin_v2_2_racon_r1	14	14	0	14	0	0	0	0	0	1	2720432	1	10	9	0	0	26	6	7641	2994	2943	51	6743
r10_1bin_v2_2_racon_r2	14	14	0	14	0	0	0	0	0	1	2720646	1	10	9	0	0	26	6	8076	3025	2972	53	6764
r10_1bin_v2_2_raw	13	13	0	13	0	0	0	0	0	1	2718430	1	16	20	0	0	24	5	6613	4241	4181	60	8348
r10_1bin_v2_3_MP	14	14	0	14	0	0	0	0	0	1	2719555	1	10	9	0	0	26	6	7555	2926	2852	74	6823
r10_1bin_v2_3_MP_helen	14	14	0	14	0	0	0	0	0	1	2717972	1	10	9	0	0	26	6	6675	969	905	64	4681
r10_1bin_v2_3_r1_medaka	14	14	0	14	0	0	0	0	0	1	2719594	1	10	8	0	0	26	6	7656	2108	2056	52	5461
r10_1bin_v2_3_r2_medaka	14	14	0	14	0	0	0	0	0	1	2719599	1	10	8	0	0	26	6	7547	2044	1993	51	5376
r10_1bin_v2_3_racon_r1	14	14	0	14	0	0	0	0	0	1	2720567	1	10	9	0	0	26	6	7920	3117	3062	55	6887
r10_1bin_v2_3_racon_r2	14	14	0	14	0	0	0	0	0	1	2720658	1	10	9	0	0	26	6	8054	3071	3017	54	6832
r10_1bin_v2_3_raw	14	14	0	14	0	0	0	0	0	1	2718818	1	19	19	0	0	22	5	6797	4462	4406	56	8548
