S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200282	200255	1	ec_ill_ec_contig2	contig_11	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200256	200740	ec_ill_ec_contig98	contig_11	99.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216102	200741	ec_ill_ec_contig54	contig_11	99.91		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216655	216170	ec_ill_ec_contig104	contig_11	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	314022	216751	ec_ill_ec_contig19	contig_11	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	314023	316548	ec_ill_ec_contig71	contig_11	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316764	317339	ec_ill_ec_contig95	contig_11	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317340	325026	ec_ill_ec_contig61	contig_11	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325481	325027	ec_ill_ec_contig101	contig_11	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352826	325482	ec_ill_ec_contig46	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352827	353399	ec_ill_ec_contig96	contig_11	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353742	353400	ec_ill_ec_contig85	contig_11	93.45		True
translocation
1	1970	355712	353743	ec_ill_ec_contig74	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356686	355713	ec_ill_ec_contig82	contig_11	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356687	371060	ec_ill_ec_contig55	contig_11	99.94		True
translocation
1	384	371444	371061	ec_ill_ec_contig50	contig_11	98.97		True
fake: not a misassembly [fragmentation of reference genome]
1	395	371564	371958	ec_ill_ec_contig9	contig_11	97.18		True
translocation
1	18741	371959	390700	ec_ill_ec_contig51	contig_11	99.97		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391253	390768	ec_ill_ec_contig104	contig_11	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391349	423032	ec_ill_ec_contig42	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435896	423033	ec_ill_ec_contig57	contig_11	99.96		True
local misassembly [fragmentation of reference genome]
22	507	435992	436477	ec_ill_ec_contig104	contig_11	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535307	436545	ec_ill_ec_contig18	contig_11	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536538	535308	ec_ill_ec_contig79	contig_11	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707817	536539	ec_ill_ec_contig3	contig_11	99.97		True
local misassembly
1	57666	765470	707818	ec_ill_ec_contig3	contig_11	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765471	766043	ec_ill_ec_contig96	contig_11	99.04		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766405	766044	ec_ill_ec_contig85	contig_11	94.88		True
translocation
56	550	766900	766406	ec_ill_ec_contig102	contig_11	100.0		True
