S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	188	188	1	sa_ill_sa_contig13	contig_101	100.0		False
305	382	370382	370460	sa_ill_sa_contig51	contig_101	98.73		False
1	161	370382	370555	sa_ill_sa_contig51	contig_101	92.53		False
105	186	403524	403443	sa_ill_sa_contig25	contig_101	100.0		False
164	242	403528	403606	sa_ill_sa_contig23	contig_101	100.0		False
306	382	403702	403779	sa_ill_sa_contig51	contig_101	98.72		False
9108	9197	404094	404183	sa_ill_sa_contig20	contig_101	98.89		False
890	964	404266	404192	ef_ill_ef_contig21	contig_101	93.33		False
691	773	404474	404392	ef_ill_ef_contig21	contig_101	95.18		False
1	75	404555	404481	ef_ill_ef_contig16	contig_101	100.0		False
610	689	404559	404480	ef_ill_ef_contig21	contig_101	100.0		False
439	523	404565	404481	lm_ill_lm_contig37	contig_101	96.47		False
98793	98873	404836	404916	bs_ill_bs_contig3	contig_101	93.83		False
276	350	404997	404923	sa_ill_sa_contig25	contig_101	100.0		False
98882	98963	404917	404998	bs_ill_bs_contig3	contig_101	93.9		False
92	173	404999	404918	bs_ill_bs_contig1326	contig_101	93.9		False
1	79	405169	405091	sa_ill_sa_contig25	contig_101	100.0		False
87	460	404924	405299	sa_ill_sa_contig23	contig_101	98.67		False
688	765	408512	408590	sa_ill_sa_contig51	contig_101	98.73		False
1243	1307	408680	408616	lf_ill_lf_contig69	contig_101	100.0		False
1093	1250	408963	408806	lf_ill_lf_contig57	contig_101	92.41		False
1613	1787	408963	408789	ef_ill_ef_contig19	contig_101	92.57		False
1874	1938	408964	408900	pa_ill_pa_contig44	contig_101	90.77		False
3804	3891	409189	409276	se_ill_se_contig42	contig_101	90.91		False
950	1024	409278	409204	ec_ill_ec_contig65	contig_101	94.67		False
779	853	409279	409205	lf_ill_lf_contig57	contig_101	98.67		False
1289	1407	409289	409171	ef_ill_ef_contig19	contig_101	96.64		False
1397	1503	409444	409338	pa_ill_pa_contig44	contig_101	96.26		False
786	906	409444	409324	ec_ill_ec_contig65	contig_101	93.39		False
3937	4076	409324	409463	se_ill_se_contig42	contig_101	91.43		False
500	759	409560	409301	lf_ill_lf_contig57	contig_101	91.54		False
4115	4186	409503	409574	se_ill_se_contig42	contig_101	95.83		False
656	727	409575	409504	ec_ill_ec_contig65	contig_101	95.83		False
734	1282	409846	409298	ef_ill_ef_contig19	contig_101	94.35		False
40	190	410020	409870	lf_ill_lf_contig57	contig_101	90.07		False
1	982	410045	409063	bs_ill_bs_contig933	contig_101	92.93		False
2	100	409992	410090	bs_ill_bs_contig3	contig_101	92.93		False
488	710	410092	409870	ef_ill_ef_contig19	contig_101	92.83		False
174	1724	410325	408769	lm_ill_lm_contig16	contig_101	90.52		False
261	334	410253	410326	bs_ill_bs_contig3	contig_101	93.24		False
142	348	438417	438623	sa_ill_sa_contig31	contig_101	97.58		False
1	133	478570	478438	sa_ill_sa_contig31	contig_101	98.5		False
134184	134302	478492	478610	sa_ill_sa_contig7	contig_101	97.48		False
131884	131983	478701	478602	sa_ill_sa_contig8	contig_101	98.0		False
45829	46373	478718	478173	sa_ill_sa_contig14	contig_101	97.81		False
106923	107136	478719	478506	sa_ill_sa_contig3	contig_101	99.53		False
38188	38352	541005	541169	sa_ill_sa_contig23	contig_101	95.76		False
343	460	541264	541381	sa_ill_sa_contig23	contig_101	100.0		False
304	384	541558	541638	lm_ill_lm_contig12	contig_101	92.59		False
8	169	541719	541558	bs_ill_bs_contig13	contig_101	95.06		False
4282	4511	541961	541732	ec_ill_ec_contig65	contig_101	90.87		False
322	551	541732	541961	se_ill_se_contig42	contig_101	90.87		False
4903	5134	541963	541732	pa_ill_pa_contig44	contig_101	90.95		False
396	885	541650	542139	lm_ill_lm_contig12	contig_101	95.1		False
223	726	541650	542153	lf_ill_lf_contig82	contig_101	95.83		False
325	923	541558	542156	ef_ill_ef_contig17	contig_101	94.49		False
3780	3873	542463	542370	ec_ill_ec_contig65	contig_101	96.81		False
960	1053	542370	542463	se_ill_se_contig42	contig_101	96.81		False
4403	4500	542463	542366	pa_ill_pa_contig44	contig_101	96.94		False
1019	1366	542252	542599	ef_ill_ef_contig17	contig_101	95.11		False
965	1346	542219	542600	lm_ill_lm_contig12	contig_101	94.76		False
3436	3788	542606	542254	lf_ill_lf_contig57	contig_101	92.07		False
1367	1447	542620	542700	lm_ill_lm_contig12	contig_101	97.53		False
1	1068	541672	542738	bs_ill_bs_contig839	contig_101	93.83		False
1677	1857	542932	543112	lm_ill_lm_contig12	contig_101	91.16		False
105	288	542929	543112	bs_ill_bs_contig991	contig_101	92.93		False
2688	2883	543362	543167	lf_ill_lf_contig57	contig_101	93.37		False
1921	2135	543164	543378	ef_ill_ef_contig17	contig_101	95.35		False
1910	2127	543161	543378	lm_ill_lm_contig12	contig_101	91.74		False
2165	2233	543408	543476	ef_ill_ef_contig17	contig_101	95.65		False
2567	2643	543483	543407	lf_ill_lf_contig57	contig_101	90.91		False
2249	2365	543491	543607	ef_ill_ef_contig17	contig_101	92.31		False
4	288	543680	543964	ef_ill_ef_contig25	contig_101	90.18		False
