S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207318	310075	1	102754	ec_ill_ec_contig2	contig_57	100.0		True
local misassembly
310191	312944	102755	105508	ec_ill_ec_contig2	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303860	105598	ec_ill_ec_contig4	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306832	303861	ec_ill_ec_contig65	contig_57	99.93		True
local misassembly
1	1463	308692	307230	ec_ill_ec_contig65	contig_57	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309059	346355	ec_ill_ec_contig39	contig_57	100.0		True
local misassembly [fragmentation of reference genome]
22	350	346451	346779	ec_ill_ec_contig104	contig_57	91.19		True
indel: indel (> 5bp)
384	502	346780	346898	ec_ill_ec_contig104	contig_57	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346971	392272	ec_ill_ec_contig15	contig_57	99.94		True
local misassembly
45064	105217	392287	452439	ec_ill_ec_contig15	contig_57	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452440	453670	ec_ill_ec_contig79	contig_57	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453671	514083	ec_ill_ec_contig31	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514271	857490	ec_ill_ec_contig1	contig_57	100.0		True
local misassembly
343563	393863	857491	907789	ec_ill_ec_contig1	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980745	907790	ec_ill_ec_contig16	contig_57	100.0		True
local misassembly
1	31383	1012128	980746	ec_ill_ec_contig16	contig_57	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015156	1012130	ec_ill_ec_contig65	contig_57	99.93		True
local misassembly
1	1463	1017022	1015560	ec_ill_ec_contig65	contig_57	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058571	1017293	ec_ill_ec_contig37	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059491	1058572	ec_ill_ec_contig83	contig_57	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059492	1206985	ec_ill_ec_contig7	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206986	1208909	ec_ill_ec_contig73	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209471	1208910	ec_ill_ec_contig91	contig_57	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209472	1210116	ec_ill_ec_contig94	contig_57	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210370	1212098	ec_ill_ec_contig75	contig_57	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212547	1213032	ec_ill_ec_contig104	contig_57	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1221003	1213100	ec_ill_ec_contig60	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222125	1221004	ec_ill_ec_contig80	contig_57	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1222126	1315524	ec_ill_ec_contig20	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315525	1317448	ec_ill_ec_contig73	contig_57	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1318010	1317449	ec_ill_ec_contig91	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1318011	1318635	ec_ill_ec_contig94	contig_57	98.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318636	1390479	ec_ill_ec_contig25	contig_57	99.96		True
local misassembly [fragmentation of reference genome]
1	5324	1395910	1390587	ec_ill_ec_contig64	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396193	1412261	ec_ill_ec_contig53	contig_57	99.99		True
translocation
26703	27345	1412262	1412904	ec_ill_ec_contig46	contig_57	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412905	1413359	ec_ill_ec_contig101	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415940	1413360	ec_ill_ec_contig70	contig_57	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1416223	1418647	ec_ill_ec_contig72	contig_57	100.0		True
translocation
4875	5324	1418648	1419097	ec_ill_ec_contig64	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419810	1419200	ec_ill_ec_contig25	contig_57	97.25		True
translocation
1	22687	1442497	1419811	ec_ill_ec_contig48	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1442498	1443057	ec_ill_ec_contig92	contig_57	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	1443058	1444414	ec_ill_ec_contig77	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1444928	1444415	ec_ill_ec_contig97	contig_57	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111087	1556016	1444929	ec_ill_ec_contig12	contig_57	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1556201	1557662	ec_ill_ec_contig65	contig_57	99.86		True
local misassembly
1876	4847	1557983	1560954	ec_ill_ec_contig65	contig_57	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	88468	1649422	1560955	ec_ill_ec_contig23	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1649826	1651288	ec_ill_ec_contig65	contig_57	99.93		True
local misassembly
1876	4902	1651701	1654730	ec_ill_ec_contig65	contig_57	99.67		True
fake: not a misassembly [fragmentation of reference genome]
1	53688	1654949	1708633	ec_ill_ec_contig33	contig_57	99.99		True
local misassembly [fragmentation of reference genome]
1	71920	1708634	1780552	ec_ill_ec_contig24	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1780951	1782413	ec_ill_ec_contig65	contig_57	99.93		True
local misassembly
1876	4902	1782734	1785760	ec_ill_ec_contig65	contig_57	99.7		True
fake: not a misassembly [fragmentation of reference genome]
1	4268	1790246	1785979	ec_ill_ec_contig66	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1790247	1791166	ec_ill_ec_contig83	contig_57	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30843	1822007	1791167	ec_ill_ec_contig43	contig_57	99.99		True
translocation
56	399	1822349	1822008	ec_ill_ec_contig6	contig_57	98.24		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1463	1822350	1823812	ec_ill_ec_contig65	contig_57	100.0		True
local misassembly
1876	4902	1824133	1827159	ec_ill_ec_contig65	contig_57	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	3011	1827161	1830171	ec_ill_ec_contig8	contig_57	99.95		True
indel: stretch of mismatches
3012	83127	1830172	1910187	ec_ill_ec_contig8	contig_57	99.87		True
local misassembly
82979	138617	1910378	1966016	ec_ill_ec_contig8	contig_57	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	1966569	1966084	ec_ill_ec_contig104	contig_57	91.77		True
local misassembly [fragmentation of reference genome]
1	30252	1966665	1996916	ec_ill_ec_contig44	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	107753	2104853	1997108	ec_ill_ec_contig14	contig_57	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	2104854	2105964	ec_ill_ec_contig81	contig_57	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	9696	2105965	2115660	ec_ill_ec_contig59	contig_57	100.0		True
indel: indel (<= 5bp) [fragmentation of reference genome]
56	502	2116182	2115733	ec_ill_ec_contig104	contig_57	99.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3545	2116183	2119727	ec_ill_ec_contig67	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	744	2120416	2119728	ec_ill_ec_contig89	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89591	2210008	2120417	ec_ill_ec_contig21	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
42469	50645	2218400	2210224	ec_ill_ec_contig35	contig_57	99.89		True
local misassembly
1	42569	2260969	2218401	ec_ill_ec_contig35	contig_57	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2262201	2260970	ec_ill_ec_contig79	contig_57	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3185	2265386	2262202	ec_ill_ec_contig68	contig_57	100.0		True
local misassembly [fragmentation of reference genome]
22	507	2265482	2265967	ec_ill_ec_contig104	contig_57	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	21779	2287812	2266035	ec_ill_ec_contig49	contig_57	100.0		True
fake: not a misassembly [fragmentation of reference genome]
22	507	2288366	2287881	ec_ill_ec_contig104	contig_57	91.77		True
local misassembly [fragmentation of reference genome]
1	181861	2470236	2288462	ec_ill_ec_contig6	contig_57	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1463	2470237	2471644	ec_ill_ec_contig65	contig_57	99.52		True
local misassembly
1876	4847	2472057	2475030	ec_ill_ec_contig65	contig_57	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	17355	2492386	2475031	ec_ill_ec_contig52	contig_57	99.91		True
