S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
500	577	1	78	sa_ill_sa_contig41	contig_12	92.31		False
1	166	166	1	bs_ill_bs_contig13	contig_12	93.98		False
134	701	1	568	lf_ill_lf_contig82	contig_12	96.13		False
589	1151	90	652	sa_ill_sa_contig41	contig_12	93.25		False
4406	4488	900	818	pa_ill_pa_contig44	contig_12	97.59		False
968	1050	818	900	se_ill_se_contig42	contig_12	97.59		False
3783	3865	900	818	ec_ill_ec_contig65	contig_12	97.59		False
3577	3824	905	658	lf_ill_lf_contig57	contig_12	94.35		False
3443	3552	1039	930	lf_ill_lf_contig57	contig_12	93.64		False
1158	1540	659	1041	sa_ill_sa_contig41	contig_12	94.78		False
1559	1639	1061	1141	sa_ill_sa_contig41	contig_12	97.53		False
1	1065	112	1176	bs_ill_bs_contig839	contig_12	95.6		False
3315	3430	1178	1063	lf_ill_lf_contig57	contig_12	97.41		False
1871	2057	1371	1557	sa_ill_sa_contig41	contig_12	90.37		False
2099	2316	1604	1821	sa_ill_sa_contig41	contig_12	91.74		False
2566	2641	1927	1852	lf_ill_lf_contig57	contig_12	90.79		False
328	2426	1	2112	ef_ill_ef_contig17	contig_12	90.13		False
108	910	1371	2179	bs_ill_bs_contig991	contig_12	91.87		False
2079	2322	2412	2169	lf_ill_lf_contig57	contig_12	91.39		False
47	293	2168	2414	ef_ill_ef_contig25	contig_12	92.31		False
2614	2917	2121	2424	sa_ill_sa_contig41	contig_12	93.09		False
386	515	2514	2643	ef_ill_ef_contig25	contig_12	91.54		False
2985	3136	2493	2644	sa_ill_sa_contig41	contig_12	92.11		False
1684	1803	2808	2689	lf_ill_lf_contig57	contig_12	90.0		False
543	680	2671	2808	ef_ill_ef_contig25	contig_12	93.48		False
83	720	2820	2184	bs_ill_bs_contig1146	contig_12	90.39		False
1206	1320	3311	3197	ec_ill_ec_contig65	contig_12	93.91		False
3523	3637	3197	3311	se_ill_se_contig42	contig_12	93.91		False
3694	3767	3368	3441	se_ill_se_contig42	contig_12	91.89		False
1075	1149	3442	3368	ec_ill_ec_contig65	contig_12	90.67		False
904	1287	3442	3059	lf_ill_lf_contig57	contig_12	90.36		False
1397	1517	3729	3609	pa_ill_pa_contig44	contig_12	95.04		False
786	911	3729	3604	ec_ill_ec_contig65	contig_12	93.65		False
3937	4076	3609	3748	se_ill_se_contig42	contig_12	93.57		False
656	727	3860	3789	ec_ill_ec_contig65	contig_12	97.22		False
4115	4187	3788	3860	se_ill_se_contig42	contig_12	97.26		False
1201	1338	3926	3789	pa_ill_pa_contig44	contig_12	92.03		False
1	966	4330	3367	bs_ill_bs_contig933	contig_12	94.21		False
1	735	4344	3610	lf_ill_lf_contig57	contig_12	90.2		False
1	133	4276	4408	bs_ill_bs_contig3	contig_12	91.73		False
159	246	4434	4521	bs_ill_bs_contig3	contig_12	90.91		False
266	333	4543	4610	bs_ill_bs_contig3	contig_12	95.59		False
38	1590	3060	4610	sa_ill_sa_contig8	contig_12	90.82		False
245	1807	4610	3059	ef_ill_ef_contig19	contig_12	90.95		False
1703	2436	261046	261779	lm_ill_lm_contig10	contig_12	92.28		False
935	1665	261944	261214	lm_ill_lm_contig11	contig_12	91.24		False
2007	2579	265217	264645	lm_ill_lm_contig11	contig_12	91.62		False
1932	2006	265293	265219	lm_ill_lm_contig11	contig_12	93.33		False
461	532	376448	376377	lm_ill_lm_contig29	contig_12	100.0		False
18222	18293	376377	376448	bs_ill_bs_contig20	contig_12	100.0		False
99075	99146	376448	376377	bs_ill_bs_contig3	contig_12	100.0		False
34981	35053	376376	376448	bs_ill_bs_contig15	contig_12	100.0		False
1141	1216	376373	376448	lm_ill_lm_contig1	contig_12	100.0		False
782245	782323	376454	376376	lm_ill_lm_contig1	contig_12	100.0		False
106	324	376689	376912	sa_ill_sa_contig25	contig_12	91.56		False
666	745	597093	597014	lm_ill_lm_contig1	contig_12	97.5		False
18712	18794	597190	597272	ef_ill_ef_contig14	contig_12	90.36		False
782151	782225	597370	597444	lm_ill_lm_contig1	contig_12	100.0		False
18914	18992	597366	597444	ef_ill_ef_contig14	contig_12	98.73		False
398	640	597535	597291	lm_ill_lm_contig1	contig_12	99.18		False
19002	19075	597548	597621	ef_ill_ef_contig14	contig_12	97.3		False
782251	782322	597678	597749	lm_ill_lm_contig1	contig_12	100.0		False
34982	35054	597749	597677	bs_ill_bs_contig15	contig_12	100.0		False
1145	1217	597749	597677	lm_ill_lm_contig1	contig_12	100.0		False
18222	18295	597749	597676	bs_ill_bs_contig20	contig_12	100.0		False
19096	19173	597672	597749	ef_ill_ef_contig14	contig_12	98.72		False
99073	99150	597676	597753	bs_ill_bs_contig3	contig_12	97.44		False
786378	786452	597881	597955	lm_ill_lm_contig1	contig_12	100.0		False
938	1014	597957	597881	lm_ill_lm_contig1	contig_12	100.0		False
232021	232164	597874	598017	lm_ill_lm_contig5	contig_12	100.0		False
497	577	598266	598346	sa_ill_sa_contig41	contig_12	92.59		False
1	277	598434	598158	bs_ill_bs_contig13	contig_12	91.07		False
129	701	598264	598836	lf_ill_lf_contig82	contig_12	96.16		False
589	1151	598358	598920	sa_ill_sa_contig41	contig_12	93.25		False
968	1050	599086	599168	se_ill_se_contig42	contig_12	97.59		False
3783	3865	599168	599086	ec_ill_ec_contig65	contig_12	97.59		False
4406	4488	599168	599086	pa_ill_pa_contig44	contig_12	97.59		False
3577	3824	599173	598926	lf_ill_lf_contig57	contig_12	94.35		False
3443	3552	599307	599198	lf_ill_lf_contig57	contig_12	93.64		False
1158	1540	598927	599309	sa_ill_sa_contig41	contig_12	94.78		False
1559	1639	599329	599409	sa_ill_sa_contig41	contig_12	97.53		False
1	1065	598380	599444	bs_ill_bs_contig839	contig_12	95.6		False
3315	3430	599446	599331	lf_ill_lf_contig57	contig_12	97.41		False
1871	2057	599639	599825	sa_ill_sa_contig41	contig_12	90.37		False
2099	2316	599872	600089	sa_ill_sa_contig41	contig_12	91.74		False
2566	2641	600195	600120	lf_ill_lf_contig57	contig_12	90.79		False
214	2426	598156	600380	ef_ill_ef_contig17	contig_12	90.0		False
108	910	599639	600447	bs_ill_bs_contig991	contig_12	91.87		False
2079	2322	600680	600437	lf_ill_lf_contig57	contig_12	91.39		False
47	293	600436	600682	ef_ill_ef_contig25	contig_12	92.31		False
2614	2917	600389	600692	sa_ill_sa_contig41	contig_12	93.09		False
386	515	600782	600911	ef_ill_ef_contig25	contig_12	91.54		False
2985	3136	600761	600912	sa_ill_sa_contig41	contig_12	92.11		False
1684	1803	601076	600957	lf_ill_lf_contig57	contig_12	90.0		False
543	680	600939	601076	ef_ill_ef_contig25	contig_12	93.48		False
83	720	601088	600452	bs_ill_bs_contig1146	contig_12	90.39		False
689	759	601261	601331	sa_ill_sa_contig51	contig_12	98.59		False
701	773	601336	601264	ef_ill_ef_contig21	contig_12	100.0		False
862	935	601456	601383	lm_ill_lm_contig1	contig_12	100.0		False
82	155	601456	601383	ef_ill_ef_contig2	contig_12	100.0		False
3523	3637	601716	601830	se_ill_se_contig42	contig_12	93.91		False
1206	1320	601830	601716	ec_ill_ec_contig65	contig_12	93.91		False
3694	3767	601887	601960	se_ill_se_contig42	contig_12	91.89		False
1075	1149	601961	601887	ec_ill_ec_contig65	contig_12	90.67		False
904	1287	601961	601578	lf_ill_lf_contig57	contig_12	90.36		False
1397	1517	602248	602128	pa_ill_pa_contig44	contig_12	95.04		False
786	911	602248	602123	ec_ill_ec_contig65	contig_12	93.65		False
3937	4076	602128	602267	se_ill_se_contig42	contig_12	93.57		False
656	727	602379	602308	ec_ill_ec_contig65	contig_12	97.22		False
4115	4187	602307	602379	se_ill_se_contig42	contig_12	97.26		False
1201	1338	602445	602308	pa_ill_pa_contig44	contig_12	92.03		False
1	966	602849	601886	bs_ill_bs_contig933	contig_12	94.21		False
1	735	602863	602129	lf_ill_lf_contig57	contig_12	90.2		False
1	133	602795	602927	bs_ill_bs_contig3	contig_12	91.73		False
159	246	602953	603040	bs_ill_bs_contig3	contig_12	90.91		False
266	333	603062	603129	bs_ill_bs_contig3	contig_12	95.59		False
38	1590	601579	603129	sa_ill_sa_contig8	contig_12	90.82		False
245	1807	603129	601578	ef_ill_ef_contig19	contig_12	90.95		False
266	333	1146443	1146376	bs_ill_bs_contig3	contig_12	95.59		False
159	246	1146552	1146465	bs_ill_bs_contig3	contig_12	90.91		False
1	133	1146710	1146578	bs_ill_bs_contig3	contig_12	91.73		False
656	727	1147126	1147197	ec_ill_ec_contig65	contig_12	97.22		False
1201	1338	1147060	1147197	pa_ill_pa_contig44	contig_12	92.03		False
4115	4187	1147198	1147126	se_ill_se_contig42	contig_12	97.26		False
1	735	1146642	1147376	lf_ill_lf_contig57	contig_12	90.2		False
1397	1517	1147257	1147377	pa_ill_pa_contig44	contig_12	95.04		False
3937	4076	1147377	1147238	se_ill_se_contig42	contig_12	93.57		False
786	911	1147257	1147382	ec_ill_ec_contig65	contig_12	93.65		False
3694	3767	1147618	1147545	se_ill_se_contig42	contig_12	91.89		False
1075	1149	1147544	1147618	ec_ill_ec_contig65	contig_12	90.67		False
1	966	1146656	1147619	bs_ill_bs_contig933	contig_12	94.21		False
