S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1195	se_ill_se_contig56	contig_91	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1196	52851	se_ill_se_contig27	contig_91	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350654	52852	se_ill_se_contig2	contig_91	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350655	351046	se_ill_se_contig69	contig_91	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355117	351047	se_ill_se_contig46	contig_91	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355118	358788	se_ill_se_contig47	contig_91	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
55	1833	358789	360570	se_ill_se_contig53	contig_91	99.67		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361057	360571	se_ill_se_contig63	contig_91	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85533	162102	437623	361058	se_ill_se_contig11	contig_91	99.96		True
local misassembly
1	86128	523734	437624	se_ill_se_contig11	contig_91	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524875	523735	se_ill_se_contig56	contig_91	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524876	538596	se_ill_se_contig4	contig_91	99.97		True
local misassembly
13844	16547	538597	541300	se_ill_se_contig4	contig_91	98.95		True
local misassembly
16782	245298	541301	769783	se_ill_se_contig4	contig_91	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769784	771516	se_ill_se_contig54	contig_91	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771517	772361	se_ill_se_contig58	contig_91	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772362	773875	se_ill_se_contig55	contig_91	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773876	774307	se_ill_se_contig65	contig_91	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774797	774308	se_ill_se_contig64	contig_91	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774798	779519	se_ill_se_contig43	contig_91	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5265	784730	779520	se_ill_se_contig41	contig_91	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21152	805876	784731	se_ill_se_contig37	contig_91	99.95		True
translocation
103637	104041	805877	806281	se_ill_se_contig19	contig_91	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	806282	808666	se_ill_se_contig42	contig_91	99.83		True
translocation
1	660	808681	809340	se_ill_se_contig60	contig_91	100.0		True
translocation
3345	5023	809524	811201	se_ill_se_contig42	contig_91	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	811202	860343	se_ill_se_contig7	contig_91	99.97		True
inversion
49137	50103	861310	860344	se_ill_se_contig7	contig_91	100.0		True
inversion
50104	198853	861311	1010052	se_ill_se_contig7	contig_91	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1011192	1010053	se_ill_se_contig56	contig_91	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1038876	1011193	se_ill_se_contig35	contig_91	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1038877	1040017	se_ill_se_contig56	contig_91	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1040018	1091732	se_ill_se_contig26	contig_91	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	177680	1269561	1091912	se_ill_se_contig10	contig_91	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1269562	1270704	se_ill_se_contig56	contig_91	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	94784	1365465	1270705	se_ill_se_contig20	contig_91	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	58960	1424414	1365466	se_ill_se_contig24	contig_91	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1427534	1424415	se_ill_se_contig48	contig_91	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44860	1472387	1427535	se_ill_se_contig30	contig_91	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	2387	1472464	1474849	se_ill_se_contig42	contig_91	99.92		True
translocation
1	660	1474864	1475522	se_ill_se_contig60	contig_91	99.85		True
translocation
3345	5078	1475706	1477438	se_ill_se_contig42	contig_91	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	26107	1503646	1477542	se_ill_se_contig36	contig_91	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	1504555	1503647	se_ill_se_contig57	contig_91	99.31		True
