S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1705	1693	1	sa_ill_sa_contig8	contig_11	98.77		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	5234	2111	sa_ill_sa_contig41	contig_11	99.74		True
translocation
62396	62502	5341	5235	sa_ill_sa_contig14	contig_11	98.6		True
local misassembly
1	62604	67865	5391	sa_ill_sa_contig14	contig_11	99.61		True
translocation
98092	98471	67866	68244	sa_ill_sa_contig11	contig_11	97.97		True
local misassembly [fragmentation of reference genome]
1	39729	107989	68245	sa_ill_sa_contig21	contig_11	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	28120	136121	107994	sa_ill_sa_contig28	contig_11	99.86		True
translocation
1	1604	137725	136122	sa_ill_sa_contig8	contig_11	99.59		True
fake: not a misassembly [fragmentation of reference genome]
198	3323	141266	138147	sa_ill_sa_contig41	contig_11	99.62		True
translocation
2	925	142739	141821	sa_ill_sa_contig51	contig_11	97.74		True
local misassembly [fragmentation of reference genome]
1	32969	175910	142944	sa_ill_sa_contig26	contig_11	99.8		True
fake: not a misassembly [fragmentation of reference genome]
1	14210	176064	190275	sa_ill_sa_contig34	contig_11	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	190987	190276	sa_ill_sa_contig55	contig_11	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	190988	212784	sa_ill_sa_contig30	contig_11	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	219870	212785	sa_ill_sa_contig36	contig_11	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	219871	318521	sa_ill_sa_contig11	contig_11	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	319845	318522	sa_ill_sa_contig48	contig_11	99.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	319846	543268	sa_ill_sa_contig1	contig_11	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	539	543269	543752	sa_ill_sa_contig65	contig_11	99.07		True
fake: not a misassembly [fragmentation of reference genome]
56	720	545535	544871	sa_ill_sa_contig60	contig_11	98.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
124942	125486	546080	545536	sa_ill_sa_contig10	contig_11	93.17		True
translocation
1	63338	546081	609453	sa_ill_sa_contig13	contig_11	99.79		True
local misassembly
63108	66060	609454	612408	sa_ill_sa_contig13	contig_11	99.41		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	41771	654214	612409	sa_ill_sa_contig19	contig_11	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	177172	654403	831668	sa_ill_sa_contig4	contig_11	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
21	50729	831669	882416	sa_ill_sa_contig16	contig_11	99.82		True
fake: not a misassembly [fragmentation of reference genome]
78271	134302	938524	882479	sa_ill_sa_contig7	contig_11	99.8		True
local misassembly
1	78138	1016583	938525	sa_ill_sa_contig7	contig_11	99.68		True
fake: not a misassembly [fragmentation of reference genome]
55	207093	1223588	1016596	sa_ill_sa_contig3	contig_11	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	211909	1435586	1223589	sa_ill_sa_contig2	contig_11	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	3261	1435786	1439049	sa_ill_sa_contig42	contig_11	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
4	718	1439765	1439050	sa_ill_sa_contig58	contig_11	99.87		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	56123	1439766	1495801	sa_ill_sa_contig15	contig_11	99.6		True
local misassembly
55995	56123	1495949	1496076	sa_ill_sa_contig15	contig_11	98.45		True
translocation
203	3323	1496253	1499374	sa_ill_sa_contig41	contig_11	99.68		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	1499671	1501267	sa_ill_sa_contig8	contig_11	99.35		True
translocation
1	3323	1501268	1504590	sa_ill_sa_contig41	contig_11	99.67		True
fake: not a misassembly [fragmentation of reference genome]
1	1703	1504920	1506620	sa_ill_sa_contig8	contig_11	98.48		True
translocation
688	925	1506634	1506886	sa_ill_sa_contig51	contig_11	94.07		True
fake: not a misassembly [fragmentation of reference genome]
1	38352	1507029	1545404	sa_ill_sa_contig23	contig_11	99.84		True
local misassembly
38187	38352	1545497	1545662	sa_ill_sa_contig23	contig_11	98.8		True
local misassembly
38161	38352	1545750	1545940	sa_ill_sa_contig23	contig_11	95.31		True
translocation
203	3323	1546033	1549155	sa_ill_sa_contig41	contig_11	99.68		True
fake: not a misassembly [fragmentation of reference genome]
1	1649	1549543	1551191	sa_ill_sa_contig8	contig_11	99.77		True
translocation
1	41074	1551192	1592277	sa_ill_sa_contig20	contig_11	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	1576	1592304	1593878	sa_ill_sa_contig47	contig_11	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2840	1596719	1593879	sa_ill_sa_contig44	contig_11	99.58		True
fake: not a misassembly [fragmentation of reference genome]
1	6686	1596746	1603437	sa_ill_sa_contig37	contig_11	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1603438	1604148	sa_ill_sa_contig55	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1618517	1604149	sa_ill_sa_contig33	contig_11	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1623513	1618518	sa_ill_sa_contig39	contig_11	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
