S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200282	200279	1	ec_ill_ec_contig2	contig_14	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200280	200765	ec_ill_ec_contig98	contig_14	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216143	200766	ec_ill_ec_contig54	contig_14	99.74		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216696	216211	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	314081	216792	ec_ill_ec_contig19	contig_14	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	314082	316607	ec_ill_ec_contig71	contig_14	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316823	317398	ec_ill_ec_contig95	contig_14	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317399	325091	ec_ill_ec_contig61	contig_14	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325546	325092	ec_ill_ec_contig101	contig_14	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352890	325547	ec_ill_ec_contig46	contig_14	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352891	353464	ec_ill_ec_contig96	contig_14	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353807	353465	ec_ill_ec_contig85	contig_14	93.45		True
translocation
1	1970	355777	353808	ec_ill_ec_contig74	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356751	355778	ec_ill_ec_contig82	contig_14	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356752	371128	ec_ill_ec_contig55	contig_14	99.99		True
translocation
1	384	371512	371129	ec_ill_ec_contig50	contig_14	98.97		True
fake: not a misassembly [fragmentation of reference genome]
1	395	371632	372026	ec_ill_ec_contig9	contig_14	97.18		True
translocation
1	18741	372027	390766	ec_ill_ec_contig51	contig_14	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391319	390834	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391415	423103	ec_ill_ec_contig42	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435969	423104	ec_ill_ec_contig57	contig_14	99.98		True
local misassembly [fragmentation of reference genome]
22	507	436065	436550	ec_ill_ec_contig104	contig_14	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535390	436618	ec_ill_ec_contig18	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536622	535391	ec_ill_ec_contig79	contig_14	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707916	536623	ec_ill_ec_contig3	contig_14	100.0		True
local misassembly
1	57666	765582	707917	ec_ill_ec_contig3	contig_14	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765583	766156	ec_ill_ec_contig96	contig_14	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766518	766157	ec_ill_ec_contig85	contig_14	94.88		True
translocation
56	550	767013	766519	ec_ill_ec_contig102	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	767605	767014	ec_ill_ec_contig93	contig_14	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	767606	768444	ec_ill_ec_contig88	contig_14	95.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	769527	768445	ec_ill_ec_contig82	contig_14	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	920	769528	770392	ec_ill_ec_contig87	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	770393	770916	ec_ill_ec_contig100	contig_14	99.48		True
fake: not a misassembly [fragmentation of reference genome]
18517	19021	771868	771364	ec_ill_ec_contig50	contig_14	94.43		True
translocation
1	13785	771869	785651	ec_ill_ec_contig56	contig_14	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	786204	785719	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	292	787067	787358	ec_ill_ec_contig13	contig_14	97.96		True
translocation
9004	9482	787359	787837	ec_ill_ec_contig55	contig_14	96.15		True
translocation
1	595	787838	788432	ec_ill_ec_contig99	contig_14	100.0		True
translocation
70844	71136	788638	788930	ec_ill_ec_contig26	contig_14	99.32		True
fake: not a misassembly [fragmentation of reference genome]
1	395	789050	789444	ec_ill_ec_contig9	contig_14	96.9		True
translocation
1	70438	789445	859881	ec_ill_ec_contig27	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	859882	861003	ec_ill_ec_contig80	contig_14	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38051	899054	861004	ec_ill_ec_contig38	contig_14	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	3119	902786	899668	ec_ill_ec_contig69	contig_14	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	71131	903668	974827	ec_ill_ec_contig26	contig_14	99.94		True
local misassembly [fragmentation of reference genome]
1	125137	974952	1100083	ec_ill_ec_contig9	contig_14	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	19021	1100203	1119222	ec_ill_ec_contig50	contig_14	99.91		True
fake: not a misassembly [fragmentation of reference genome]
56	580	1120194	1119670	ec_ill_ec_contig100	contig_14	99.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	937	1121076	1120195	ec_ill_ec_contig86	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	1121077	1122160	ec_ill_ec_contig82	contig_14	98.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	1122999	1122161	ec_ill_ec_contig88	contig_14	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	592	1123000	1123536	ec_ill_ec_contig93	contig_14	98.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	967	1123537	1124503	ec_ill_ec_contig85	contig_14	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	573	1125021	1124504	ec_ill_ec_contig96	contig_14	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	110908	1235920	1125022	ec_ill_ec_contig13	contig_14	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	111329	1347529	1236200	ec_ill_ec_contig11	contig_14	100.0		True
local misassembly [fragmentation of reference genome]
22	300	1347808	1347530	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	31737	1379640	1347904	ec_ill_ec_contig41	contig_14	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1379641	1380154	ec_ill_ec_contig97	contig_14	97.12		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7319	1380155	1387473	ec_ill_ec_contig62	contig_14	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	507	1388047	1387541	ec_ill_ec_contig104	contig_14	100.0		True
fake: not a misassembly [fragmentation of reference genome]
