All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        MP_helen_r10_bins_1  MP_helen_r10_bins_2  MP_helen_r10_bins_3  MP_r10_bins_1  MP_r10_bins_2  MP_r10_bins_3  r1_medaka_r10_bins_1  r1_medaka_r10_bins_2  r1_medaka_r10_bins_3  r2_medaka_r10_bins_1  r2_medaka_r10_bins_2  r2_medaka_r10_bins_3  racon_r1_r10_bins_1  racon_r1_r10_bins_2  racon_r1_r10_bins_3  racon_r2_r10_bins_1  racon_r2_r10_bins_2  racon_r2_r10_bins_3  raw_r10_bins_1  raw_r10_bins_2  raw_r10_bins_3
# misassemblies                                 14                   13                   14                   14             13             14             14                    13                    14                    14                    13                    14                    14                   13                   14                   14                   13                   14                   14              12              12            
  # contig misassemblies                        14                   13                   14                   14             13             14             14                    13                    14                    14                    13                    14                    14                   13                   14                   14                   13                   14                   14              12              12            
    # c. relocations                            0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # c. translocations                         14                   13                   14                   14             13             14             14                    13                    14                    14                    13                    14                    14                   13                   14                   14                   13                   14                   14              12              12            
    # c. inversions                             0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
  # scaffold misassemblies                      0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. relocations                            0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. translocations                         0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
    # s. inversions                             0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# misassembled contigs                          1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
Misassembled contigs length                     2717987              2718054              2718086              2719777        2719835        2719835        2719552               2719502               2719543               2719584               2719579               2719559               2720311              2720303              2720298              2720378              2720381              2720321              2718434         2718434         2718864       
# possibly misassembled contigs                 1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
    # possible misassemblies                    10                   10                   10                   10             10             10             10                    10                    10                    10                    10                    10                    10                   10                   8                    10                   8                    10                   18              16              19            
# local misassemblies                           10                   10                   9                    9              10             9              9                     11                    9                     9                     10                    9                     9                    11                   8                    10                   9                    9                    20              20              25            
# scaffold gap ext. mis.                        0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# scaffold gap loc. mis.                        0                    0                    0                    0              0              0              0                     0                     0                     0                     0                     0                     0                    0                    0                    0                    0                    0                    0               0               0             
# misassemblies caused by fragmented reference  26                   26                   26                   26             26             26             26                    25                    26                    26                    26                    26                    26                   25                   26                   26                   26                   26                   23              25              23            
# unaligned mis. contigs                        6                    6                    6                    6              6              6              6                     6                     6                     6                     6                     6                     6                    6                    6                    6                    6                    6                    5               5               5             
# mismatches                                    6852                 6782                 6822                 7666           7678           7699           7737                  7616                  7744                  7598                  7565                  7734                  7888                 7679                 7646                 8011                 7763                 7981                 6761            6483            6800          
# indels                                        1149                 934                  948                  2984           2996           3012           2018                  2047                  2090                  2032                  2039                  2099                  2970                 2948                 2973                 2932                 2915                 2999                 4328            4207            4307          
    # indels (<= 5 bp)                          1086                 871                  887                  2914           2930           2942           1967                  1995                  2039                  1981                  1988                  2048                  2916                 2893                 2922                 2880                 2864                 2947                 4269            4147            4250          
    # indels (> 5 bp)                           63                   63                   61                   70             66             70             51                    52                    51                    51                    51                    51                    54                   55                   51                   52                   51                   52                   59              60              57            
Indels length                                   4903                 4606                 4601                 6868           6836           6849           5363                  5399                  5444                  5369                  5381                  5442                  6706                 6716                 6642                 6613                 6559                 6709                 8430            8316            8350          
