S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
62389	62604	1	216	sa_ill_sa_contig14	contig_45	100.0		True
local misassembly
62396	62502	266	372	sa_ill_sa_contig14	contig_45	98.6		True
translocation
203	3323	373	3495	sa_ill_sa_contig41	contig_45	99.52		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	3914	5514	sa_ill_sa_contig8	contig_45	99.24		True
translocation
19	34443	39958	5515	sa_ill_sa_contig24	contig_45	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	78751	39959	sa_ill_sa_contig22	contig_45	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	78752	79284	sa_ill_sa_contig63	contig_45	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	113659	79285	sa_ill_sa_contig25	contig_45	99.81		True
translocation
203	3323	113824	116946	sa_ill_sa_contig41	contig_45	99.71		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	117318	249355	sa_ill_sa_contig8	contig_45	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	249697	399212	sa_ill_sa_contig5	contig_45	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	399258	430170	sa_ill_sa_contig27	contig_45	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	430171	430977	sa_ill_sa_contig53	contig_45	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	434021	431096	sa_ill_sa_contig43	contig_45	99.46		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	447723	434022	sa_ill_sa_contig35	contig_45	99.77		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	448455	574185	sa_ill_sa_contig10	contig_45	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	574186	574850	sa_ill_sa_contig60	contig_45	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	576453	575970	sa_ill_sa_contig65	contig_45	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	597304	576454	sa_ill_sa_contig32	contig_45	99.81		True
translocation
1	130429	727679	597305	sa_ill_sa_contig9	contig_45	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	727680	732263	sa_ill_sa_contig40	contig_45	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	732264	737588	sa_ill_sa_contig38	contig_45	99.87		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	742173	737589	sa_ill_sa_contig40	contig_45	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	768365	742174	sa_ill_sa_contig29	contig_45	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	857	768731	769588	sa_ill_sa_contig54	contig_45	99.88		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	771791	770118	sa_ill_sa_contig46	contig_45	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	771792	815323	sa_ill_sa_contig18	contig_45	99.38		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	815856	815324	sa_ill_sa_contig63	contig_45	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	815857	958808	sa_ill_sa_contig6	contig_45	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	958962	980018	sa_ill_sa_contig31	contig_45	99.9		True
translocation
98057	98213	980019	980175	sa_ill_sa_contig11	contig_45	98.58		True
local misassembly
98340	98561	980176	980397	sa_ill_sa_contig11	contig_45	98.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1007004	980398	sa_ill_sa_contig12	contig_45	99.31		True
local misassembly
46	44268	1051241	1007005	sa_ill_sa_contig12	contig_45	99.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1051242	1101969	sa_ill_sa_contig17	contig_45	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1101970	1106965	sa_ill_sa_contig39	contig_45	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1106966	1121330	sa_ill_sa_contig33	contig_45	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1122042	1121331	sa_ill_sa_contig55	contig_45	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
