Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	    # c. interspecies translocations	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	    # s. interspecies translocations	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_2bins_1_MP	168	168	5	161	2	0	0	0	0	0	0	8	30867659	7	100	117	0	0	253	0	53196	11673	11023	650	45771
r10_2bins_1_MP_helen	167	167	4	161	2	0	0	0	0	0	0	8	30863086	7	98	121	0	0	253	0	51107	7199	6558	641	41100
r10_2bins_1_r1_medaka	168	168	4	162	2	0	0	0	0	0	0	8	30864993	7	98	136	0	0	251	0	53303	8097	7498	599	40888
r10_2bins_1_r2_medaka	172	172	8	162	2	0	0	0	0	0	0	8	30854445	7	102	135	0	0	252	0	53074	7954	7352	602	40954
r10_2bins_1_racon_r1	167	167	4	161	2	0	0	0	0	0	0	8	30851823	7	98	149	0	0	250	0	53170	19089	18443	646	56401
r10_2bins_1_racon_r2	174	174	9	163	2	0	0	0	0	0	0	8	30845869	7	96	140	0	0	250	0	54508	18128	17481	647	55059
r10_2bins_1_raw	176	176	5	167	2	2	0	0	0	0	0	8	30849737	8	166	203	0	0	176	0	81857	92718	91507	1211	156481
r10_2bins_2_MP	170	170	6	162	2	0	0	0	0	0	0	8	30867164	7	98	115	0	0	252	0	53576	11688	11045	643	45904
r10_2bins_2_MP_helen	167	167	4	161	2	0	0	0	0	0	0	8	30863526	7	98	116	0	0	253	0	51091	7169	6522	647	41301
r10_2bins_2_r1_medaka	167	167	4	161	2	0	0	0	0	0	0	8	30865115	7	98	132	0	0	251	0	53664	8068	7471	597	41088
r10_2bins_2_r2_medaka	171	171	7	162	2	0	0	0	0	0	0	8	30854432	7	98	136	0	0	252	0	53240	8050	7457	593	40840
r10_2bins_2_racon_r1	168	168	4	162	2	0	0	0	0	0	0	8	30853169	7	100	152	0	0	249	0	53684	19402	18747	655	57155
r10_2bins_2_racon_r2	172	172	7	163	2	0	0	0	0	0	0	8	30847042	7	94	141	0	0	250	0	54026	17872	17239	633	54534
r10_2bins_2_raw	177	177	5	168	2	2	0	0	0	0	0	8	30850562	8	172	206	0	0	172	0	82359	93600	92393	1207	158278
r10_2bins_3_MP	170	170	6	162	2	0	0	0	0	0	0	8	30867063	7	98	117	0	0	252	0	53587	11717	11080	637	45494
r10_2bins_3_MP_helen	168	168	4	162	2	0	0	0	0	0	0	8	30862897	7	98	119	0	0	253	0	51076	7195	6536	659	41297
r10_2bins_3_r1_medaka	167	167	4	161	2	0	0	0	0	0	0	8	30865071	7	96	133	0	0	252	0	53521	8036	7435	601	41029
r10_2bins_3_r2_medaka	170	170	6	162	2	0	0	0	0	0	0	8	30855474	7	98	137	0	0	252	0	53062	7965	7363	602	41047
r10_2bins_3_racon_r1	168	168	4	162	2	0	0	0	0	0	0	8	30852231	7	100	150	0	0	249	0	53860	19438	18779	659	57392
r10_2bins_3_racon_r2	174	174	7	165	2	0	0	0	0	0	0	8	30845818	7	94	141	0	0	251	0	54394	17601	16961	640	54271
r10_2bins_3_raw	174	174	5	165	2	2	0	0	0	0	0	8	30850200	8	170	207	0	0	171	0	83010	93758	92528	1230	158210
