S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1195	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1196	52854	se_ill_se_contig27	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350687	52855	se_ill_se_contig2	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350688	351080	se_ill_se_contig69	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355147	351081	se_ill_se_contig46	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355148	358819	se_ill_se_contig47	contig_95	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358820	360596	se_ill_se_contig53	contig_95	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361083	360597	se_ill_se_contig63	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85543	162102	437633	361084	se_ill_se_contig11	contig_95	99.99		True
local misassembly
1	85606	523357	437759	se_ill_se_contig11	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524498	523358	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524499	538223	se_ill_se_contig4	contig_95	100.0		True
local misassembly
13844	16547	538224	540926	se_ill_se_contig4	contig_95	98.95		True
local misassembly
16782	245298	540927	769444	se_ill_se_contig4	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769445	771177	se_ill_se_contig54	contig_95	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771178	772023	se_ill_se_contig58	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772024	773537	se_ill_se_contig55	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773538	773969	se_ill_se_contig65	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774460	773970	se_ill_se_contig64	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774461	779180	se_ill_se_contig43	contig_95	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
146	5265	784213	779181	se_ill_se_contig41	contig_95	98.16		True
translocation
1	21032	805357	784328	se_ill_se_contig37	contig_95	99.99		True
translocation
103637	104041	805358	805762	se_ill_se_contig19	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	805763	808136	se_ill_se_contig42	contig_95	99.37		True
translocation
1	660	808151	808810	se_ill_se_contig60	contig_95	100.0		True
translocation
3345	5023	808994	810672	se_ill_se_contig42	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	810673	859816	se_ill_se_contig7	contig_95	99.98		True
inversion
49137	50103	860783	859817	se_ill_se_contig7	contig_95	100.0		True
inversion
50104	198853	860784	1009531	se_ill_se_contig7	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1010672	1009532	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1038351	1010673	se_ill_se_contig35	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1038352	1039492	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1039493	1091223	se_ill_se_contig26	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	177680	1269074	1091403	se_ill_se_contig10	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1269075	1270215	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	94784	1364999	1270216	se_ill_se_contig20	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	58960	1423957	1365000	se_ill_se_contig24	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1427077	1423958	se_ill_se_contig48	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44860	1471933	1427078	se_ill_se_contig30	contig_95	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	2387	1472010	1474396	se_ill_se_contig42	contig_95	100.0		True
translocation
1	660	1474411	1475070	se_ill_se_contig60	contig_95	100.0		True
translocation
3345	5078	1475254	1476987	se_ill_se_contig42	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	26107	1503196	1477091	se_ill_se_contig36	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	1504105	1503197	se_ill_se_contig57	contig_95	99.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	242448	1746513	1504106	se_ill_se_contig5	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1746514	1747654	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	158034	1747655	1905687	se_ill_se_contig12	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1906828	1905688	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3049	1906829	1909877	se_ill_se_contig49	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3727	1909878	1913604	se_ill_se_contig47	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	583	1914132	1913605	se_ill_se_contig63	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	77562	1991696	1914133	se_ill_se_contig23	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
3345	5023	1993375	1991697	se_ill_se_contig42	contig_95	99.94		True
local misassembly
1	2387	1996777	1994392	se_ill_se_contig42	contig_95	99.96		True
fake: not a misassembly [fragmentation of reference genome]
24	36664	2033545	1996906	se_ill_se_contig32	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	53027	2086573	2033546	se_ill_se_contig25	contig_95	99.99		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2088464	2086730	se_ill_se_contig42	contig_95	99.88		True
translocation
1	660	2089307	2088648	se_ill_se_contig60	contig_95	100.0		True
translocation
56	2387	2091654	2089322	se_ill_se_contig42	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	104096	2195751	2091655	se_ill_se_contig19	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	2195752	2196891	se_ill_se_contig56	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44927	2241807	2196892	se_ill_se_contig29	contig_95	99.98		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2243689	2241956	se_ill_se_contig42	contig_95	100.0		True
local misassembly
1	2387	2247092	2244706	se_ill_se_contig42	contig_95	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	4426	2247169	2251594	se_ill_se_contig45	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	2251595	2252503	se_ill_se_contig57	contig_95	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	32262	2284763	2252504	se_ill_se_contig33	contig_95	99.99		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2286603	2284869	se_ill_se_contig42	contig_95	99.94		True
translocation
1	660	2287446	2286787	se_ill_se_contig60	contig_95	100.0		True
translocation
1	2387	2289847	2287461	se_ill_se_contig42	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
103637	104041	2290252	2289848	se_ill_se_contig19	contig_95	100.0		True
translocation
1	88508	2290253	2378756	se_ill_se_contig21	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	772	2379528	2378757	se_ill_se_contig59	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	106728	2486561	2379835	se_ill_se_contig18	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	2486993	2486562	se_ill_se_contig66	contig_95	99.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	150716	2637700	2486994	se_ill_se_contig13	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1243	2638888	2637701	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	37101	2675988	2638889	se_ill_se_contig31	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	2677129	2675989	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	130129	2677130	2807254	se_ill_se_contig16	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	2810374	2807255	se_ill_se_contig48	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	224077	3034450	2810375	se_ill_se_contig6	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
3345	5023	3036131	3034451	se_ill_se_contig42	contig_95	98.79		True
translocation
1	660	3037133	3036474	se_ill_se_contig60	contig_95	99.09		True
translocation
1	2387	3039634	3037248	se_ill_se_contig42	contig_95	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	120824	3039791	3160604	se_ill_se_contig17	contig_95	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	245826	3406812	3160989	se_ill_se_contig3	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	4520	3412093	3407574	se_ill_se_contig44	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	449	3412855	3413303	se_ill_se_contig3	contig_95	99.61		True
translocation
1	179991	3413304	3593293	se_ill_se_contig9	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	10344	3593768	3604111	se_ill_se_contig39	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	3604112	3607231	se_ill_se_contig48	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	188840	3796140	3607232	se_ill_se_contig8	contig_95	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	3796141	3797281	se_ill_se_contig56	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	32027	3797282	3829307	se_ill_se_contig34	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5210	3829308	3834462	se_ill_se_contig41	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	5662	3834463	3840125	se_ill_se_contig40	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	491	3840126	3840561	se_ill_se_contig64	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	601	3841107	3840562	se_ill_se_contig62	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1514	3842566	3841108	se_ill_se_contig55	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2421	3844987	3842567	se_ill_se_contig50	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1733	3846665	3844988	se_ill_se_contig54	contig_95	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	17381	3864046	3846666	se_ill_se_contig38	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2199	3866190	3864047	se_ill_se_contig52	contig_95	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2283	3866191	3868473	se_ill_se_contig51	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	3868865	3868474	se_ill_se_contig69	contig_95	99.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	139962	3868866	4008826	se_ill_se_contig14	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	4008827	4009967	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	80782	4009968	4090743	se_ill_se_contig22	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2199	4092888	4090744	se_ill_se_contig52	contig_95	99.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	133795	4226681	4092889	se_ill_se_contig15	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	4227821	4226682	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86784	4227822	4314601	se_ill_se_contig1	contig_95	99.98		True
local misassembly
87064	391817	4314602	4619349	se_ill_se_contig1	contig_95	99.99		True
local misassembly
391739	391817	4619445	4619523	se_ill_se_contig1	contig_95	97.47		True
local misassembly
392052	529984	4619932	4757859	se_ill_se_contig1	contig_95	99.99		True
CONTIG	contig_95	4757859	misassembled
75902	77149	1262	15	se_ill_se_contig11	contig_96	92.47		True
unknown
66851	67736	10255	9370	se_ill_se_contig11	contig_96	91.08		True
unknown
66425	66847	10681	10259	se_ill_se_contig11	contig_96	90.78		True
unknown
66181	66387	10923	10717	se_ill_se_contig11	contig_96	90.34		True
unknown
64235	64630	12872	12477	se_ill_se_contig11	contig_96	92.42		True
unknown
17655	17836	52885	52704	se_ill_se_contig11	contig_96	93.41		True
unknown
17537	17613	52995	52919	se_ill_se_contig11	contig_96	97.4		True
unknown
13204	13379	57330	57155	se_ill_se_contig11	contig_96	91.48		True
unknown
12913	13203	57622	57332	se_ill_se_contig11	contig_96	90.38		True
unknown
11881	12056	58664	58489	se_ill_se_contig11	contig_96	91.48		True
unknown
13644	13740	102488	102584	se_ill_se_contig4	contig_96	95.88		True
unknown
13761	13913	102602	102754	se_ill_se_contig4	contig_96	94.12		True
unknown
15973	16345	104808	105180	se_ill_se_contig4	contig_96	91.15		True
unknown
16660	16763	105498	105601	se_ill_se_contig4	contig_96	100.0		True
unknown
16764	16860	105607	105703	se_ill_se_contig4	contig_96	98.97		True
unknown
26700	27154	115376	115830	se_ill_se_contig4	contig_96	91.5		True
unknown
28279	32275	116826	120818	se_ill_se_contig4	contig_96	90.47		True
unknown
85644	86066	174877	175299	se_ill_se_contig4	contig_96	90.07		True
unknown
88746	89321	178017	178592	se_ill_se_contig4	contig_96	90.1		True
unknown
96906	97197	196141	196432	se_ill_se_contig4	contig_96	91.44		True
unknown
112872	113896	208597	209621	se_ill_se_contig4	contig_96	91.41		True
unknown
113898	114505	209622	210229	se_ill_se_contig4	contig_96	92.11		True
unknown
116097	116166	211820	211889	se_ill_se_contig4	contig_96	91.43		True
unknown
148160	148418	220232	220490	se_ill_se_contig4	contig_96	90.35		True
unknown
149842	149941	221895	221994	se_ill_se_contig4	contig_96	96.0		True
unknown
170710	171040	237207	237537	se_ill_se_contig4	contig_96	92.45		True
unknown
172693	172758	239179	239244	se_ill_se_contig4	contig_96	96.97		True
unknown
173411	173475	239823	239887	se_ill_se_contig4	contig_96	96.92		True
unknown
184139	184904	262324	263089	se_ill_se_contig4	contig_96	90.6		True
unknown
184922	185001	263109	263188	se_ill_se_contig4	contig_96	90.0		True
unknown
185493	185579	263681	263767	se_ill_se_contig4	contig_96	90.8		True
unknown
193760	193980	264783	265003	se_ill_se_contig4	contig_96	91.86		True
unknown
197592	197809	268697	268914	se_ill_se_contig4	contig_96	91.82		True
unknown
201789	201951	272948	273110	se_ill_se_contig4	contig_96	91.41		True
unknown
201966	202036	273127	273197	se_ill_se_contig4	contig_96	94.37		True
unknown
202158	202224	273319	273385	se_ill_se_contig4	contig_96	92.54		True
unknown
17756	17877	286229	286108	se_ill_se_contig37	contig_96	90.16		True
unknown
17515	17752	286470	286233	se_ill_se_contig37	contig_96	92.02		True
unknown
16277	17020	287709	286966	se_ill_se_contig37	contig_96	92.47		True
unknown
12888	13762	291083	290207	se_ill_se_contig37	contig_96	90.08		True
unknown
10129	10531	294009	293607	se_ill_se_contig37	contig_96	90.07		True
unknown
10006	10097	294129	294038	se_ill_se_contig37	contig_96	92.39		True
unknown
3675	3855	300375	300195	se_ill_se_contig37	contig_96	93.92		True
unknown
103859	104096	303612	303850	se_ill_se_contig19	contig_96	94.58		True
unknown
2	2387	303797	306180	se_ill_se_contig42	contig_96	97.95		True
unknown
3345	5078	307115	308850	se_ill_se_contig42	contig_96	97.3		True
unknown
160	239	308954	309033	se_ill_se_contig7	contig_96	90.0		True
unknown
5815	5895	314601	314681	se_ill_se_contig7	contig_96	91.36		True
unknown
5897	6242	314682	315027	se_ill_se_contig7	contig_96	91.33		True
unknown
6243	6340	315031	315128	se_ill_se_contig7	contig_96	92.86		True
unknown
6372	6489	315160	315277	se_ill_se_contig7	contig_96	90.68		True
unknown
13119	13500	321728	322109	se_ill_se_contig7	contig_96	97.64		True
unknown
13501	14264	322111	322874	se_ill_se_contig7	contig_96	92.54		True
unknown
14279	15251	322875	323847	se_ill_se_contig7	contig_96	91.88		True
unknown
15389	15535	323981	324127	se_ill_se_contig7	contig_96	91.16		True
unknown
18919	19014	327513	327608	se_ill_se_contig7	contig_96	91.67		True
unknown
20379	20580	328269	328470	se_ill_se_contig7	contig_96	92.57		True
unknown
23149	23374	331038	331264	se_ill_se_contig7	contig_96	94.71		True
unknown
42115	42501	333120	333507	se_ill_se_contig7	contig_96	97.17		True
unknown
73187	73382	374040	374235	se_ill_se_contig7	contig_96	90.82		True
unknown
74125	74189	374978	375042	se_ill_se_contig7	contig_96	93.85		True
unknown
81849	81935	382433	382519	se_ill_se_contig7	contig_96	98.85		True
unknown
90291	90714	388870	389293	se_ill_se_contig7	contig_96	90.8		True
unknown
104132	104222	392026	392116	se_ill_se_contig7	contig_96	100.0		True
unknown
104134	104383	392303	392552	se_ill_se_contig7	contig_96	94.8		True
unknown
104552	104765	392718	392931	se_ill_se_contig7	contig_96	98.6		True
unknown
104836	104913	393004	393081	se_ill_se_contig7	contig_96	91.03		True
unknown
105021	105239	393199	393417	se_ill_se_contig7	contig_96	94.98		True
unknown
105241	105421	393418	393598	se_ill_se_contig7	contig_96	93.92		True
unknown
107996	108108	396173	396285	se_ill_se_contig7	contig_96	96.46		True
unknown
109037	110018	397058	398039	se_ill_se_contig7	contig_96	91.55		True
unknown
127799	129779	418830	420810	se_ill_se_contig7	contig_96	90.31		True
unknown
105	1798	440809	442502	se_ill_se_contig35	contig_96	90.64		True
unknown
6103	6420	446788	447105	se_ill_se_contig35	contig_96	90.57		True
unknown
21882	21982	454389	454489	se_ill_se_contig35	contig_96	92.08		True
unknown
22386	22696	454891	455201	se_ill_se_contig35	contig_96	90.35		True
unknown
1726	3065	473211	474550	se_ill_se_contig26	contig_96	93.96		True
unknown
16953	17294	481428	481769	se_ill_se_contig26	contig_96	90.35		True
unknown
21165	21249	484608	484692	se_ill_se_contig26	contig_96	90.59		True
unknown
32004	32119	495398	495513	se_ill_se_contig26	contig_96	90.52		True
unknown
32448	32706	495842	496100	se_ill_se_contig26	contig_96	90.35		True
unknown
45822	46007	509142	509327	se_ill_se_contig26	contig_96	93.01		True
unknown
46008	46135	509336	509463	se_ill_se_contig26	contig_96	94.53		True
unknown
46149	46393	509480	509724	se_ill_se_contig26	contig_96	90.2		True
unknown
107522	108506	620540	619556	se_ill_se_contig10	contig_96	92.49		True
unknown
107240	107484	620822	620578	se_ill_se_contig10	contig_96	91.02		True
unknown
106988	107236	621074	620826	se_ill_se_contig10	contig_96	91.57		True
