Assembly	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NGA50	NGA75	LGA50	LGA75
r10_1bin_v4_1_MP	7	7	7	7	24074239	24074239	24074239	24074239	7	4765380	24074239	1805517	44.80	52.72	4045594	4765380	2845424	4765380	3	1	5	1	73	1	1947266	12	0	0	6	0 + 7 part	22081405	99.943	1.105	0.00	268.97	11.86	177204	1986802	89792	35032	8	17
r10_1bin_v4_1_MP_helen	7	7	7	7	24070847	24070847	24070847	24070847	7	4765358	24070847	1805517	44.80	52.72	4045614	4765358	2845373	4765358	3	1	5	1	73	1	1946666	13	0	1	6	0 + 7 part	22079130	99.915	1.104	0.04	268.27	16.24	177205	1988007	89302	35502	8	16
r10_1bin_v4_1_r1_medaka	7	7	7	7	24075790	24075790	24075790	24075790	7	4765659	24075790	1805517	44.80	52.72	4045830	4765659	2845569	4765659	3	1	5	1	74	1	1946507	28	0	0	6	0 + 7 part	22087944	99.860	1.103	0.00	299.32	23.13	177227	1984255	79505	35509	8	17
r10_1bin_v4_1_r2_medaka	7	7	7	7	24065267	24065267	24065267	24065267	7	4765647	24065267	1805517	44.79	52.72	4045830	4765647	2845565	4765647	3	1	5	1	80	1	1936457	28	0	0	6	0 + 7 part	22086194	99.906	1.097	0.00	290.25	25.78	177216	1975591	83460	35033	8	17
r10_1bin_v4_1_racon_r1	7	7	7	7	24060416	24060416	24060416	24060416	7	4764472	24060416	1805517	44.79	52.72	4045233	4764472	2845263	4764472	3	1	5	1	74	1	1935141	44	0	0	6	0 + 7 part	22080830	99.844	1.098	0.00	266.52	59.53	176875	1976105	69408	35009	9	18
r10_1bin_v4_1_racon_r2	7	7	7	7	24054361	24054361	24054361	24054361	7	4764668	24054361	1805517	44.78	52.72	4045289	4764668	2845303	4764668	3	1	5	1	83	1	1928687	34	0	0	6	0 + 7 part	22078357	99.834	1.096	0.00	269.88	53.76	177080	1970130	83395	34820	8	17
r10_1bin_v4_1_raw	7	7	7	7	24061513	24061513	24061513	24061513	7	4763504	24061513	1805517	44.77	52.72	4042947	4763504	2843857	4763504	3	1	5	1	75	1	1945673	29	0	0	6	0 + 7 part	22108886	99.876	1.083	0.00	365.99	348.63	176985	1949130	69730	34946	8	18
r10_1bin_v4_2_MP	7	7	7	7	24074830	24074830	24074830	24074830	7	4765857	24074830	1805517	44.80	52.72	4045599	4765857	2845424	4765857	3	1	5	1	74	1	1947348	11	0	0	6	0 + 7 part	22081833	99.943	1.105	0.00	269.97	11.47	177203	1986965	89792	35033	8	17
r10_1bin_v4_2_MP_helen	7	7	7	7	24070579	24070579	24070579	24070579	7	4765290	24070579	1805517	44.80	52.72	4045618	4765290	2845368	4765290	3	1	5	1	73	1	1946223	13	0	0	6	0 + 7 part	22078906	99.918	1.104	0.00	268.76	16.91	177203	1985641	89199	35032	8	17
r10_1bin_v4_2_r1_medaka	7	7	7	7	24075879	24075879	24075879	24075879	7	4765665	24075879	1805517	44.80	52.72	4045837	4765665	2845573	4765665	3	1	5	1	74	1	1946508	28	0	0	6	0 + 7 part	22088325	99.862	1.102	0.00	296.98	23.19	177226	1984018	79505	35509	8	17
r10_1bin_v4_2_r2_medaka	7	7	7	7	24065198	24065198	24065198	24065198	7	4765638	24065198	1805517	44.79	52.72	4045836	4765638	2845566	4765638	3	1	5	1	80	1	1936339	30	0	0	6	0 + 7 part	22086459	99.874	1.097	0.00	294.00	24.13	177215	1972832	83263	34842	8	17
r10_1bin_v4_2_racon_r1	7	7	7	7	24060552	24060552	24060552	24060552	7	4764540	24060552	1805517	44.79	52.72	4045198	4764540	2845303	4764540	3	1	5	1	74	1	1935113	44	0	0	6	0 + 7 part	22079852	99.844	1.099	0.00	270.90	60.14	176878	1977201	69408	35009	9	18
r10_1bin_v4_2_racon_r2	7	7	7	7	24053082	24053082	24053082	24053082	7	4764597	24053082	1805517	44.78	52.72	4045283	4764597	2845324	4764597	3	1	5	1	82	1	1927460	37	0	0	6	0 + 7 part	22078018	99.787	1.096	0.00	273.55	53.96	177052	1969211	69332	34820	9	18
r10_1bin_v4_2_raw	7	7	7	7	24061431	24061431	24061431	24061431	7	4763606	24061431	1805517	44.77	52.72	4042978	4763606	2843857	4763606	3	1	5	1	75	1	1945673	28	0	0	6	0 + 7 part	22109756	99.883	1.082	0.00	361.64	348.55	176985	1945851	69730	34946	8	18
r10_1bin_v4_3_MP	7	7	7	7	24074372	24074372	24074372	24074372	7	4765360	24074372	1805517	44.80	52.72	4045594	4765360	2845425	4765360	3	1	5	1	74	1	1947385	12	0	0	6	0 + 7 part	22081343	99.936	1.105	0.00	271.26	11.75	177205	1989282	89790	35505	8	16
r10_1bin_v4_3_MP_helen	7	7	7	7	24070528	24070528	24070528	24070528	7	4765338	24070528	1805517	44.80	52.72	4045616	4765338	2845368	4765338	3	1	5	1	73	1	1946387	12	0	0	6	0 + 7 part	22078651	99.943	1.104	0.00	268.42	10.14	177205	1985798	89722	35032	8	17
r10_1bin_v4_3_r1_medaka	7	7	7	7	24075072	24075072	24075072	24075072	7	4765695	24075072	1805517	44.80	52.72	4045840	4765695	2845568	4765695	3	1	5	1	74	1	1945652	28	0	0	6	0 + 7 part	22087303	99.939	1.102	0.00	304.79	24.72	173140	1981748	89797	35034	8	17
r10_1bin_v4_3_r2_medaka	7	7	7	7	24062757	24062757	24062757	24062757	7	4765649	24062757	1805517	44.79	52.72	4045837	4765649	2845560	4765649	3	1	5	1	77	1	1933881	30	0	0	6	0 + 7 part	22085418	99.942	1.096	0.00	282.17	21.84	177223	1971278	88262	35035	8	17
r10_1bin_v4_3_racon_r1	7	7	7	7	24061106	24061106	24061106	24061106	7	4764493	24061106	1805517	44.78	52.72	4045212	4764493	2845287	4764493	3	1	5	1	74	1	1935632	44	0	0	6	0 + 7 part	22079300	99.920	1.099	0.00	271.42	57.54	173003	1977716	89773	34890	8	17
r10_1bin_v4_3_racon_r2	7	7	7	7	24053558	24053558	24053558	24053558	7	4764872	24053558	1805517	44.78	52.72	4045325	4764872	2845313	4764872	3	1	5	1	80	1	1927607	32	0	0	6	0 + 7 part	22078889	99.865	1.095	0.00	270.24	55.91	177105	1968535	81585	35022	8	17
r10_1bin_v4_3_raw	7	7	7	7	24060936	24060936	24060936	24060936	7	4763509	24060936	1805517	44.77	52.72	4042951	4763509	2843857	4763509	3	1	5	1	76	1	1945498	30	0	0	6	0 + 7 part	22105061	99.870	1.085	0.00	373.05	349.48	176990	1950098	69730	34946	8	18
