Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# misassemblies	21	21	21	21	21	21	19	21	21	21	21	21	21	18	21	21	21	21	21	21	19
  # contig misassemblies	21	21	21	21	21	21	19	21	21	21	21	21	21	18	21	21	21	21	21	21	19
    # c. relocations	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # c. translocations	20	20	20	20	20	20	18	20	20	20	20	20	20	17	20	20	20	20	20	20	18
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4765367	4765335	4765354	4765366	4764519	4764885	4763493	4765367	4765342	4765360	4765365	4764481	4764611	4763481	4765870	4765291	4765346	4765353	4764528	4764900	4763766
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	12	12	12	12	12	12	34	12	12	12	12	12	12	32	12	12	12	12	12	12	34
# local misassemblies	36	36	37	37	36	38	60	36	36	36	37	36	36	57	37	36	37	37	36	37	61
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	42	42	42	42	42	42	35	42	42	42	42	42	42	35	42	42	42	42	42	42	35
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6
# mismatches	20703	20551	20724	20683	20836	21295	22654	20721	20560	20685	20636	20590	21223	22501	20579	20386	20693	20629	20977	21081	22982
# indels	950	847	712	691	1857	1725	11071	950	839	711	704	1907	1719	11041	965	867	711	695	1896	1726	11287
    # indels (<= 5 bp)	851	748	616	595	1760	1629	10870	851	740	614	608	1809	1620	10841	866	764	615	599	1798	1628	11084
    # indels (> 5 bp)	99	99	96	96	97	96	201	99	99	97	96	98	99	200	99	103	96	96	98	98	203
Indels length	6218	6143	5838	5817	7254	6979	20404	6218	6133	5937	5830	7296	7081	20238	6237	6227	5836	5820	7294	7097	20753
