S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200230	200240	1	ec_ill_ec_contig2	contig_37	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200241	200733	ec_ill_ec_contig98	contig_37	98.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216113	200734	ec_ill_ec_contig54	contig_37	99.76		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216666	216181	ec_ill_ec_contig104	contig_37	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	314051	216762	ec_ill_ec_contig19	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	314052	316576	ec_ill_ec_contig71	contig_37	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316792	317367	ec_ill_ec_contig95	contig_37	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317368	325059	ec_ill_ec_contig61	contig_37	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325514	325060	ec_ill_ec_contig101	contig_37	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352858	325515	ec_ill_ec_contig46	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352859	353432	ec_ill_ec_contig96	contig_37	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353776	353433	ec_ill_ec_contig85	contig_37	93.66		True
translocation
1	1970	355746	353777	ec_ill_ec_contig74	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356720	355747	ec_ill_ec_contig82	contig_37	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356721	371103	ec_ill_ec_contig55	contig_37	99.93		True
translocation
1	384	371487	371104	ec_ill_ec_contig50	contig_37	98.97		True
fake: not a misassembly [fragmentation of reference genome]
124743	125137	372001	371607	ec_ill_ec_contig9	contig_37	97.18		True
translocation
1	18741	372002	390739	ec_ill_ec_contig51	contig_37	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391292	390807	ec_ill_ec_contig104	contig_37	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391388	423075	ec_ill_ec_contig42	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435943	423076	ec_ill_ec_contig57	contig_37	100.0		True
local misassembly [fragmentation of reference genome]
22	507	436039	436524	ec_ill_ec_contig104	contig_37	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535365	436592	ec_ill_ec_contig18	contig_37	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536598	535366	ec_ill_ec_contig79	contig_37	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707895	536599	ec_ill_ec_contig3	contig_37	100.0		True
local misassembly
1	57666	765559	707896	ec_ill_ec_contig3	contig_37	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765560	766133	ec_ill_ec_contig96	contig_37	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766495	766134	ec_ill_ec_contig85	contig_37	94.88		True
translocation
56	550	766990	766496	ec_ill_ec_contig102	contig_37	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
