S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	21775	21766	6	se_ill_se_contig18	contig_2	99.19		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	22198	21767	se_ill_se_contig66	contig_2	99.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
8	150716	172807	22199	se_ill_se_contig13	contig_2	99.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
35	1231	174018	172824	se_ill_se_contig56	contig_2	94.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	37080	211076	174019	se_ill_se_contig31	contig_2	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	212207	211077	se_ill_se_contig56	contig_2	94.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	130129	212208	342323	se_ill_se_contig16	contig_2	99.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	345421	342324	se_ill_se_contig48	contig_2	96.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	224077	569546	345422	se_ill_se_contig6	contig_2	99.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
3345	5023	571220	569547	se_ill_se_contig42	contig_2	94.16		True
translocation
1	660	572212	571562	se_ill_se_contig60	contig_2	94.14		True
translocation
2	2387	574707	572326	se_ill_se_contig42	contig_2	95.27		True
local misassembly [fragmentation of reference genome]
1	120824	574866	695581	se_ill_se_contig17	contig_2	99.83		True
fake: not a misassembly [fragmentation of reference genome]
17	245826	941621	695957	se_ill_se_contig3	contig_2	99.75		True
local misassembly [fragmentation of reference genome]
11	4509	946907	942414	se_ill_se_contig44	contig_2	99.49		True
local misassembly [fragmentation of reference genome]
1	460	947681	948137	se_ill_se_contig3	contig_2	96.23		True
translocation
13	179991	948138	1128017	se_ill_se_contig9	contig_2	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	10344	1128491	1138828	se_ill_se_contig39	contig_2	99.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1138829	1141932	se_ill_se_contig48	contig_2	96.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	188840	1330722	1141933	se_ill_se_contig8	contig_2	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1330723	1331845	se_ill_se_contig56	contig_2	95.1		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	32014	1331846	1363820	se_ill_se_contig34	contig_2	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
43	5265	1363821	1369002	se_ill_se_contig41	contig_2	93.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
55	5662	1369030	1374636	se_ill_se_contig40	contig_2	99.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	491	1374637	1375071	se_ill_se_contig64	contig_2	94.06		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	601	1375608	1375072	se_ill_se_contig62	contig_2	95.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1514	1377049	1375609	se_ill_se_contig55	contig_2	94.37		True
indel: indel (> 5bp) [fragmentation of reference genome]
8	2420	1379476	1377050	se_ill_se_contig50	contig_2	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
48	1739	1381151	1379477	se_ill_se_contig54	contig_2	91.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	17352	1398560	1381171	se_ill_se_contig38	contig_2	99.12		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2199	1400694	1398561	se_ill_se_contig52	contig_2	94.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2283	1400695	1403004	se_ill_se_contig51	contig_2	98.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	1403392	1403005	se_ill_se_contig69	contig_2	98.21		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	139962	1403393	1543244	se_ill_se_contig14	contig_2	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1543245	1544377	se_ill_se_contig56	contig_2	98.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	80727	1544378	1625024	se_ill_se_contig22	contig_2	99.75		True
local misassembly [fragmentation of reference genome]
56	2199	1627197	1625075	se_ill_se_contig52	contig_2	94.02		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	133795	1760931	1627198	se_ill_se_contig15	contig_2	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
33	1196	1762083	1760932	se_ill_se_contig56	contig_2	92.3		True
indel: indel (> 5bp) [fragmentation of reference genome]
24	86784	1762084	1848767	se_ill_se_contig1	contig_2	99.84		True
local misassembly
87064	345551	1848768	2107062	se_ill_se_contig1	contig_2	99.84		True
local misassembly
345644	391817	2107063	2153237	se_ill_se_contig1	contig_2	99.52		True
local misassembly
392052	530023	2153817	2291658	se_ill_se_contig1	contig_2	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
41	1196	2291659	2292809	se_ill_se_contig56	contig_2	97.45		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	2292810	2344432	se_ill_se_contig27	contig_2	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	2642067	2344433	se_ill_se_contig2	contig_2	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	2642068	2642458	se_ill_se_contig69	contig_2	99.6		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	2646546	2642459	se_ill_se_contig46	contig_2	99.12		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3696	2646547	2650155	se_ill_se_contig47	contig_2	95.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
55	1833	2650209	2651983	se_ill_se_contig53	contig_2	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	2652470	2651984	se_ill_se_contig63	contig_2	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
85533	162102	2729002	2652471	se_ill_se_contig11	contig_2	99.76		True
local misassembly
1	85589	2815463	2729788	se_ill_se_contig11	contig_2	99.45		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	2816603	2815464	se_ill_se_contig56	contig_2	94.09		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	2816604	2830317	se_ill_se_contig4	contig_2	99.91		True
local misassembly
13844	16547	2830318	2833018	se_ill_se_contig4	contig_2	98.89		True
local misassembly
16782	245298	2833019	3061471	se_ill_se_contig4	contig_2	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1772	3061472	3063186	se_ill_se_contig54	contig_2	96.58		True
indel: indel (> 5bp) [fragmentation of reference genome]
58	910	3063236	3064088	se_ill_se_contig58	contig_2	99.67		True
indel: indel (> 5bp) [fragmentation of reference genome]
10	1514	3064089	3065588	se_ill_se_contig55	contig_2	90.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	539	3065589	3066074	se_ill_se_contig65	contig_2	96.13		True
local misassembly [fragmentation of reference genome]
1	4722	3066493	3071229	se_ill_se_contig43	contig_2	99.07		True
translocation
4798	4874	3071763	3071687	se_ill_se_contig41	contig_2	100.0		True
local misassembly
4472	4547	3072080	3072005	se_ill_se_contig41	contig_2	100.0		True
local misassembly
2655	2722	3073865	3073798	se_ill_se_contig41	contig_2	91.18		True
indel: indel (<= 5bp)
2576	2653	3073943	3073866	se_ill_se_contig41	contig_2	93.59		True
indel: indel (<= 5bp)
2348	2488	3074167	3074027	se_ill_se_contig41	contig_2	100.0		True
local misassembly
1189	1284	3075317	3075222	se_ill_se_contig41	contig_2	96.88		True
indel: indel (<= 5bp)
1075	1162	3075428	3075341	se_ill_se_contig41	contig_2	98.86		True
local misassembly
770	892	3075724	3075602	se_ill_se_contig41	contig_2	97.56		True
local misassembly
160	267	3076327	3076220	se_ill_se_contig41	contig_2	100.0		True
translocation
1	21098	3097577	3076488	se_ill_se_contig37	contig_2	99.75		True
translocation
103637	104041	3097578	3097986	se_ill_se_contig19	contig_2	97.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	3097987	3100349	se_ill_se_contig42	contig_2	94.61		True
translocation
20	637	3100381	3101000	se_ill_se_contig60	contig_2	90.75		True
translocation
3345	5023	3101208	3102886	se_ill_se_contig42	contig_2	95.3		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	3102887	3152020	se_ill_se_contig7	contig_2	99.39		True
inversion
49137	50103	3152987	3152021	se_ill_se_contig7	contig_2	100.0		True
inversion
50104	198799	3152988	3301551	se_ill_se_contig7	contig_2	99.78		True
local misassembly [fragmentation of reference genome]
56	1219	3302743	3301585	se_ill_se_contig56	contig_2	91.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	3330389	3302744	se_ill_se_contig35	contig_2	99.56		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	3330390	3331531	se_ill_se_contig56	contig_2	95.04		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	3331532	3383253	se_ill_se_contig26	contig_2	99.7		True
fake: not a misassembly [fragmentation of reference genome]
4	177680	3561046	3383433	se_ill_se_contig10	contig_2	99.79		True
translocation
1	94668	3656939	3562308	se_ill_se_contig20	contig_2	99.23		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	58960	3715895	3656940	se_ill_se_contig24	contig_2	99.46		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	3719006	3715896	se_ill_se_contig48	contig_2	96.26		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44860	3763842	3719007	se_ill_se_contig30	contig_2	99.51		True
fake: not a misassembly [fragmentation of reference genome]
1	2387	3763919	3766311	se_ill_se_contig42	contig_2	95.67		True
translocation
1	659	3766325	3766980	se_ill_se_contig60	contig_2	94.02		True
translocation
3345	5078	3767162	3768872	se_ill_se_contig42	contig_2	96.22		True
fake: not a misassembly [fragmentation of reference genome]
1	26107	3795015	3768978	se_ill_se_contig36	contig_2	95.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
51	964	3795926	3795016	se_ill_se_contig57	contig_2	96.11		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	242444	4038117	3795927	se_ill_se_contig5	contig_2	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	4038118	4039254	se_ill_se_contig56	contig_2	93.32		True
indel: indel (> 5bp) [fragmentation of reference genome]
