Assembly	r10_1bin_v2_1_MP	r10_1bin_v2_1_MP_helen	r10_1bin_v2_1_r1_medaka	r10_1bin_v2_1_r2_medaka	r10_1bin_v2_1_racon_r1	r10_1bin_v2_1_racon_r2	r10_1bin_v2_1_raw	r10_1bin_v2_2_MP	r10_1bin_v2_2_MP_helen	r10_1bin_v2_2_r1_medaka	r10_1bin_v2_2_r2_medaka	r10_1bin_v2_2_racon_r1	r10_1bin_v2_2_racon_r2	r10_1bin_v2_2_raw	r10_1bin_v2_3_MP	r10_1bin_v2_3_MP_helen	r10_1bin_v2_3_r1_medaka	r10_1bin_v2_3_r2_medaka	r10_1bin_v2_3_racon_r1	r10_1bin_v2_3_racon_r2	r10_1bin_v2_3_raw
# misassemblies	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
  # contig misassemblies	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	2845425	2845362	2845428	2845425	2845303	2845317	2843846	2845427	2845365	2845431	2845433	2845282	2845346	2843855	2845434	2845416	2845426	2845429	2845240	2845336	2843848
# possibly misassembled contigs	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
    # possible misassemblies	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	6
# local misassemblies	16	16	16	16	16	16	20	16	16	16	16	16	16	20	16	16	16	16	16	16	19
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	19	19	19	19	19	19	10	19	19	19	19	19	19	11	19	19	19	19	19	19	11
# unaligned mis. contigs	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
# mismatches	7034	7093	6988	6897	6719	6771	4142	7003	7159	6979	7079	6620	6820	4351	7030	7042	7101	6998	6714	6894	4130
# indels	431	444	411	390	641	595	3574	439	444	373	394	592	571	3533	433	408	401	390	619	616	3601
    # indels (<= 5 bp)	390	400	370	349	600	558	3537	399	403	334	354	552	535	3498	393	368	362	351	580	579	3567
    # indels (> 5 bp)	41	44	41	41	41	37	37	40	41	39	40	40	36	35	40	40	39	39	39	37	34
Indels length	2440	2481	2395	2351	2709	2577	6266	2400	2417	2269	2316	2543	2490	6066	2388	2355	2323	2304	2592	2545	6140
