S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1705	1690	1	sa_ill_sa_contig8	contig_11	98.89		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	5229	2109	sa_ill_sa_contig41	contig_11	99.9		True
translocation
62396	62502	5336	5230	sa_ill_sa_contig14	contig_11	98.6		True
local misassembly
1	62604	67816	5386	sa_ill_sa_contig14	contig_11	99.71		True
translocation
98092	98471	67817	68195	sa_ill_sa_contig11	contig_11	97.97		True
local misassembly [fragmentation of reference genome]
1	39729	107913	68196	sa_ill_sa_contig21	contig_11	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	28120	136031	107918	sa_ill_sa_contig28	contig_11	99.96		True
translocation
1	1604	137633	136032	sa_ill_sa_contig8	contig_11	99.65		True
fake: not a misassembly [fragmentation of reference genome]
198	3323	141174	138055	sa_ill_sa_contig41	contig_11	99.74		True
translocation
2	925	142645	141728	sa_ill_sa_contig51	contig_11	98.92		True
local misassembly [fragmentation of reference genome]
1	32969	175800	142850	sa_ill_sa_contig26	contig_11	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	14210	175953	190158	sa_ill_sa_contig34	contig_11	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	190869	190159	sa_ill_sa_contig55	contig_11	99.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	190870	212652	sa_ill_sa_contig30	contig_11	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	219735	212653	sa_ill_sa_contig36	contig_11	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	219736	318312	sa_ill_sa_contig11	contig_11	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	319636	318313	sa_ill_sa_contig48	contig_11	99.58		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	319637	542903	sa_ill_sa_contig1	contig_11	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	539	542904	543387	sa_ill_sa_contig65	contig_11	99.07		True
fake: not a misassembly [fragmentation of reference genome]
56	720	545168	544504	sa_ill_sa_contig60	contig_11	98.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
124942	125486	545712	545169	sa_ill_sa_contig10	contig_11	93.31		True
translocation
1	63338	545713	609038	sa_ill_sa_contig13	contig_11	99.94		True
local misassembly
63108	66060	609039	611991	sa_ill_sa_contig13	contig_11	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	41771	653761	611992	sa_ill_sa_contig19	contig_11	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	177172	653950	831079	sa_ill_sa_contig4	contig_11	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
21	50729	831080	881778	sa_ill_sa_contig16	contig_11	99.98		True
fake: not a misassembly [fragmentation of reference genome]
78271	134302	937854	881841	sa_ill_sa_contig7	contig_11	99.94		True
local misassembly
1	78138	1015856	937855	sa_ill_sa_contig7	contig_11	99.81		True
fake: not a misassembly [fragmentation of reference genome]
55	207093	1222718	1015869	sa_ill_sa_contig3	contig_11	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	211909	1434606	1222719	sa_ill_sa_contig2	contig_11	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	3261	1434806	1438066	sa_ill_sa_contig42	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
4	718	1438781	1438067	sa_ill_sa_contig58	contig_11	100.0		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	56123	1438782	1494780	sa_ill_sa_contig15	contig_11	99.73		True
local misassembly
55995	56123	1494928	1495055	sa_ill_sa_contig15	contig_11	98.45		True
translocation
203	3323	1495232	1498354	sa_ill_sa_contig41	contig_11	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	1498651	1500247	sa_ill_sa_contig8	contig_11	99.53		True
translocation
1	3323	1500248	1503568	sa_ill_sa_contig41	contig_11	99.79		True
fake: not a misassembly [fragmentation of reference genome]
1	1703	1503898	1505593	sa_ill_sa_contig8	contig_11	98.89		True
translocation
688	925	1505607	1505858	sa_ill_sa_contig51	contig_11	94.44		True
fake: not a misassembly [fragmentation of reference genome]
1	38352	1506001	1544351	sa_ill_sa_contig23	contig_11	99.94		True
local misassembly
38187	38352	1544444	1544609	sa_ill_sa_contig23	contig_11	98.8		True
local misassembly
38161	38352	1544697	1544887	sa_ill_sa_contig23	contig_11	95.31		True
translocation
203	3323	1544980	1548100	sa_ill_sa_contig41	contig_11	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	1649	1548488	1550136	sa_ill_sa_contig8	contig_11	99.94		True
translocation
1	41074	1550137	1591195	sa_ill_sa_contig20	contig_11	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	1576	1591221	1592796	sa_ill_sa_contig47	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2840	1595636	1592797	sa_ill_sa_contig44	contig_11	99.61		True
fake: not a misassembly [fragmentation of reference genome]
1	6686	1595662	1602347	sa_ill_sa_contig37	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1602348	1603058	sa_ill_sa_contig55	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1617420	1603059	sa_ill_sa_contig33	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1622414	1617421	sa_ill_sa_contig39	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1673104	1622415	sa_ill_sa_contig17	contig_11	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
46	44268	1673105	1717324	sa_ill_sa_contig12	contig_11	99.77		True
local misassembly
43758	70357	1717325	1743921	sa_ill_sa_contig12	contig_11	99.41		True
indel: indel (> 5bp) [fragmentation of reference genome]
98340	98561	1744143	1743922	sa_ill_sa_contig11	contig_11	98.08		True
local misassembly
98057	98213	1744300	1744144	sa_ill_sa_contig11	contig_11	98.58		True
translocation
1	21042	1765342	1744301	sa_ill_sa_contig31	contig_11	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	142808	1908330	1765496	sa_ill_sa_contig6	contig_11	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1908331	1908863	sa_ill_sa_contig63	contig_11	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1952350	1908864	sa_ill_sa_contig18	contig_11	99.46		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1727	1952351	1954022	sa_ill_sa_contig46	contig_11	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1955408	1954552	sa_ill_sa_contig54	contig_11	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	26180	1955774	1981953	sa_ill_sa_contig29	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1981954	1986534	sa_ill_sa_contig40	contig_11	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1991852	1986535	sa_ill_sa_contig38	contig_11	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1996433	1991853	sa_ill_sa_contig40	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	130429	1996434	2126753	sa_ill_sa_contig9	contig_11	99.9		True
translocation
71	20896	2126754	2147577	sa_ill_sa_contig32	contig_11	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	539	2147578	2148061	sa_ill_sa_contig65	contig_11	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	720	2149844	2149180	sa_ill_sa_contig60	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	125486	2275503	2149845	sa_ill_sa_contig10	contig_11	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	13692	2276235	2289926	sa_ill_sa_contig35	contig_11	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2978	2289927	2292845	sa_ill_sa_contig43	contig_11	99.76		True
fake: not a misassembly [fragmentation of reference genome]
56	861	2293769	2292964	sa_ill_sa_contig53	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30897	2324660	2293770	sa_ill_sa_contig27	contig_11	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	2474119	2324706	sa_ill_sa_contig5	contig_11	99.64		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	2606420	2474461	sa_ill_sa_contig8	contig_11	99.97		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	2609913	2606793	sa_ill_sa_contig41	contig_11	99.94		True
translocation
1	34367	2610078	2644436	sa_ill_sa_contig25	contig_11	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	2644969	2644437	sa_ill_sa_contig63	contig_11	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	2644970	2683735	sa_ill_sa_contig22	contig_11	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
19	34342	2683736	2718054	sa_ill_sa_contig24	contig_11	99.97		True
CONTIG	contig_11	2718054	misassembled
38	1590	160935	159385	sa_ill_sa_contig8	contig_18	90.82		True
unknown
2985	3136	161502	161351	sa_ill_sa_contig41	contig_18	92.11		True
unknown
2614	2917	161874	161571	sa_ill_sa_contig41	contig_18	93.09		True
unknown
2099	2316	162391	162174	sa_ill_sa_contig41	contig_18	91.74		True
unknown
1871	2057	162624	162438	sa_ill_sa_contig41	contig_18	90.37		True
unknown
1559	1639	162934	162854	sa_ill_sa_contig41	contig_18	97.53		True
unknown
1158	1540	163336	162954	sa_ill_sa_contig41	contig_18	94.78		True
unknown
589	1151	163905	163343	sa_ill_sa_contig41	contig_18	93.25		True
unknown
497	577	163997	163917	sa_ill_sa_contig41	contig_18	92.59		True
unknown
38	1590	166954	165404	sa_ill_sa_contig8	contig_18	90.88		True
unknown
2985	3136	167521	167370	sa_ill_sa_contig41	contig_18	92.11		True
unknown
2614	2917	167893	167590	sa_ill_sa_contig41	contig_18	93.09		True
unknown
2099	2316	168410	168193	sa_ill_sa_contig41	contig_18	91.74		True
unknown
1871	2057	168643	168457	sa_ill_sa_contig41	contig_18	90.37		True
unknown
1559	1639	168953	168873	sa_ill_sa_contig41	contig_18	97.53		True
unknown
1158	1540	169355	168973	sa_ill_sa_contig41	contig_18	94.78		True
unknown
589	1151	169924	169362	sa_ill_sa_contig41	contig_18	93.25		True
unknown
497	577	170016	169936	sa_ill_sa_contig41	contig_18	92.59		True
unknown
492	565	1661270	1661343	sa_ill_sa_contig51	contig_18	95.95		True
unknown
691	768	1661470	1661547	sa_ill_sa_contig51	contig_18	97.44		True
unknown
787	862	1661565	1661640	sa_ill_sa_contig51	contig_18	100.0		True
unknown
497	577	1662591	1662671	sa_ill_sa_contig41	contig_18	92.59		True
unknown
589	1089	1662683	1663183	sa_ill_sa_contig41	contig_18	94.61		True
unknown
1158	1540	1663253	1663635	sa_ill_sa_contig41	contig_18	94.78		True
unknown
1559	1639	1663655	1663735	sa_ill_sa_contig41	contig_18	97.53		True
unknown
1871	2057	1663965	1664151	sa_ill_sa_contig41	contig_18	90.37		True
unknown
2099	2316	1664198	1664415	sa_ill_sa_contig41	contig_18	91.74		True
unknown
2614	2917	1664715	1665018	sa_ill_sa_contig41	contig_18	93.09		True
unknown
2985	3136	1665087	1665238	sa_ill_sa_contig41	contig_18	92.11		True
unknown
38	1590	1665654	1667204	sa_ill_sa_contig8	contig_18	90.82		True
unknown
497	577	1767269	1767349	sa_ill_sa_contig41	contig_18	92.59		True
unknown
589	1151	1767361	1767923	sa_ill_sa_contig41	contig_18	93.25		True
unknown
1158	1540	1767930	1768312	sa_ill_sa_contig41	contig_18	94.78		True
unknown
1559	1639	1768332	1768412	sa_ill_sa_contig41	contig_18	97.53		True
unknown
1871	2057	1768642	1768828	sa_ill_sa_contig41	contig_18	90.37		True
unknown
2099	2316	1768875	1769092	sa_ill_sa_contig41	contig_18	91.74		True
unknown
2614	2917	1769392	1769695	sa_ill_sa_contig41	contig_18	93.09		True
unknown
2985	3136	1769764	1769915	sa_ill_sa_contig41	contig_18	92.11		True
unknown
38	1590	1770331	1771881	sa_ill_sa_contig8	contig_18	90.82		True
unknown
497	577	2365536	2365616	sa_ill_sa_contig41	contig_18	92.59		True
unknown
589	1151	2365628	2366190	sa_ill_sa_contig41	contig_18	93.25		True
unknown
1158	1540	2366197	2366579	sa_ill_sa_contig41	contig_18	94.78		True
unknown
1559	1639	2366599	2366679	sa_ill_sa_contig41	contig_18	97.53		True
unknown
1871	2057	2366909	2367095	sa_ill_sa_contig41	contig_18	90.37		True
unknown
2099	2316	2367142	2367359	sa_ill_sa_contig41	contig_18	91.74		True
unknown
2614	2917	2367659	2367962	sa_ill_sa_contig41	contig_18	93.09		True
unknown
2985	3136	2368031	2368182	sa_ill_sa_contig41	contig_18	92.11		True
unknown
38	1590	2368849	2370399	sa_ill_sa_contig8	contig_18	90.82		True
unknown
20702	20898	2865835	2865639	sa_ill_sa_contig15	contig_18	90.86		True
unknown
20320	20490	2866217	2866047	sa_ill_sa_contig15	contig_18	90.64		True
unknown
38	1590	2915190	2913640	sa_ill_sa_contig8	contig_18	90.82		True
unknown
2985	3136	2916008	2915857	sa_ill_sa_contig41	contig_18	92.11		True
unknown
2614	2917	2916380	2916077	sa_ill_sa_contig41	contig_18	93.09		True
unknown
2099	2316	2916897	2916680	sa_ill_sa_contig41	contig_18	91.74		True
unknown
1871	2057	2917130	2916944	sa_ill_sa_contig41	contig_18	90.37		True
unknown
1559	1639	2917440	2917360	sa_ill_sa_contig41	contig_18	97.53		True
unknown
1158	1540	2917842	2917460	sa_ill_sa_contig41	contig_18	94.78		True
unknown
589	1151	2918411	2917849	sa_ill_sa_contig41	contig_18	93.25		True
unknown
497	577	2918503	2918423	sa_ill_sa_contig41	contig_18	92.59		True
unknown
CONTIG	contig_18	2992055	mis_unaligned
35	1591	380391	378837	sa_ill_sa_contig8	contig_3	92.03		True
unknown
2615	2916	381427	381126	sa_ill_sa_contig41	contig_3	93.38		True
unknown
1867	2316	382176	381727	sa_ill_sa_contig41	contig_3	90.89		True
unknown
497	1540	383546	382503	sa_ill_sa_contig41	contig_3	94.25		True
unknown
35	1591	401003	399449	sa_ill_sa_contig8	contig_3	91.96		True
unknown
497	3301	404158	401352	sa_ill_sa_contig41	contig_3	90.0		True
unknown
35	1591	461337	459783	sa_ill_sa_contig8	contig_3	92.03		True
unknown
497	3301	464315	461509	sa_ill_sa_contig41	contig_3	90.0		True
unknown
35	1591	467260	465706	sa_ill_sa_contig8	contig_3	92.03		True
unknown
497	3301	470238	467432	sa_ill_sa_contig41	contig_3	90.0		True
unknown
35	1591	531804	530250	sa_ill_sa_contig8	contig_3	91.9		True
unknown
