S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102683	ec_ill_ec_contig2	contig_94	99.99		True
local misassembly
310191	312944	102684	105437	ec_ill_ec_contig2	contig_94	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303780	105527	ec_ill_ec_contig4	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306752	303781	ec_ill_ec_contig65	contig_94	99.93		True
local misassembly
1	1463	308612	307150	ec_ill_ec_contig65	contig_94	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	308979	346275	ec_ill_ec_contig39	contig_94	100.0		True
local misassembly [fragmentation of reference genome]
22	350	346371	346699	ec_ill_ec_contig104	contig_94	91.19		True
indel: indel (> 5bp)
384	502	346700	346818	ec_ill_ec_contig104	contig_94	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346891	392195	ec_ill_ec_contig15	contig_94	99.95		True
local misassembly
45064	105217	392210	452361	ec_ill_ec_contig15	contig_94	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452362	453593	ec_ill_ec_contig79	contig_94	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453594	514003	ec_ill_ec_contig31	contig_94	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514191	857387	ec_ill_ec_contig1	contig_94	99.99		True
local misassembly
343563	393863	857388	907686	ec_ill_ec_contig1	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980644	907687	ec_ill_ec_contig16	contig_94	99.99		True
local misassembly
1	31383	1012026	980645	ec_ill_ec_contig16	contig_94	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015054	1012028	ec_ill_ec_contig65	contig_94	99.93		True
local misassembly
1	1463	1016920	1015458	ec_ill_ec_contig65	contig_94	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058467	1017191	ec_ill_ec_contig37	contig_94	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059388	1058468	ec_ill_ec_contig83	contig_94	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059389	1206885	ec_ill_ec_contig7	contig_94	99.99		True
