S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
214350	552243	1	337891	bs_ill_bs_contig2	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
18222	18355	338875	338742	bs_ill_bs_contig20	contig_13	100.0		True
translocation
56	319	339541	339277	bs_ill_bs_contig13	contig_13	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	339542	340693	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	340695	341605	bs_ill_bs_contig991	contig_13	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	342328	341607	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	343681	342700	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	340	343682	343966	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	257004	601116	344067	bs_ill_bs_contig8	contig_13	99.98		True
translocation
1	599	601715	601117	bs_ill_bs_contig2	contig_13	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	602274	601717	bs_ill_bs_contig1	contig_13	99.84		True
translocation
1	29697	631968	602275	bs_ill_bs_contig18	contig_13	99.96		True
translocation
56	393	632306	631969	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	632307	633458	bs_ill_bs_contig839	contig_13	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	633460	634370	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	635093	634372	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	982	636391	635465	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	325319	636392	961864	bs_ill_bs_contig3	contig_13	99.94		True
translocation
1	599	962463	961865	bs_ill_bs_contig2	contig_13	99.26		True
fake: not a misassembly [fragmentation of reference genome]
