All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        MP_helen_r10_1  MP_helen_r10_2  MP_helen_r10_3  MP_r10_1  MP_r10_2  MP_r10_3  r1_medaka_r10_1  r1_medaka_r10_2  r1_medaka_r10_3  r2_medaka_r10_1  r2_medaka_r10_2  r2_medaka_r10_3  racon_r1_r10_1  racon_r1_r10_2  racon_r1_r10_3  racon_r2_r10_1  racon_r2_r10_2  racon_r2_r10_3  raw_r10_1  raw_r10_2  raw_r10_3
# misassemblies                                 2               2               2               2         2         2         2                2                2                2                2                2                2               2               2               2               2               2               2          2          2        
  # contig misassemblies                        2               2               2               2         2         2         2                2                2                2                2                2                2               2               2               2               2               2               2          2          2        
    # c. relocations                            0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
    # c. translocations                         2               2               2               2         2         2         2                2                2                2                2                2                2               2               2               2               2               2               2          2          2        
    # c. inversions                             0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
  # scaffold misassemblies                      0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
    # s. relocations                            0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
    # s. translocations                         0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
    # s. inversions                             0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
# misassembled contigs                          1               1               1               1         1         1         1                1                1                1                1                1                1               1               1               1               1               1               1          1          1        
Misassembled contigs length                     2992057         2992066         2992057         2992056   2992083   2992056   2992047          2992072          2992048          2992047          2992073          2992046          2991930         2991945         2991935         2991941         2991986         2991949         2990626    2990624    2990626  
# possibly misassembled contigs                 1               1               1               1         1         1         1                1                1                1                1                1                1               1               1               1               1               1               2          2          2        
    # possible misassemblies                    8               8               8               8         8         8         8                8                8                8                8                8                8               8               8               8               8               8               9          9          9        
# local misassemblies                           7               7               7               7         7         7         7                7                7                7                7                7                7               7               7               7               7               7               14         12         12       
# scaffold gap ext. mis.                        0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
# scaffold gap loc. mis.                        0               0               0               0         0         0         0                0                0                0                0                0                0               0               0               0               0               0               0          0          0        
# misassemblies caused by fragmented reference  16              16              16              16        16        16        16               16               16               16               16               16               16              16              16              16              16              16              10         11         11       
# unaligned mis. contigs                        6               6               6               6         6         6         6                6                6                6                6                6                6               6               6               6               6               6               7          7          7        
# mismatches                                    6989            6985            6980            6791      6813      6861      6866             6853             6885             6910             6734             6908             6784            6845            6944            6769            6843            6761            4309       4343       4308     
# indels                                        654             659             653             651       648       649       659              655              640              644              639              653              964             934             941             872             866             905             3438       3439       3426     
    # indels (<= 5 bp)                          629             634             628             626       624       624       634              630              616              620              615              628              938             908             916             848             842             878             3409       3410       3396     
    # indels (> 5 bp)                           25              25              25              25        24        25        25               25               24               24               24               25               26              26              25              24              24              27              29         29         30       
Indels length                                   1960            1967            1958            1956      1947      1952      1974             1970             1931             1935             1930             1968             2399            2342            2345            2237            2232            2306            5307       5340       5342     
